pert_id	inchikey	block1
BRD-K45358881	GIZIALDZCCRAES-OUPRXKBMSA-N	GIZIALDZCCRAES
BRD-K45371861	CRECGCTYSBAAAJ-BWXOOPFESA-N	CRECGCTYSBAAAJ
BRD-K45375659	YFRMSEXFMHDWES-BORJPKMPSA-N	YFRMSEXFMHDWES
BRD-K45383235	KQYUNFJNSHJWKC-NEWJYFPISA-N	KQYUNFJNSHJWKC
BRD-K45383509	HBWIVVUPODMQBV-NNMXDRDESA-N	HBWIVVUPODMQBV
BRD-K45386827	RACODSLPTPSRLF-CKJXQJPGSA-N	RACODSLPTPSRLF
BRD-K45392462	LRICTGYJZSQIRK-HXUWFJFHSA-N	LRICTGYJZSQIRK
BRD-K45399554	BKTXRPJVVXUPPO-PNCWTNKOSA-N	BKTXRPJVVXUPPO
BRD-K45401373	QGJZLNKBHJESQX-FZFNOLFKSA-N	QGJZLNKBHJESQX
BRD-K45409613	XYLRKRISJMFHFX-IXXBJLTKSA-N	XYLRKRISJMFHFX
BRD-K45429601	CCCMDIPFDONFPS-BHDDXSALSA-N	CCCMDIPFDONFPS
BRD-K45431864	ADKYEMYUARXISC-DKRHUIDYSA-N	ADKYEMYUARXISC
BRD-K45435259	GOTMKOSCLKVOGG-OAHLLOKOSA-N	GOTMKOSCLKVOGG
BRD-K45437867	KOWVJDFMEZKDDT-UHFFFAOYSA-N	KOWVJDFMEZKDDT
BRD-K45440108	ZSBYESKXZOGBOW-NHAHXKBOSA-N	ZSBYESKXZOGBOW
BRD-K45442578	SNXQORXMPHKSCQ-MVYHEMRASA-N	SNXQORXMPHKSCQ
BRD-K45443730	YQNOQZALLOQMPY-UHFFFAOYSA-N	YQNOQZALLOQMPY
BRD-K45446451	SEGYOKHGGFKMCX-UHFFFAOYSA-N	SEGYOKHGGFKMCX
BRD-K45466167	JHNJYMNWNCZPKL-IVOMFYJKSA-N	JHNJYMNWNCZPKL
BRD-K45466793	HXGRDUONOGFVHC-KZKAQZJJSA-N	HXGRDUONOGFVHC
BRD-K45472161	YEHATWKIPRQBPF-HSALFYBXSA-N	YEHATWKIPRQBPF
BRD-K45475981	ZGEAGHWTKPKCOK-AVBSYJKISA-N	ZGEAGHWTKPKCOK
