pert_id	pert_iname	pubchem_cid	stitch_chemical	ensp	gene_symbol	entrez	gene_idx	combined_score
BRD-K88186167	GW-4064	9893571	CIDs09893571	9606.ENSP00000351035	HSD17B11	51170	843	154
BRD-K88785477	chloroform	6212	CIDm00006212	9606.ENSP00000266970	CDK2	1017	450	154
BRD-K88785477	chloroform	6212	CIDm00006212	9606.ENSP00000354394	STAT1	6772	40	154
BRD-K89348303	ramipril	5362129	CIDs05362129	9606.ENSP00000264832	ICAM1	3383	257	154
BRD-K90382497	GW-843682X	9826308	CIDm09826308	9606.ENSP00000378356	KIF20A	10112	897	154
BRD-K90382497	GW-843682X	9826308	CIDs09826308	9606.ENSP00000378356	KIF20A	10112	897	154
BRD-K90976994	dehydrocholic-acid	6674	CIDs00006674	9606.ENSP00000220764	DECR1	1666	233	154
BRD-K90976994	dehydrocholic-acid	6674	CIDs00006674	9606.ENSP00000265322	PECR	55825	946	154
BRD-K90976994	dehydrocholic-acid	6674	CIDs00006674	9606.ENSP00000290349	CBR1	873	644	154
BRD-K90976994	dehydrocholic-acid	6674	CIDs00006674	9606.ENSP00000290354	CBR3	874	522	154
BRD-K90976994	dehydrocholic-acid	6674	CIDs00006674	9606.ENSP00000351035	HSD17B11	51170	843	154
BRD-K92073408	norethisterone	6230	CIDs00006230	9606.ENSP00000078429	GNA11	2767	974	154
BRD-K92073408	norethisterone	6230	CIDs00006230	9606.ENSP00000262958	GNA15	2769	520	154
BRD-K92428153	mycophenolate-mofetil	5281078	CIDs05281078	9606.ENSP00000321195	ATP11B	23200	737	154
BRD-K92870997	pterostilbene	5281727	CIDs05281727	9606.ENSP00000393762	SESN1	27244	872	154
BRD-K95606637	BRD-K95606637	3380841	CIDm03380841	9606.ENSP00000222812	STX1A	6804	481	154
BRD-K95606637	BRD-K95606637	3380841	CIDs03380841	9606.ENSP00000222812	STX1A	6804	481	154
BRD-A00100033	nifurtimox	6842999	CIDs06842999	9606.ENSP00000220764	DECR1	1666	233	153
BRD-A01320529	salmeterol	5152	CIDm00005152	9606.ENSP00000387123	ALDH7A1	501	625	153
BRD-A01320529	salmeterol	5152	CIDs00005152	9606.ENSP00000387123	ALDH7A1	501	625	153
BRD-A07106394	tryptophan	1148	CIDm00001148	9606.ENSP00000421280	MYO10	4651	171	153
BRD-A07893380	vigabatrin	5665	CIDm00005665	9606.ENSP00000362399	STXBP1	6812	210	153
BRD-A07893380	vigabatrin	5665	CIDs00005665	9606.ENSP00000362399	STXBP1	6812	210	153
BRD-A08200164	melphalan	4053	CIDm00004053	9606.ENSP00000301633	BIRC5	332	187	153
BRD-A15079084	phorbol-12-myristate-13-acetate	4792	CIDm00004792	9606.ENSP00000261461	PPP2R5A	5525	201	153
BRD-A15079084	phorbol-12-myristate-13-acetate	4792	CIDm00004792	9606.ENSP00000337641	PPP2R5E	5529	374	153
BRD-A16444946	acarbose	41774	CIDs00041774	9606.ENSP00000223095	SERPINE1	5054	253	153
BRD-A19134330	A-23187	40486	CIDs00040486	9606.ENSP00000354671	MAST2	23139	804	153
BRD-A20239487	atenolol-(+/-)	2249	CIDs00002249	9606.ENSP00000223095	SERPINE1	5054	253	153
BRD-A20239487	atenolol-(+/-)	2249	CIDs00002249	9606.ENSP00000297494	NOS3	4846	536	153
BRD-A21723284	naltriben	4429	CIDm00004429	9606.ENSP00000001008	FKBP4	2288	41	153
BRD-A22101059	metrifonate	5853	CIDm00005853	9606.ENSP00000315775	COG4	25839	722	153
BRD-A22101059	metrifonate	5853	CIDs00005853	9606.ENSP00000315775	COG4	25839	722	153
BRD-A22684332	procaterol	4916	CIDm00004916	9606.ENSP00000378517	SPP1	6696	681	153
BRD-A22684332	procaterol	4916	CIDs00004916	9606.ENSP00000378517	SPP1	6696	681	153
BRD-A23723433	paclitaxel	4666	CIDm00004666	9606.ENSP00000410294	FGFR2	2263	409	153
BRD-A23723433	paclitaxel	4666	CIDs00004666	9606.ENSP00000400175	RHOA	387	5	153
BRD-A28422330	BRD-A28422330	2950007	CIDm02950007	9606.ENSP00000380942	ARHGEF12	23365	85	153
BRD-A28422330	BRD-A28422330	2950007	CIDs02950007	9606.ENSP00000380942	ARHGEF12	23365	85	153
BRD-A29349577	dropropizine	3169	CIDm00003169	9606.ENSP00000421566	XPNPEP1	7511	630	153
BRD-A29349577	dropropizine	3169	CIDs00003169	9606.ENSP00000421566	XPNPEP1	7511	630	153
BRD-A34205397	suloctidil	5354	CIDm00005354	9606.ENSP00000205402	DLD	1738	634	153
BRD-A34205397	suloctidil	5354	CIDm00005354	9606.ENSP00000434516	TXNRD1	7296	80	153
BRD-A34205397	suloctidil	5354	CIDs00005354	9606.ENSP00000205402	DLD	1738	634	153
BRD-A34205397	suloctidil	5354	CIDs00005354	9606.ENSP00000434516	TXNRD1	7296	80	153
BRD-A35108200	dexamethasone	3003	CIDm00003003	9606.ENSP00000306817	RBKS	64080	920	153
BRD-A35258977	mannitol	453	CIDm00000453	9606.ENSP00000225831	CCL2	6347	809	153
BRD-A35258977	mannitol	453	CIDm00000453	9606.ENSP00000264832	ICAM1	3383	257	153
BRD-A39189014	methoxamine	6081	CIDm00006081	9606.ENSP00000297494	NOS3	4846	536	153
BRD-A39189014	methoxamine	6081	CIDs00006081	9606.ENSP00000297494	NOS3	4846	536	153
BRD-A41692738	TGX-221	9907093	CIDm09907093	9606.ENSP00000303427	PDS5A	23244	718	153
BRD-A41692738	TGX-221	9907093	CIDs09907093	9606.ENSP00000303427	PDS5A	23244	718	153
BRD-A45498368	WYE-125132	25260757	CIDs25260757	9606.ENSP00000254442	WDR7	23335	761	153
BRD-A51182606	chloramphenicol	298	CIDm00000298	9606.ENSP00000363089	TLR4	7099	944	153
BRD-A55815733	phylloquinone	5280483	CIDs05280483	9606.ENSP00000364649	SDHB	6390	261	153
BRD-A56592690	PX-12	219104	CIDm00219104	9606.ENSP00000281701	NVL	4931	589	153
BRD-A56592690	PX-12	219104	CIDs00219104	9606.ENSP00000281701	NVL	4931	589	153
BRD-A58280226	Y-27632	5711	CIDm00005711	9606.ENSP00000252486	APOE	348	384	153
BRD-A58280226	Y-27632	5711	CIDs00005711	9606.ENSP00000252486	APOE	348	384	153
BRD-A58280226	Y-27632	5711	CIDs00005711	9606.ENSP00000262848	PRKX	5613	440	153
BRD-A59985574	topotecan	5515	CIDm00005515	9606.ENSP00000358548	NRAS	4893	258	153
BRD-A64297288	amlodipine	60496	CIDm00060496	9606.ENSP00000411532	TOP2A	7153	82	153
BRD-A64297288	amlodipine	60496	CIDs00060496	9606.ENSP00000411532	TOP2A	7153	82	153
BRD-A67373739	AICA-ribonucleotide	200	CIDm00000200	9606.ENSP00000345681	GATA2	2624	676	153
BRD-A67373739	AICA-ribonucleotide	200	CIDm00000200	9606.ENSP00000368632	GATA3	2625	671	153
BRD-A68045637	kepone	299	CIDm00000299	9606.ENSP00000283646	RPIA	22934	768	153
BRD-A70814879	ABC-294640	15604015	CIDs15604015	9606.ENSP00000216264	CERK	64781	878	153
BRD-A74500471	ethambutol	3279	CIDm00003279	9606.ENSP00000266970	CDK2	1017	450	153
BRD-A80638690	floxuridine	3363	CIDm00003363	9606.ENSP00000263967	PIK3CA	5290	455	153
BRD-A80793822	pemoline	4723	CIDm00004723	9606.ENSP00000359297	NSDHL	50814	801	153
BRD-A80793822	pemoline	4723	CIDm00004723	9606.ENSP00000398803	TSTA3	7264	972	153
BRD-A80793822	pemoline	4723	CIDs00004723	9606.ENSP00000359297	NSDHL	50814	801	153
BRD-A80793822	pemoline	4723	CIDs00004723	9606.ENSP00000398803	TSTA3	7264	972	153
BRD-A82307304	atorvastatin	2250	CIDm00002250	9606.ENSP00000377055	PRCP	5547	103	153
BRD-A82892199	alpha-tocopherol	2116	CIDm00002116	9606.ENSP00000241337	GSTM2	2946	456	153
BRD-A85860691	chaetocin	161591	CIDm00161591	9606.ENSP00000340989	SFN	2810	648	153
BRD-A85860691	chaetocin	161591	CIDs00161591	9606.ENSP00000340989	SFN	2810	648	153
BRD-A96407378	allantoin	204	CIDs00000204	9606.ENSP00000333837	MRPL12	6182	433	153
BRD-A97739905	ketoprofen	3825	CIDm00003825	9606.ENSP00000232424	HES1	3280	385	153
BRD-K00259736	colchicine	6167	CIDs00006167	9606.ENSP00000264645	CASC3	22794	586	153
BRD-K00673382	famotidine	5702160	CIDs05702160	9606.ENSP00000382688	KDM5A	5927	182	153
BRD-K01567962	pyrazolanthrone	8515	CIDm00008515	9606.ENSP00000264832	ICAM1	3383	257	153
BRD-K01567962	pyrazolanthrone	8515	CIDs00008515	9606.ENSP00000264832	ICAM1	3383	257	153
BRD-K03067624	emetine	10219	CIDs00010219	9606.ENSP00000442563	POLG2	11232	541	153
BRD-K03243820	trifluridine	6256	CIDm00006256	9606.ENSP00000286648	DCK	1633	368	153
BRD-K03243820	trifluridine	6256	CIDs00006256	9606.ENSP00000286648	DCK	1633	368	153
BRD-K04146668	GW-441756	9943465	CIDm09943465	9606.ENSP00000372023	CHEK2	11200	692	153
BRD-K04804440	ciprofloxacin	2764	CIDm00002764	9606.ENSP00000333664	ACAA1	30	794	153
BRD-K04804440	ciprofloxacin	2764	CIDm00002764	9606.ENSP00000356015	ACAT2	39	672	153
BRD-K04804440	ciprofloxacin	2764	CIDs00002764	9606.ENSP00000333664	ACAA1	30	794	153
BRD-K04804440	ciprofloxacin	2764	CIDs00002764	9606.ENSP00000356015	ACAT2	39	672	153
BRD-K05104363	PD-184352	6918454	CIDm06918454	9606.ENSP00000279488	DUSP6	1848	618	153
BRD-K05104363	PD-184352	6918454	CIDs06918454	9606.ENSP00000279488	DUSP6	1848	618	153
BRD-K05977355	fluconazole	3365	CIDm00003365	9606.ENSP00000333666	ADI1	55256	821	153
BRD-K05977355	fluconazole	3365	CIDs00003365	9606.ENSP00000333666	ADI1	55256	821	153
BRD-K06593056	LE-135	10410894	CIDm10410894	9606.ENSP00000263087	ITGAE	3682	507	153
BRD-K06593056	LE-135	10410894	CIDs10410894	9606.ENSP00000263087	ITGAE	3682	507	153
BRD-K07572174	curcumin	5281767	CIDs05281767	9606.ENSP00000221452	RELB	5971	519	153
BRD-K07667918	linsitinib	11640390	CIDm11640390	9606.ENSP00000428924	LYN	4067	695	153
