lincs_cell_id	assay_target	status	resolution_tier	assay_used	is_primary_assay	source_used	genome_build	identity_confidence	contamination_status	model_confidence_flag	sample_ids_used	sample_ids_dropped	notes
H1299	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg19	name_verified	clean		81435,81442,81747,85269,85579		Cistrome sample ID(s): 81435,81442,81747,85269,85579
H1299	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg19	name_verified	clean		76235,76237,76239,76241,76243,76245,81434,81441,81746,85270,85580		Cistrome sample ID(s): 76235,76237,76239,76241,76243,76245,81434,81441,81746,85270,85580
HA1E	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HA1E	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HA1E	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HCC15	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HCC15	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		108167,108168,108169,108170		Cistrome sample ID(s): 108167,108168,108169,108170
HCC15	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		108159,108160,108161,108162		Cistrome sample ID(s): 108159,108160,108161,108162
HCC515	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HCC515	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HCC515	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HCT116	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR872WGW,ENCSR389WJO,ENCSR182JAI,ENCSR059BAR,ENCSR260SWI,ENCSR441BDP,ENCSR477YZA,ENCSR816PPJ,ENCSR874GXS,ENCSR302NVX,ENCSR328JGW,ENCSR780PLN,ENCSR445VYQ,ENCSR135OML,ENCSR988ITF,ENCSR998BBI,ENCSR345XUN
HCT116	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000EUT,ENCSR661KMA
HCT116	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR810BDB
HEC108	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HEC108	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HEC108	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
HEK293T	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	40986,53817,53818,53819,53820,53821,53822,53823,53824,53825,53826,53827,53828,53829,53830,53831,53832,53833,53834,53835,53836,53837,53838,53839,53840,53841,53842,53843,53844,53845,53846,53847,53848,53849,53850,53851,53852,53853,53854,53855,53856,53857,53858,53859,53860,53861,53862,53863,79294,79326,80454,80455	94772	Dominant identity correct; 1 contaminant sample(s) dropped, 52 clean kept. MULTIPLEXED sample(s) among dropped (title names >1 line).
HEK293T	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified_low_confidence	contaminant_samples_removed	decontaminated LOW_CONFIDENCE_single_clean_sample	50458	43073,66496	Dominant identity correct; 2 contaminant sample(s) dropped, 1 clean kept.
HEK293T	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		8557,90447,90448,92294		Cistrome sample ID(s): 8557,90447,90448,92294
HELA	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		5020,35747,44959,44960,52053,54408,56223,56224,90182,91330,91395,93085,93086,94385,94387,94388,94389,94390,100148,100149		Cistrome sample ID(s): 5020,35747,44959,44960,52053,54408,56223,56224,90182,91330,91395,93085,93086,94385,94387,94388,94389,94390,100148,100149
HELA	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		45283,45285,55457,55458,55459,55460,55461,55462,55463,55464,56227,56228,62013,62014,62015,62016,62017,70085,70088,89600,90889,91483,94625,94626,94627,94628		Cistrome sample ID(s): 45283,45285,55457,55458,55459,55460,55461,55462,55463,55464,56227,56228,62013,62014,62015,62016,62017,70085,70088,89600,90889,91483,94625,94626,94627,94628
HELA	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		1239,1240,70084,70087,88888,88889,88890,88891,88996,89605,90949,91468,104618		Cistrome sample ID(s): 1239,1240,70084,70087,88888,88889,88890,88891,88996,89605,90949,91468,104618
HEPG2	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR042AWH,ENCSR291GJU
HEPG2	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000AMO
HEPG2	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR000AOL,ENCSR000DUE
HL60	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	44971,44972,65308,66077,66078,66171,66172,66173	92929	Dominant identity correct; 1 contaminant sample(s) dropped, 8 clean kept.
HL60	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR919WLM
HL60	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR198IHT
