lincs_cell_id	assay_target	status	resolution_tier	assay_used	is_primary_assay	source_used	genome_build	identity_confidence	contamination_status	model_confidence_flag	sample_ids_used	sample_ids_dropped	notes
MCH58	H3K27me3	resolved	tissue_type_match	H3K27me3	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	537,1823,1824,1892,1901,6388,6389,8502,8503,8504,8505,33359,33363,34316,34437,34439,34453,34456,34459,34645,34646,34648,34651,34652,34654,34656,34661,34666,34667,34672,34673,35709,35721,35925,35926,35927,35930,35932,35933,35935,36117,39806,43564,43565,43574,43575,43579,51797,52578,55900,68032,68033,68034,69209,69410,69413,69416,71311,71312,71313,71314,71315,71316,71317,71318,71328,71329,71749,71750,71751,71752,71753,71754,72002,72004,72006,81286,81331,81338,81375,81642,83073,83074,83297,85140,85434,85445,85514,85516,85517,85519,86655,86656,86659,86660,86981,86985,86986,87330,87497,87499,88630,88966,88970,91053,93961,93962		[alias='fibroblast' (type alias)] Cistrome sample ID(s): 537,1823,1824,1892,1901,6388,6389,8502,8503,8504,8505,33359,33363,34316,34437,34439,34453,34456,34459,34645,34646,34648,34651,34652,34654,34656,34661,34666,34667,34672,34673,35709,35721,35925,35926,35927,35930,35932,35933,35935,36117,39806,43564,43565,43574,43575,43579,51797,52578,55900,68032,68033,68034,69209,69410,69413,69416,71311,71312,71313,71314,71315,71316,71317,71318,71328,71329,71749,71750,71751,71752,71753,71754,72002,72004,72006,81286,81331,81338,81375,81642,83073,83074,83297,85140,85434,85445,85514,85516,85517,85519,86655,86656,86659,86660,86981,86985,86986,87330,87497,87499,88630,88966,88970,91053,93961,93962
MDAMB231	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		61703,61704,61705,61706,61707,61708,61709,61710,61711,65717,65718,65719,78266,78268,104662,104663		Cistrome sample ID(s): 61703,61704,61705,61706,61707,61708,61709,61710,61711,65717,65718,65719,78266,78268,104662,104663
MDAMB231	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	41929,41930,54186,61913,61914,61915,61916,61917,61918,62022,84597,84598,103364,103365,103366,103367,103368,103369,103370,103371,103372	54187	Dominant identity correct; 1 contaminant sample(s) dropped, 21 clean kept. MULTIPLEXED sample(s) among dropped (title names >1 line).
MDAMB231	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	54407,68293,68294,69503,69504,69505,69506,69507,69508,69509,69510,71094,71095,82160,82161,88659,88660	54404	Dominant identity correct; 1 contaminant sample(s) dropped, 17 clean kept. MULTIPLEXED sample(s) among dropped (title names >1 line).
MDST8	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
MDST8	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
MDST8	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
MNEU.E	ATAC-seq	unresolved	unresolved										MNEU.E terminally-differentiated motor neurons: NOT_DEFENSIBLE to inherit (locked).
MNEU.E	H3K27ac	unresolved	unresolved										MNEU.E terminally-differentiated motor neurons: NOT_DEFENSIBLE to inherit (locked).
MNEU.E	H3K27me3	unresolved	unresolved										MNEU.E terminally-differentiated motor neurons: NOT_DEFENSIBLE to inherit (locked).
NCIH1694	ATAC-seq	resolved	substitute_assay	DNase-seq	False	encode	GRCh38	name_verified	clean	substitute: DNase-seq used for missing ATAC-seq	ENCODE Experiment(s): ENCSR208GRN,ENCSR965SOG		ENCODE Experiment(s): ENCSR208GRN,ENCSR965SOG
NCIH1694	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH1694	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH1836	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH1836	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH1836	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH2073	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH2073	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH2073	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH508	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH508	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH508	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH596	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH596	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NCIH596	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NEU	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		66071,66072		Cistrome sample ID(s): 66071,66072
NEU	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NEU	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NKDBA	ATAC-seq	resolved	tissue_type_match	ATAC-seq	True	epimap	hg19	tissue_type_only	clean	tissue_type_only			[alias='kidney epithelial' (type alias)] EpiMap imputed track, biosample ID: BSS01080 [perturb=null confirmed]
NKDBA	H3K27ac	resolved	tissue_type_match	H3K27ac	True	epimap	hg19	tissue_type_only	clean	tissue_type_only			[alias='kidney epithelial' (type alias)] EpiMap imputed track, biosample ID: BSS01080 [perturb=null confirmed]
NKDBA	H3K27me3	resolved	tissue_type_match	H3K27me3	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only	44711		[alias='kidney epithelial' (type alias)] Cistrome sample ID(s): 44711
NOMO1	ATAC-seq	resolved	substitute_assay	DNase-seq	False	encode	GRCh38	name_verified	clean	substitute: DNase-seq used for missing ATAC-seq	ENCODE Experiment(s): ENCSR144OFT,ENCSR450TDT,ENCSR407GPV,ENCSR499OMA		ENCODE Experiment(s): ENCSR144OFT,ENCSR450TDT,ENCSR407GPV,ENCSR499OMA
NOMO1	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NOMO1	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
NPC	ATAC-seq	resolved	substitute_assay	H3K4me3 ChIP-seq	False	cistrome	hg38	name_verified	contaminant_samples_removed	substitute: H3K4me3 ChIP-seq used for missing ATAC-seq	6446,6447,6506,36954	84955	Cistrome sample ID(s): 6446,6447,6506,36954,84955
NPC	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	6416,6439,6494,36224,36869	84956	Dominant identity correct; 1 contaminant sample(s) dropped, 5 clean kept.
NPC	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		6495,6496,36219,36851		Cistrome sample ID(s): 6495,6496,36219,36851
NPC.CAS9	ATAC-seq	resolved	related_line_inheritance	H3K4me3 ChIP-seq	False	cistrome	hg38	related_line	contaminant_samples_removed	pre_authorized (Cas9 transgene, chromatin-neutral)	6446,6447,6506,36954	84955	Inherited from NPC/ATAC-seq (cleaned).
NPC.CAS9	H3K27ac	resolved	related_line_inheritance	H3K27ac	True	cistrome	hg38	related_line	contaminant_samples_removed	pre_authorized (Cas9 transgene, chromatin-neutral)	6416,6439,6494,36224,36869	84956	Inherited from NPC/H3K27ac (cleaned).
NPC.CAS9	H3K27me3	resolved	related_line_inheritance	H3K27me3	True	cistrome	hg38	related_line	clean	pre_authorized (Cas9 transgene, chromatin-neutral)	6495,6496,36219,36851		Inherited from NPC/H3K27me3 (cleaned).
NPC.TAK	ATAC-seq	resolved	related_line_inheritance	H3K4me3 ChIP-seq	False	cistrome	hg38	related_line	contaminant_samples_removed	possible_donor_difference (NPC.TAK maintained as distinct line from NPC; TAK not a documented perturbation)	6446,6447,6506,36954	84955	Inherited from NPC/ATAC-seq (cleaned).
NPC.TAK	H3K27ac	resolved	related_line_inheritance	H3K27ac	True	cistrome	hg38	related_line	contaminant_samples_removed	possible_donor_difference (NPC.TAK maintained as distinct line from NPC; TAK not a documented perturbation)	6416,6439,6494,36224,36869	84956	Inherited from NPC/H3K27ac (cleaned).
NPC.TAK	H3K27me3	resolved	related_line_inheritance	H3K27me3	True	cistrome	hg38	related_line	clean	possible_donor_difference (NPC.TAK maintained as distinct line from NPC; TAK not a documented perturbation)	6495,6496,36219,36851		Inherited from NPC/H3K27me3 (cleaned).
OV7	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
OV7	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
OV7	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
PC3	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR499ASS
PC3	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR826UTD
PC3	H3K27me3	resolved	direct_measurement	H3K27me3	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR881TWJ
PHH	ATAC-seq	resolved	substitute_assay	H3K4me3 ChIP-seq	False	cistrome	hg19	name_verified	clean	substitute: H3K4me3 ChIP-seq used for missing ATAC-seq	105442,105443		Cistrome sample ID(s): 105442,105443
PHH	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
PHH	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg19	name_verified	clean		105438,105439		Cistrome sample ID(s): 105438,105439
PL21	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
PL21	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
PL21	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
RKO	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		78447		Cistrome sample ID(s): 78447
RKO	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		81692		Cistrome sample ID(s): 81692
RKO	H3K27me3	resolved	direct_measurement	H3K27me3	True	epimap	hg19	name_verified	clean				EpiMap imputed track, biosample ID: BSS01535 [perturb=null confirmed]
RMGI	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
RMGI	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg19	name_verified	clean		94551,107425,107426		Cistrome sample ID(s): 94551,107425,107426
RMGI	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
RMUGS	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
RMUGS	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
RMUGS	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SKB	ATAC-seq	resolved	tissue_type_match	ATAC-seq	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	7921,78636,78637,78689,78690,91617,91618,91619		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKB	H3K27ac	resolved	tissue_type_match	H3K27ac	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only	38011,68382		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKB	H3K27me3	resolved	tissue_type_match	H3K27me3	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only	3438,3439,3444		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKBR3	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		78238,78239,78240		Cistrome sample ID(s): 78238,78239,78240
SKBR3	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		87173,87174		Cistrome sample ID(s): 87173,87174
SKBR3	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		51798,87171,87172		Cistrome sample ID(s): 51798,87171,87172
SKL	ATAC-seq	resolved	tissue_type_match	ATAC-seq	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only	7921,78636,78637,78689,78690,91617,91618,91619		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKL	H3K27ac	resolved	tissue_type_match	H3K27ac	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only	38011,68382		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKL	H3K27me3	resolved	tissue_type_match	H3K27me3	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only	3438,3439,3444		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKL.C	ATAC-seq	resolved	tissue_type_match	ATAC-seq	True	cistrome	hg38	tissue_type_only	clean	tissue_type_only; '.C' lot variant	7921,78636,78637,78689,78690,91617,91618,91619		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKL.C	H3K27ac	resolved	tissue_type_match	H3K27ac	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only; '.C' lot variant	38011,68382		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKL.C	H3K27me3	resolved	tissue_type_match	H3K27me3	True	cistrome	hg19	tissue_type_only	clean	tissue_type_only; '.C' lot variant	3438,3439,3444		Skeletal-muscle tissue-type match (SKL rebuilt clean skeletal-muscle pool (AT6BR LCL lymphoblastoid mis-tags excluded)).
SKLU1	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SKLU1	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SKLU1	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SKM1	ATAC-seq	resolved	substitute_assay	DNase-seq	False	encode	GRCh38	name_verified	clean	substitute: DNase-seq used for missing ATAC-seq	ENCODE Experiment(s): ENCSR433QRR,ENCSR881NJY		ENCODE Experiment(s): ENCSR433QRR,ENCSR881NJY
SKM1	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		57579,57580,57581,57582,57583,57584,57585,57586		Cistrome sample ID(s): 57579,57580,57581,57582,57583,57584,57585,57586
SKM1	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		57603,57604,57605,57606,57607,57608,57609,57610		Cistrome sample ID(s): 57603,57604,57605,57606,57607,57608,57609,57610
SKMEL1	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		79020		Cistrome sample ID(s): 79020
SKMEL1	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg19	name_verified	clean		85884		Cistrome sample ID(s): 85884
SKMEL1	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg19	name_verified	clean		85643		Cistrome sample ID(s): 85643
SKMEL28	ATAC-seq	resolved	substitute_assay	H3K4me3 ChIP-seq	False	cistrome	hg38	name_verified	clean	substitute: H3K4me3 for missing ATAC; rehabilitated (GSM838933='SK-MEL-28', MEL-745A tag artifact)	43881		SK-MEL-28 H3K4me3 (GSM838933) as ATAC proxy; MEL-745A tag disregarded as parser artifact.
SKMEL28	H3K27ac	unresolved	unresolved										No SK-MEL-28 H3K27ac data in ENCODE/Cistrome/EpiMap/ChIP-Atlas.
SKMEL28	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean	rehabilitated: MEL-745A CVCL tag was Cistrome parser artifact; GEO GSM838934='SK-MEL-28'	43882		SK-MEL-28 H3K27me3 (GSM838934); MEL-745A tag disregarded as parser artifact.
SNGM	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNGM	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNGM	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNU1040	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNU1040	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNU1040	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNUC4	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNUC4	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNUC4	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNUC5	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNUC5	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SNUC5	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SW480	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		52052,78450		Cistrome sample ID(s): 52052,78450
SW480	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		61969,66812,84219,85655		Cistrome sample ID(s): 61969,66812,84219,85655
SW480	H3K27me3	resolved	direct_measurement	H3K27me3	True	epimap	hg19	name_verified	clean				EpiMap imputed track, biosample ID: BSS01682 [perturb=null confirmed]
SW620	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SW620	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	clean		81690		Cistrome sample ID(s): 81690
SW620	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SW948	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SW948	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
SW948	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
T3M10	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
T3M10	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
T3M10	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
THP1	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		65797,65798,65799,65800,65801,65802,65803,65804,65805,65806,65807,65808,65809,65810,65811,65812		Cistrome sample ID(s): 65797,65798,65799,65800,65801,65802,65803,65804,65805,65806,65807,65808,65809,65810,65811,65812
THP1	H3K27ac	resolved	direct_measurement	H3K27ac	True	cistrome	hg38	name_verified	contaminant_samples_removed	decontaminated	66631,66836,66837,66838,66839,90572,92937,94180,94181,94188,94189,94191,99715,106386,106882,107548,107549,107550,107551	99714	Dominant identity correct; 1 contaminant sample(s) dropped, 19 clean kept.
THP1	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
TYKNU	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
TYKNU	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
TYKNU	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
U266	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg38	name_verified	clean		104515		Cistrome sample ID(s): 104515
U266	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
U266	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
U937	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	cistrome	hg19	name_verified	clean		79496,79497		Cistrome sample ID(s): 79496,79497
U937	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
U937	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
VCAP	ATAC-seq	resolved	direct_measurement	ATAC-seq	True	epimap	hg19	name_verified	clean				EpiMap imputed track, biosample ID: BSS01888 [perturb=null confirmed]
VCAP	H3K27ac	resolved	direct_measurement	H3K27ac	True	encode	GRCh38	name_verified	clean				ENCODE Experiment(s): ENCSR597ULV
VCAP	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg19	name_verified	clean		2922,2923,2924		Cistrome sample ID(s): 2922,2923,2924
WSUDLCL2	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
WSUDLCL2	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
WSUDLCL2	H3K27me3	resolved	direct_measurement	H3K27me3	True	cistrome	hg38	name_verified	clean		40317		Cistrome sample ID(s): 40317
YAPC	ATAC-seq	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
YAPC	H3K27ac	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
YAPC	H3K27me3	unresolved	unresolved										No verified data via direct, substitute, or tissue-type matching.
