cell_line	mark	total_ids_checked	dominant_cvcl_raw_count	dominant_count	corrected_dominant_cvcl	corrected_dominant_score	all_distinct_cvcl_accessions	contaminating_extra_cvcl	classification	evidence	needs_overseer_decision
HUH7	H3K27ac	4	CVCL:0336	4	CVCL:0336	3.499	['CVCL:0336']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
HUVEC	ATAC-seq	6	CVCL:2959	6	CVCL:2959	5.819	['CVCL:2959']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
HUVEC	H3K27ac	18	CVCL:2959	18	CVCL:2959	15.669	['CVCL:2959']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
HUVEC	H3K27me3	3	CVCL:2959	3	CVCL:2959	2.87	['CVCL:2959']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
JURKAT	ATAC-seq	14	CVCL:0065	14	CVCL:0065	10.5	['CVCL:0065']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
JURKAT	H3K27ac	10	CVCL:0065	10	CVCL:0065	9.515	['CVCL:0065', 'CVCL:1667']	['RPMI-8402 (CVCL:1667)']	GENUINE_CONTAMINATION	RPMI-8402 (CVCL:1667) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0065; score 0.996 vs dominant 9.515	True
JURKAT	H3K27me3	12	CVCL:0065	12	CVCL:0065	10.676	['CVCL:0065', 'CVCL:0367', 'CVCL:F736', 'CVCL:VQ63']	['Jurkat E6.1 (CVCL:0367)', 'TS/A (CVCL:F736)', 'TS/A-pc (CVCL:VQ63)']	GENUINE_CONTAMINATION	TS/A (CVCL:F736) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0065; score 1.432 vs dominant 10.676; TS/A-pc (CVCL:VQ63) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0065; score 1.528 vs dominant 10.676; Jurkat E6.1 (CVCL:0367): dominant CVCL:0065 found in ancestry chain at hop 1 (subclone/descendant of dominant)	True
LNCAP	ATAC-seq	50	CVCL:0395	48	CVCL:0395	41.684	['CVCL:0395', 'CVCL:D142', 'CVCL:F736', 'CVCL:VQ63', 'CVCL:ZC87']	['1F5 (CVCL:D142)', 'TS/A (CVCL:F736)', 'TS/A-pc (CVCL:VQ63)', 'LNCaP-95 (CVCL:ZC87)']	GENUINE_CONTAMINATION	TS/A (CVCL:F736) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0395; score 2.544 vs dominant 41.684; TS/A-pc (CVCL:VQ63) (category=Cancer cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0395; score 2.655 vs dominant 41.684; 1F5 (CVCL:D142): Hybridoma (antibody-source conflation); LNCaP-95 (CVCL:ZC87): dominant CVCL:0395 found in ancestry chain at hop 2 (subclone/descendant of dominant)	True
LNCAP	H3K27ac	42	CVCL:0395	36	CVCL:0395	29.747	['CVCL:0395', 'CVCL:4784', 'CVCL:4793']	['LNCaP-abl (CVCL:4793)', 'LNCaP C4-2B (CVCL:4784)']	METADATA_ARTIFACT	LNCaP-abl (CVCL:4793): dominant CVCL:0395 found in ancestry chain at hop 1 (subclone/descendant of dominant); LNCaP C4-2B (CVCL:4784): dominant CVCL:0395 found in ancestry chain at hop 3 (subclone/descendant of dominant)	False
LNCAP	H3K27me3	18	CVCL:0395	16	CVCL:0395	14.784	['CVCL:0395', 'CVCL:4793']	['LNCaP-abl (CVCL:4793)']	METADATA_ARTIFACT	LNCaP-abl (CVCL:4793): dominant CVCL:0395 found in ancestry chain at hop 1 (subclone/descendant of dominant)	False
LOVO	ATAC-seq	1	CVCL:0399	1	CVCL:0399	0.976	['CVCL:0399']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
LOVO	H3K27ac	1	CVCL:0399	1	CVCL:0399	0.976	['CVCL:0399']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
MCF10A	ATAC-seq	24	CVCL:0598	24	CVCL:0598	22.406	['CVCL:0598']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
MCF10A	H3K27ac	34	CVCL:0598	34	CVCL:0598	28.11	['CVCL:0598']	[]	METADATA_ARTIFACT	Single CVCL accession — no conflict	False
MCF10A	H3K27me3	16	CVCL:0598	16	CVCL:0598	14.799	['CVCL:0598', 'CVCL:E778']	['MLF (CVCL:E778)']	GENUINE_CONTAMINATION	MLF (CVCL:E778) (category=Transformed cell line): independently established; no derived-from ancestry relationship to dominant CVCL:0598; score 1.799 vs dominant 14.799	True
