lincs_cell_id	mark	source_used	genome_build	notes
HCT116	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR810BDB
HEC108	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HEC108	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HEC108	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HEK293T	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 40986,53817,53818,53819,53820,53821,53822,53823,53824,53825,53826,53827,53828,53829,53830,53831,53832,53833,53834,53835,53836,53837,53838,53839,53840,53841,53842,53843,53844,53845,53846,53847,53848,53849,53850,53851,53852,53853,53854,53855,53856,53857,53858,53859,53860,53861,53862,53863,79294,79326,80454,80455,94772
HEK293T	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 43073,50458,66496
HEK293T	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 8557,90447,90448,92294
HELA	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 5020,35747,44959,44960,52053,54408,56223,56224,90182,91330,91395,93085,93086,94385,94387,94388,94389,94390,100148,100149
HELA	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 45283,45285,55457,55458,55459,55460,55461,55462,55463,55464,56227,56228,62013,62014,62015,62016,62017,70085,70088,89600,90889,91483,94625,94626,94627,94628
HELA	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 1239,1240,70084,70087,88888,88889,88890,88891,88996,89605,90949,91468,104618
HEPG2	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR042AWH,ENCSR291GJU
HEPG2	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR000AMO
HEPG2	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR000AOL,ENCSR000DUE
HL60	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 44971,44972,65308,66077,66078,66171,66172,66173,92929
HL60	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR919WLM
HL60	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR198IHT
HME1	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 106053,106054,106055,106056,106057,106058,106059,106060,106061,106062,106063,106064
HME1	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HME1	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HS27A	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 44900
HS27A	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HS27A	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HS578T	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HS578T	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HS578T	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HT115	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HT115	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HT115	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HT29	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78449
HT29	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 43640,61966,62025,62026,62027,62028,62029,62030,62031,62032,62033,62034
HT29	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HUES3	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HUES3	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HUES3	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HUH7	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 40761,40770
HUH7	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 66908,66909,66910,87149
HUH7	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
HUVEC	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 35744,40904,45014,45015,61548,61549
HUVEC	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 33473,33479,35414,35421,37086,41620,41621,44344,44345,44346,44347,44384,44385,45360,45373,48063,48064,48065
HUVEC	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 35396,35443,81588
JHUEM2	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
JHUEM2	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
JHUEM2	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.
JURKAT	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 45018,45019,78812,78813,78814,78815,78816,78817,78818,78819,80028,80029,80030,80031
JURKAT	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 43040,43591,49282,49283,50564,50568,50572,53708,53709,54237
JURKAT	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 34269,49284,67368,67369,74122,74123,74124,74125,74126,74127,74128,74129
LNCAP	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 5026,5027,7638,7639,8495,8496,43138,43139,43140,43141,43142,43143,43144,43145,43146,43147,43148,43149,43150,43151,43152,43153,43154,43155,43159,43160,45026,45027,65846,65847,65848,65849,65850,65851,93386,93388,93908,93909,93916,93917,93918,93919,105655,105656,105657,105658,105659,105660,105661,105662
LNCAP	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 2199,2200,43059,43060,61919,61920,61921,61922,61923,61924,61925,61926,61927,61928,61929,61930,61931,61932,61933,61934,61935,61936,62198,62210,66488,66495,67071,67072,68393,69366,69367,83855,83856,84175,84179,84180,90914,90917,93912,93913,101515,101516
