cell_line	mark	total_ids_checked	clean_single_cvcl	zero_cvcl	multi_cvcl_ids	all_distinct_cvcl_accessions	dominant_cvcl	dominant_count	contaminating_extra_cvcl	contaminated
SKBR3	ATAC-seq	3	3	0	0	['CVCL:0033']	CVCL:0033	3	[]	False
SKBR3	H3K27ac	2	2	0	0	['CVCL:0033']	CVCL:0033	2	[]	False
SKBR3	H3K27me3	3	2	0	1	['CVCL:0033', 'CVCL:E025']	CVCL:0033	3	['PAE-iPS-4 (CVCL:E025)']	True
SKM1	H3K27ac	8	8	0	0	['CVCL:0098']	CVCL:0098	8	[]	False
SKM1	H3K27me3	8	8	0	0	['CVCL:0098']	CVCL:0098	8	[]	False
SKMEL1	ATAC-seq	1	0	1	0	[]	none	0	[]	False
SKMEL1	H3K27ac	1	0	1	0	[]	none	0	[]	False
SKMEL1	H3K27me3	1	0	1	0	[]	none	0	[]	False
SKMEL28	H3K27me3	1	0	0	1	['CVCL:0526', 'CVCL:2111']	CVCL:2111	1	['SK-MEL-28 (CVCL:0526)']	True
SW480	ATAC-seq	2	0	0	2	['CVCL:0546', 'CVCL:AT67']	CVCL:AT67	2	['SW480 (CVCL:0546)']	True
SW480	H3K27ac	4	0	0	4	['CVCL:0546', 'CVCL:AT67', 'CVCL:E025']	CVCL:AT67	4	['SW480 (CVCL:0546)', 'PAE-iPS-4 (CVCL:E025)']	True
SW620	H3K27ac	1	1	0	0	['CVCL:0547']	CVCL:0547	1	[]	False
THP1	ATAC-seq	16	16	0	0	['CVCL:0006']	CVCL:0006	16	[]	False
THP1	H3K27ac	20	19	0	1	['CVCL:0006', 'CVCL:5U28', 'CVCL:DI50', 'CVCL:J013', 'CVCL:VN72', 'CVCL:XK55']	CVCL:0006	20	['OARSAi007-A (CVCL:VN72)', 'ML14 (CVCL:DI50)', 'L.14 (CVCL:5U28)', 'PAb 414 (CVCL:XK55)', 'L-14 (CVCL:J013)']	True
U266	ATAC-seq	1	1	0	0	['CVCL:0566']	CVCL:0566	1	[]	False
U937	ATAC-seq	2	2	0	0	['CVCL:0007']	CVCL:0007	2	[]	False
VCAP	H3K27me3	3	3	0	0	['CVCL:2235']	CVCL:2235	3	[]	False
WSUDLCL2	H3K27me3	1	1	0	0	['CVCL:1902']	CVCL:1902	1	[]	False
