lincs_cell_id	mark	source_used	genome_build	notes	is_primary_assay	substituted_for	substitute_assay_used	v6_change
RKO	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 81692	True			unchanged from v5
RKO	H3K27me3	epimap	hg19	EpiMap imputed track, biosample ID: BSS01535 [perturb=null confirmed]	True			unchanged from v5
RMGI	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
RMGI	H3K27ac	cistrome	hg19	Cistrome sample ID(s): 94551,107425,107426	True			unchanged from v5
RMGI	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
RMUGS	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
RMUGS	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
RMUGS	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKB	ATAC-seq	cistrome	hg38	[alias='myoblast' (type alias)] Cistrome sample ID(s): 7921,78636,78637,78689,78690,91385,91387,91388,91389,91390,91391,91392,91393,91394,91542,91611,91612,91613,91614,91615,91616,91617,91618,91619,94124,94125,94285,94286,94287,94288,94289,94290,94291,94292,94293,94294	True			RESOLVED via Cistrome alias='myoblast'
SKB	H3K27ac	cistrome	hg38	[alias='myoblast' (type alias)] Cistrome sample ID(s): 62060,68382	True			RESOLVED via Cistrome alias='myoblast'
SKB	H3K27me3	epimap	hg19	[alias='myoblast' (type alias)] EpiMap imputed track, biosample ID: BSS01344 [perturb=null confirmed]	True			RESOLVED via EpiMap alias='myoblast'
SKBR3	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78238,78239,78240	True			unchanged from v5
SKBR3	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 87173,87174	True			unchanged from v5
SKBR3	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 51798,87171,87172	True			unchanged from v5
SKL	ATAC-seq	cistrome	hg38	[alias='skeletal muscle' (type alias)] Cistrome sample ID(s): 7921,91385,91387,91388,91389,91390,91391,91392,91393,91394,91542,91611,91612,91613,91614,91615,91616,91617,91618,91619,94124,94125,94285,94286,94287,94288,94289,94290,94291,94292,94293,94294	True			RESOLVED via Cistrome alias='skeletal muscle'
SKL	H3K27ac	cistrome	hg19	[alias='skeletal muscle' (type alias)] Cistrome sample ID(s): 38011	True			RESOLVED via Cistrome alias='skeletal muscle'
SKL	H3K27me3	cistrome	hg19	[alias='skeletal muscle' (type alias)] Cistrome sample ID(s): 3438,3439,3444	True			RESOLVED via Cistrome alias='skeletal muscle'
SKL.C	ATAC-seq	cistrome	hg38	[alias='skeletal muscle' (type alias)] Cistrome sample ID(s): 7921,91385,91387,91388,91389,91390,91391,91392,91393,91394,91542,91611,91612,91613,91614,91615,91616,91617,91618,91619,94124,94125,94285,94286,94287,94288,94289,94290,94291,94292,94293,94294	True			RESOLVED via Cistrome alias='skeletal muscle'
SKL.C	H3K27ac	cistrome	hg19	[alias='skeletal muscle' (type alias)] Cistrome sample ID(s): 38011	True			RESOLVED via Cistrome alias='skeletal muscle'
SKL.C	H3K27me3	cistrome	hg19	[alias='skeletal muscle' (type alias)] Cistrome sample ID(s): 3438,3439,3444	True			RESOLVED via Cistrome alias='skeletal muscle'
SKLU1	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKLU1	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKLU1	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKM1	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKM1	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 57579,57580,57581,57582,57583,57584,57585,57586	True			unchanged from v5
SKM1	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 57603,57604,57605,57606,57607,57608,57609,57610	True			unchanged from v5
SKMEL1	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 79020	True			unchanged from v5
SKMEL1	H3K27ac	cistrome	hg19	Cistrome sample ID(s): 85884	True			unchanged from v5
SKMEL1	H3K27me3	cistrome	hg19	Cistrome sample ID(s): 85643	True			unchanged from v5
SKMEL28	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKMEL28	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SKMEL28	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 43882	True			unchanged from v5
SNGM	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNGM	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNGM	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNU1040	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNU1040	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNU1040	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNUC4	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNUC4	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNUC4	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNUC5	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNUC5	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SNUC5	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SW480	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 52052,78450	True			unchanged from v5
SW480	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 61969,66812,84219,85655	True			unchanged from v5
SW480	H3K27me3	epimap	hg19	EpiMap imputed track, biosample ID: BSS01682 [perturb=null confirmed]	True			unchanged from v5
SW620	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SW620	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 81690	True			unchanged from v5
SW620	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SW948	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SW948	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
SW948	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
T3M10	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
T3M10	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
T3M10	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
THP1	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 65797,65798,65799,65800,65801,65802,65803,65804,65805,65806,65807,65808,65809,65810,65811,65812	True			unchanged from v5
THP1	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 66631,66836,66837,66838,66839,90572,92937,94180,94181,94188,94189,94191,99714,99715,106386,106882,107548,107549,107550,107551	True			unchanged from v5
THP1	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
TYKNU	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
TYKNU	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
TYKNU	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
U266	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 104515	True			unchanged from v5
U266	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
U266	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
U937	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 79496,79497	True			unchanged from v5
U937	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
U937	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
VCAP	ATAC-seq	epimap	hg19	EpiMap imputed track, biosample ID: BSS01888 [perturb=null confirmed]	True			unchanged from v5
VCAP	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR597ULV	True			unchanged from v5
VCAP	H3K27me3	cistrome	hg19	Cistrome sample ID(s): 2922,2923,2924	True			unchanged from v5
WSUDLCL2	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
WSUDLCL2	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
WSUDLCL2	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 40317	True			unchanged from v5
YAPC	ATAC-seq	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
YAPC	H3K27ac	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
YAPC	H3K27me3	unresolved	None	Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry
