lincs_cell_id	mark	source_used	genome_build	notes	is_primary_assay	substituted_for	substitute_assay_used	v6_change	alias_match_category	alias_contamination_class	alias_contamination_note
JURKAT	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 45018,45019,78812,78813,78814,78815,78816,78817,78818,78819,80028,80029,80030,80031	True			unchanged from v5			
JURKAT	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 43040,43591,49282,49283,50564,50568,50572,53708,53709,54237	True			unchanged from v5			
JURKAT	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 34269,49284,67368,67369,74122,74123,74124,74125,74126,74127,74128,74129	True			unchanged from v5			
LNCAP	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 5026,5027,7638,7639,8495,8496,43138,43139,43140,43141,43142,43143,43144,43145,43146,43147,43148,43149,43150,43151,43152,43153,43154,43155,43159,43160,45026,45027,65846,65847,65848,65849,65850,65851,93386,93388,93908,93909,93916,93917,93918,93919,105655,105656,105657,105658,105659,105660,105661,105662	True			unchanged from v5			
LNCAP	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 2199,2200,43059,43060,61919,61920,61921,61922,61923,61924,61925,61926,61927,61928,61929,61930,61931,61932,61933,61934,61935,61936,62198,62210,66488,66495,67071,67072,68393,69366,69367,83855,83856,84175,84179,84180,90914,90917,93912,93913,101515,101516	True			unchanged from v5			
LNCAP	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 2201,2202,34325,34328,39738,70757,70758,76143,76144,84175,84179,84180,90915,92449,93914,94709,105664,105665	True			unchanged from v5			
LOVO	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78500	True			unchanged from v5			
LOVO	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 66756	True			unchanged from v5			
LOVO	H3K27me3	epimap	hg19	EpiMap imputed track, biosample ID: BSS01179 [perturb=null confirmed]	True			unchanged from v5			
MCF10A	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 79427,79428,79429,79430,106852,106853,106854,106855,106856,106857,106858,106859,106860,106861,106862,106863,106864,106865,106866,106867,106868,106869,106870,106871	True			unchanged from v5			
MCF10A	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 58594,66273,66274,66493,66494,81964,81965,82209,82210,82229,82231,82232,84832,84833,84834,84835,84836,86068,86069,86070,86071,86072,86073,86074,86075,86076,86077,86327,86328,86332,86333,105307,105309,108302	True			unchanged from v5			
MCF10A	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 48604,68301,68302,71100,71101,82211,82212,82223,82224,82225,82226,82227,82228,82230,84304,86569	True			unchanged from v5			
MCF7	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR422SUG	True			unchanged from v5			
MCF7	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR000EWR,ENCSR752UOD	True			unchanged from v5			
MCF7	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR000EWP,ENCSR761DLU	True			unchanged from v5			
