lincs_cell_id	mark	source_used	genome_build	notes	is_primary_assay	substituted_for	substitute_assay_used	v6_change	alias_match_category	alias_contamination_class	alias_contamination_note
FIBRNPC	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
H1299	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
H1299	H3K27ac	cistrome	hg19	Cistrome sample ID(s): 81435,81442,81747,85269,85579	True			unchanged from v5			
H1299	H3K27me3	cistrome	hg19	Cistrome sample ID(s): 76235,76237,76239,76241,76243,76245,81434,81441,81746,85270,85580	True			unchanged from v5			
HA1E	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HA1E	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HA1E	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HCC15	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HCC15	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 108167,108168,108169,108170	True			unchanged from v5			
HCC15	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 108159,108160,108161,108162	True			unchanged from v5			
HCC515	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HCC515	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HCC515	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HCT116	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR872WGW,ENCSR389WJO,ENCSR182JAI,ENCSR059BAR,ENCSR260SWI,ENCSR441BDP,ENCSR477YZA,ENCSR816PPJ,ENCSR874GXS,ENCSR302NVX,ENCSR328JGW,ENCSR780PLN,ENCSR445VYQ,ENCSR135OML,ENCSR988ITF,ENCSR998BBI,ENCSR345XUN	True			unchanged from v5			
HCT116	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR000EUT,ENCSR661KMA	True			unchanged from v5			
HCT116	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR810BDB	True			unchanged from v5			
HEC108	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HEC108	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HEC108	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HEK293T	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 40986,53817,53818,53819,53820,53821,53822,53823,53824,53825,53826,53827,53828,53829,53830,53831,53832,53833,53834,53835,53836,53837,53838,53839,53840,53841,53842,53843,53844,53845,53846,53847,53848,53849,53850,53851,53852,53853,53854,53855,53856,53857,53858,53859,53860,53861,53862,53863,79294,79326,80454,80455,94772	True			unchanged from v5			
HEK293T	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 43073,50458,66496	True			unchanged from v5			
HEK293T	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 8557,90447,90448,92294	True			unchanged from v5			
HELA	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 5020,35747,44959,44960,52053,54408,56223,56224,90182,91330,91395,93085,93086,94385,94387,94388,94389,94390,100148,100149	True			unchanged from v5			
HELA	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 45283,45285,55457,55458,55459,55460,55461,55462,55463,55464,56227,56228,62013,62014,62015,62016,62017,70085,70088,89600,90889,91483,94625,94626,94627,94628	True			unchanged from v5			
HELA	H3K27me3	cistrome	hg38	Cistrome sample ID(s): 1239,1240,70084,70087,88888,88889,88890,88891,88996,89605,90949,91468,104618	True			unchanged from v5			
HEPG2	ATAC-seq	encode	GRCh38	ENCODE Experiment(s): ENCSR042AWH,ENCSR291GJU	True			unchanged from v5			
HEPG2	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR000AMO	True			unchanged from v5			
HEPG2	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR000AOL,ENCSR000DUE	True			unchanged from v5			
HL60	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 44971,44972,65308,66077,66078,66171,66172,66173,92929	True			unchanged from v5			
HL60	H3K27ac	encode	GRCh38	ENCODE Experiment(s): ENCSR919WLM	True			unchanged from v5			
HL60	H3K27me3	encode	GRCh38	ENCODE Experiment(s): ENCSR198IHT	True			unchanged from v5			
HME1	ATAC-seq	cistrome	hg19	Cistrome sample ID(s): 106053,106054,106055,106056,106057,106058,106059,106060,106061,106062,106063,106064	True			unchanged from v5			
HME1	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HME1	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HS27A	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 44900	True			unchanged from v5			
HS27A	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HS27A	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HS578T	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HS578T	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HS578T	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HT115	ATAC-seq	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HT115	H3K27ac	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HT115	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
HT29	ATAC-seq	cistrome	hg38	Cistrome sample ID(s): 78449	True			unchanged from v5			
HT29	H3K27ac	cistrome	hg38	Cistrome sample ID(s): 43640,61966,62025,62026,62027,62028,62029,62030,62031,62032,62033,62034	True			unchanged from v5			
HT29	H3K27me3	unresolved		Checked ENCODE, Cistrome, and EpiMap. No datasets found.	True			still unresolved after alias retry			
