pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-418990	Adherens junctions interactions	22	BIRC2,CDC42,CDH3,CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,MYC,PSMD2,RB1,RPN1,SMARCA4,SRC,STAT3,SUZ12,TFAP2A,TIAM1,TLE1,ZMYM2
R-HSA-421270	Cell-cell junction organization	22	BIRC2,CDC42,CDH3,CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,MYC,PSMD2,RB1,RPN1,SMARCA4,SRC,STAT3,SUZ12,TFAP2A,TIAM1,TLE1,ZMYM2
R-HSA-422356	Regulation of insulin secretion	12	GNA11,GNA15,GNAI1,GNAI2,GNAS,GNB5,IQGAP1,PLCB3,PRKACA,SNAP25,STX1A,STXBP1
R-HSA-422475	Axon guidance	57	ABL1,ADAM10,ARHGEF12,CASC3,CDC42,CDK5R1,CLTB,CLTC,COL4A1,CREB1,CSNK2A2,CXCR4,DAG1,DNM1,EGFR,EIF4G1,EPHA3,EPHB2,ERBB2,EVL,FRS2,FYN,GPC1,GRB10,GRB7,HSPA8,LYN,MMP2,MYL9,MYO10,NCK1,NCK2,NRAS,PAK1,PAK4,PAK6,PIK3CA,PIK3R3,PRKACA,PRKCQ,PSMD2,PTK2,PTPRC,RAP1GAP,RASA1,RHOA,RNPS1,RPL39L,RPS5,RPS6,RPS6KA1,SHC1,SPTAN1,SRC,TIAM1,TUBB6,VAV3
R-HSA-425407	SLC-mediated transmembrane transport	7	SLC11A2,SLC1A4,SLC25A4,SLC2A6,SLC35A1,SLC35A3,SLC5A6
R-HSA-427413	NoRC negatively regulates rRNA expression	9	ARID4B,CCNH,CDK7,DNMT1,HDAC2,MNAT1,POLR1C,POLR2K,TBP
R-HSA-428157	Sphingolipid metabolism	6	ASAH1,CERK,FUT1,SPTLC2,ST3GAL5,VAPB
R-HSA-428540	Activation of RAC1	5	NCK1,NCK2,PAK1,PAK4,PAK6
R-HSA-429914	Deadenylation-dependent mRNA decay	6	CNOT4,EIF4G1,EXOSC4,LSM5,LSM6,PAN2
R-HSA-437239	Recycling pathway of L1	5	CLTC,DNM1,RPS6KA1,SRC,TUBB6
R-HSA-438064	Post NMDA receptor activation events	8	CREB1,NRAS,PRKACA,PRKAG2,PRKX,RPS6KA1,SRC,TUBB6
R-HSA-4420097	VEGFA-VEGFR2 Pathway	27	AKT1,CDC42,CRK,CTNND1,FYN,HSPB1,MAPK13,MAPKAPK2,MAPKAPK3,NCK1,NCK2,NOS3,NRAS,PAK1,PIK3CA,PRKACA,PRKCD,PTK2,PTK2B,PXN,RASA1,RHOA,SHB,SRC,TRIB3,VAV3,WASF3
R-HSA-442755	Activation of NMDA receptors and postsynaptic events	9	CASK,CREB1,NRAS,PRKACA,PRKAG2,PRKX,RPS6KA1,SRC,TUBB6
R-HSA-445355	Smooth Muscle Contraction	7	ITGB5,MYL9,MYLK,PAK1,PXN,SORBS3,TPM1
R-HSA-445989	TAK1-dependent IKK and NF-kappa-B activation	7	APP,IKBKB,NFKB2,NFKBIA,NFKBIB,TP53,USP14
R-HSA-446193	Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein	8	AMDHD2,DHDDS,GFPT1,HK1,PMM2,SLC35A1,ST3GAL5,ST6GALNAC2
R-HSA-446203	Asparagine N-linked glycosylation	23	AMDHD2,COG2,COG4,COG7,COPB2,DHDDS,EDEM1,GFPT1,HK1,KDELR2,MLEC,PMM2,RPN1,SLC35A1,SPTAN1,ST3GAL5,ST6GALNAC2,TMED10,TRAPPC3,TRAPPC6A,TRIM13,TUBB6,YKT6
R-HSA-446219	Synthesis of substrates in N-glycan biosythesis	8	AMDHD2,DHDDS,GFPT1,HK1,PMM2,SLC35A1,ST3GAL5,ST6GALNAC2
R-HSA-446652	Interleukin-1 family signaling	15	APP,IKBKB,IL1B,NFKB2,NFKBIA,NFKBIB,PSMD2,PTPN12,PTPN6,SKP1,SMAD3,SQSTM1,STAT3,TP53,USP14
R-HSA-446728	Cell junction organization	27	BIRC2,CDC42,CDH3,CSNK2A2,CTNND1,CTSL,EED,EZH2,FYN,HDAC2,ILK,LAMA3,MYC,PSMD2,PXN,RB1,RPN1,RSU1,SMARCA4,SRC,STAT3,SUZ12,TESK1,TFAP2A,TIAM1,TLE1,ZMYM2
R-HSA-447115	Interleukin-12 family signaling	6	CDC42,MIF,PSME2,RALA,STAT1,STAT3
R-HSA-448424	Interleukin-17 signaling	14	ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,RPS6KA1,SKP1
R-HSA-449836	Other interleukin signaling	6	CASP3,SNAP25,STX1A,STX4,STXBP2,TXLNA
R-HSA-450282	MAPK targets/ Nuclear events mediated by MAP kinases	11	ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,JUN,MAPK9,MAPKAPK2,MEF2C,RPS6KA1
R-HSA-450294	MAP kinase activation	14	ATF1,CREB1,DUSP3,DUSP4,DUSP6,FOS,IKBKB,JUN,MAPK9,MAPKAPK2,MAPKAPK3,MEF2C,RPS6KA1,SKP1
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	5	EIF4G1,HSPA1A,HSPA8,HSPB1,PSMD2
