pathway_id	pathway_name	n_landmark_genes	landmark_gene_symbols
R-HSA-5675221	Negative regulation of MAPK pathway	5	DUSP4,DUSP6,NRAS,PPP2R5A,PPP2R5E
R-HSA-5683057	MAPK family signaling cascades	42	CCND3,CDC42,CDK1,CSK,DNAJB1,DUSP4,DUSP6,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FOXO3,FRS2,FYN,HSPB1,ICMT,IQGAP1,JUN,KIT,LYPLA1,MAPKAPK5,MMP2,MYC,NCOA3,NRAS,PAK1,PDGFA,PIK3CA,PPP2R5A,PPP2R5E,PRKACA,PRKCQ,PSMD2,PTK2,RALGDS,RASA1,SHC1,SPRED2,SPTAN1,SRC
R-HSA-5684996	MAPK1/MAPK3 signaling	30	CDK1,CSK,DUSP4,DUSP6,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FRS2,FYN,ICMT,IQGAP1,KIT,LYPLA1,NRAS,PDGFA,PIK3CA,PPP2R5A,PPP2R5E,PRKCQ,PSMD2,PTK2,RALGDS,RASA1,SHC1,SPRED2,SPTAN1,SRC
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	10	ABL1,BRCA1,LIG1,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-5685942	HDR through Homologous Recombination (HRR)	13	BRCA1,CHEK1,PCNA,POLD4,POLE2,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-5687128	MAPK6/MAPK4 signaling	14	CCND3,CDC42,CDK1,DNAJB1,FOXO3,HSPB1,JUN,MAPKAPK5,MMP2,MYC,NCOA3,PAK1,PRKACA,PSMD2
R-HSA-5688426	Deubiquitination	32	ADRB2,AXIN1,BECN1,BIRC2,BRCA1,CCNA1,CCNA2,CCP110,CDC20,CDC25A,CDK1,DDB2,FOXO4,GATA3,HIF1A,IDE,KEAP1,MYC,NFKBIA,POLB,PSMD2,RHOA,RUVBL1,SMAD3,STAMBP,TGFBR2,TNIP1,TP53,USP14,USP22,USP7,VDAC1
R-HSA-5689880	Ub-specific processing proteases	26	ADRB2,AXIN1,BECN1,BIRC2,CCNA1,CCNA2,CCP110,CDC20,CDC25A,DDB2,FOXO4,GATA3,HIF1A,IDE,KEAP1,MYC,NFKBIA,POLB,PSMD2,RUVBL1,SMAD3,TP53,USP14,USP22,USP7,VDAC1
R-HSA-5693532	DNA Double-Strand Break Repair	24	ABL1,BRCA1,CCNA1,CCNA2,CDK2,CHEK1,CHEK2,LIG1,PARP1,PARP2,PCNA,POLD4,POLE2,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TIMELESS,TOPBP1,TP53,TP53BP1
R-HSA-5693538	Homology Directed Repair	22	ABL1,BRCA1,CCNA1,CCNA2,CDK2,CHEK1,LIG1,PARP1,PARP2,PCNA,POLD4,POLE2,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TIMELESS,TOPBP1,TP53BP1
R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	5	ABL1,BRCA1,CHEK2,TP53,TP53BP1
R-HSA-5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	20	ABL1,BRCA1,CCNA1,CCNA2,CDK2,CHEK1,LIG1,PCNA,POLD4,POLE2,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TIMELESS,TOPBP1,TP53BP1
R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	10	BRCA1,CHEK1,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-5693606	DNA Double Strand Break Response	5	ABL1,BRCA1,CHEK2,TP53,TP53BP1
R-HSA-5693607	Processing of DNA double-strand break ends	14	BRCA1,CCNA1,CCNA2,CDK2,CHEK1,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TIMELESS,TOPBP1,TP53BP1
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	10	BRCA1,CHEK1,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TOPBP1
R-HSA-5696394	DNA Damage Recognition in GG-NER	5	COPS7A,DDB2,PARP1,PARP2,RUVBL1
R-HSA-5696395	Formation of Incision Complex in GG-NER	9	CCNH,CDK7,DDB2,MNAT1,PARP1,PARP2,RPA1,RPA2,RPA3
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	9	LIG1,PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-5696398	Nucleotide Excision Repair	21	CCNH,CDK7,COPS7A,DDB2,LIG1,MNAT1,PARP1,PARP2,PCNA,POLD4,POLE2,POLR2I,POLR2K,PPIE,RFC2,RFC5,RPA1,RPA2,RPA3,RUVBL1,USP7
R-HSA-5696399	Global Genome Nucleotide Excision Repair (GG-NER)	17	CCNH,CDK7,COPS7A,DDB2,LIG1,MNAT1,PARP1,PARP2,PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,RUVBL1
R-HSA-5696400	Dual Incision in GG-NER	11	DDB2,PARP1,PARP2,PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-611105	Respiratory electron transport	6	CYCS,ETFB,OXA1L,SDHB,SLC25A13,TRAP1
R-HSA-674695	RNA Polymerase II Pre-transcription Events	9	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,PAF1,POLR2I,POLR2K,TBP
R-HSA-6781823	Formation of TC-NER Pre-Incision Complex	8	CCNH,CDK7,COPS7A,MNAT1,POLR2I,POLR2K,PPIE,USP7
R-HSA-6781827	Transcription-Coupled Nucleotide Excision Repair (TC-NER)	17	CCNH,CDK7,COPS7A,LIG1,MNAT1,PCNA,POLD4,POLE2,POLR2I,POLR2K,PPIE,RFC2,RFC5,RPA1,RPA2,RPA3,USP7
R-HSA-6782135	Dual incision in TC-NER	15	CCNH,CDK7,MNAT1,PCNA,POLD4,POLE2,POLR2I,POLR2K,PPIE,RFC2,RFC5,RPA1,RPA2,RPA3,USP7
R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	16	CCNH,CDK7,LIG1,MNAT1,PCNA,POLD4,POLE2,POLR2I,POLR2K,PPIE,RFC2,RFC5,RPA1,RPA2,RPA3,USP7
R-HSA-6783783	Interleukin-10 signaling	6	CCL2,CXCL2,ICAM1,IL1B,PTGS2,STAT3
R-HSA-6784531	tRNA processing in the nucleus	11	CPSF4,ELAC2,NUP133,NUP62,NUP85,NUP88,NUP93,POP4,RAE1,RPP38,TSEN2
R-HSA-6785631	ERBB2 Regulates Cell Motility	5	EGF,EGFR,ERBB2,ERBB3,RHOA
R-HSA-6785807	Interleukin-4 and Interleukin-13 signaling	26	AKT1,BCL2,BIRC5,CCL2,CCND1,CDKN1A,CEBPD,FOS,FOXO3,GATA3,HIF1A,HMOX1,HSPA8,ICAM1,IL13RA1,IL1B,IL4R,MMP1,MMP2,MUC1,MYC,PTGS2,SOX2,STAT1,STAT3,TP53
R-HSA-6791226	Major pathway of rRNA processing in the nucleolus and cytosol	10	CSNK1E,EBNA1BP2,EXOSC4,HEATR1,RPL39L,RPP38,RPS5,RPS6,TEX10,UTP14A
R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	16	AURKA,BAX,CCNA1,CCNA2,CCNB1,CCNE2,CDK1,CDK2,CDKN1A,CDKN1B,CNOT4,GADD45A,PCNA,SFN,TFDP1,TP53
R-HSA-6794361	Neurexins and neuroligins	5	CASK,EPB41L2,HOMER2,STX1A,STXBP1
R-HSA-6794362	Protein-protein interactions at synapses	6	CASK,EPB41L2,HOMER2,PTPRF,STX1A,STXBP1
R-HSA-6796648	TP53 Regulates Transcription of DNA Repair Genes	11	BRCA1,CCNH,CDK7,CHEK1,DDB2,FOS,JUN,MNAT1,POLR2I,POLR2K,TP53
R-HSA-6798695	Neutrophil degranulation	51	ACAA1,ACLY,ADAM10,ADGRE5,AGL,ALDOA,ALDOC,ASAH1,ATP11B,ATP6V1D,CAB39,CANT1,CAPN1,CAT,CD44,CD58,CPNE3,CREG1,CTSD,DERA,GAA,GRN,HSPA1A,HSPA8,IGF2R,IQGAP1,MAN2B1,MIF,MLEC,MVP,NRAS,PFKL,PGAM1,PGM1,PGRMC1,PNP,PPIE,PRCP,PRKCD,PSMD2,PTPN6,PTPRC,PYGL,RAB27A,RAB31,RHOA,SNAP25,SPTAN1,STK10,TIMP2,VAT1
R-HSA-6802957	Oncogenic MAPK signaling	6	CSK,DUSP6,IQGAP1,NRAS,SPRED2,SRC
R-HSA-6803204	TP53 Regulates Transcription of Genes Involved in Cytochrome C Release	7	BAX,BID,BNIP3L,PMAIP1,PPP1R13B,TP53,TP53BP2
R-HSA-6803211	TP53 Regulates Transcription of Death Receptors and Ligands	5	FAS,IGFBP3,PPP1R13B,TP53,TP53BP2
R-HSA-6804114	TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest	9	AURKA,BAX,CCNB1,CDK1,GADD45A,PCNA,SFN,TFDP1,TP53
R-HSA-6804116	TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest	7	CCNA1,CCNA2,CCNE2,CDK2,CDKN1A,CDKN1B,TP53
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	22	AURKA,AURKB,BRCA1,CCNA1,CCNA2,CDK2,CDK5R1,CHEK1,CHEK2,CSNK2A2,MAPKAPK5,PIN1,PRKAG2,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,TBP,TOPBP1,TP53
R-HSA-6804757	Regulation of TP53 Degradation	10	AKT1,CCNA1,CCNA2,CDK1,CDK2,CDKN2A,CHEK2,DAXX,TP53,USP7
R-HSA-6804758	Regulation of TP53 Activity through Acetylation	6	AKT1,HDAC2,KAT6A,PIN1,PIP4K2B,TP53
R-HSA-6806003	Regulation of TP53 Expression and Degradation	10	AKT1,CCNA1,CCNA2,CDK1,CDK2,CDKN2A,CHEK2,DAXX,TP53,USP7
R-HSA-6806834	Signaling by MET	12	COL1A1,CRK,CRKL,LAMA3,NRAS,PIK3CA,PTK2,PTPN1,RAB4A,SHC1,SRC,STAT3
R-HSA-6807070	PTEN Regulation	16	AKT1,CSNK2A2,EED,EGR1,EZH2,HDAC2,JUN,MTA1,PPARG,PSMD2,RHEB,RRAGA,STUB1,SUZ12,TP53,USP7
R-HSA-6807505	RNA polymerase II transcribes snRNA genes	7	CDK7,GTF2A2,GTF2E2,INTS3,POLR2I,POLR2K,TBP
R-HSA-6807878	COPI-mediated anterograde transport	9	COG2,COG4,COG7,COPB2,KDELR2,SPTAN1,TMED10,TUBB6,YKT6
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	9	CENPE,COPB2,KDELR2,KIF20A,KIF2C,KIF5C,TMED10,TUBB6,ZW10
R-HSA-6811438	Intra-Golgi traffic	5	COG2,COG4,COG7,CYTH1,YKT6
R-HSA-6811440	Retrograde transport at the Trans-Golgi-Network	6	ARFIP2,COG2,COG4,COG7,IGF2R,USP6NL
R-HSA-6811442	Intra-Golgi and retrograde Golgi-to-ER traffic	20	ARFIP2,CENPE,COG2,COG4,COG7,COPB2,CYTH1,IGF2R,KDELR2,KIF20A,KIF2C,KIF5C,PAFAH1B1,PAFAH1B3,PLA2G4A,TMED10,TUBB6,USP6NL,YKT6,ZW10
R-HSA-6811558	PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling	19	AKT1,EGF,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,FRS2,FYN,IER3,KIT,PDGFA,PIK3CA,PIK3R3,PIP4K2B,PPP2R5A,PPP2R5E,RAC2,SRC
R-HSA-68867	Assembly of the pre-replicative complex	5	GMNN,MCM3,ORC1,PSMD2,UBE2C
R-HSA-68875	Mitotic Prophase	13	ARPP19,CCNB1,CCNB2,CDK1,NUP133,NUP62,NUP85,NUP88,NUP93,PLK1,RAE1,RB1,SMC4
R-HSA-68877	Mitotic Prometaphase	28	AURKB,BIRC5,BUB1B,CCNB1,CCNB2,CCP110,CDC20,CDK1,CENPE,CEP57,CSNK1E,CSNK2A2,KIF2C,NCAPD2,NUP133,NUP85,PAFAH1B1,PCM1,PDS5A,PLK1,PPP2R5A,PPP2R5E,PRKACA,SMC1A,SMC3,SMC4,TUBB6,ZW10
R-HSA-68882	Mitotic Anaphase	27	AURKB,BIRC5,BUB1B,CCNB1,CCNB2,CDC20,CDK1,CENPE,CHMP4A,CHMP6,KIF2C,LBR,NUP133,NUP62,NUP85,NUP93,PAFAH1B1,PDS5A,PLK1,PPP2R5A,PPP2R5E,PSMD2,SMC1A,SMC3,TUBB6,UBE2C,ZW10
R-HSA-68884	Mitotic Telophase/Cytokinesis	5	KIF20A,PDS5A,PLK1,SMC1A,SMC3
R-HSA-68886	M Phase	40	ARPP19,AURKB,BIRC5,BUB1B,CCNB1,CCNB2,CCP110,CDC20,CDK1,CENPE,CEP57,CHMP4A,CHMP6,CSNK1E,CSNK2A2,KIF20A,KIF2C,LBR,NCAPD2,NUP133,NUP62,NUP85,NUP88,NUP93,PAFAH1B1,PCM1,PDS5A,PLK1,PPP2R5A,PPP2R5E,PRKACA,PSMD2,RAE1,RB1,SMC1A,SMC3,SMC4,TUBB6,UBE2C,ZW10
R-HSA-68949	Orc1 removal from chromatin	7	CCNA1,CCNA2,CDK2,MCM3,ORC1,PSMD2,SKP1
R-HSA-68962	Activation of the pre-replicative complex	9	CDC45,CDK2,GMNN,MCM3,ORC1,POLE2,RPA1,RPA2,RPA3
R-HSA-69002	DNA Replication Pre-Initiation	11	CDC45,CDK2,GMNN,MCM3,ORC1,POLE2,PSMD2,RPA1,RPA2,RPA3,UBE2C
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	6	CCNA1,CCNA2,CCNE2,CDK2,PSMD2,UBE2C
R-HSA-69052	Switching of origins to a post-replicative state	10	CCNA1,CCNA2,CCNE2,CDK2,GMNN,MCM3,ORC1,PSMD2,SKP1,UBE2C
R-HSA-69166	Removal of the Flap Intermediate	5	PCNA,POLD4,RPA1,RPA2,RPA3
R-HSA-69183	Processive synthesis on the lagging strand	6	LIG1,PCNA,POLD4,RPA1,RPA2,RPA3
R-HSA-69186	Lagging Strand Synthesis	8	LIG1,PCNA,POLD4,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-69190	DNA strand elongation	10	CDC45,LIG1,MCM3,PCNA,POLD4,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-69202	Cyclin E associated events during G1/S transition	18	AKT1,CCNA1,CCNA2,CCND1,CCNE2,CCNH,CDC25A,CDK2,CDK4,CDK7,CDKN1A,CDKN1B,MNAT1,MYC,PSMD2,RB1,SKP1,TFDP1
R-HSA-69205	G1/S-Specific Transcription	7	CCNA1,CDC25A,CDC45,CDK1,ORC1,PCNA,TFDP1
R-HSA-69206	G1/S Transition	29	AKT1,CCNA1,CCNA2,CCNB1,CCND1,CCNE2,CCNH,CDC25A,CDC45,CDK1,CDK2,CDK4,CDK7,CDKN1A,CDKN1B,GMNN,MCM3,MNAT1,MYC,ORC1,PCNA,POLE2,PSMD2,RB1,RPA1,RPA2,RPA3,SKP1,TFDP1
R-HSA-69231	Cyclin D associated events in G1	19	ABL1,CCND1,CCND3,CCNE2,CCNH,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,E2F2,LYN,MNAT1,RB1,SKP1,SRC,TFDP1
R-HSA-69236	G1 Phase	19	ABL1,CCND1,CCND3,CCNE2,CCNH,CDK2,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,E2F2,LYN,MNAT1,RB1,SKP1,SRC,TFDP1
R-HSA-69239	Synthesis of DNA	20	CCNA1,CCNA2,CCNE2,CDC45,CDK2,GMNN,LIG1,MCM3,ORC1,PCNA,POLD4,POLE2,PSMD2,RFC2,RFC5,RPA1,RPA2,RPA3,SKP1,UBE2C
R-HSA-69242	S Phase	36	AKT1,CCNA1,CCNA2,CCND1,CCNE2,CCNH,CDC25A,CDC25B,CDC45,CDK2,CDK4,CDK7,CDKN1A,CDKN1B,GMNN,LIG1,MCM3,MNAT1,MYC,ORC1,PCNA,PDS5A,POLD4,POLE2,PSMD2,RB1,RFC2,RFC5,RPA1,RPA2,RPA3,SKP1,SMC1A,SMC3,TFDP1,UBE2C
R-HSA-69273	Cyclin A/B1/B2 associated events during G2/M transition	12	CCNA1,CCNA2,CCNB1,CCNB2,CCNH,CDC25A,CDC25B,CDK1,CDK2,CDK7,MNAT1,PLK1
R-HSA-69275	G2/M Transition	25	AURKA,CCNA1,CCNA2,CCNB1,CCNB2,CCNH,CCP110,CDC25A,CDC25B,CDK1,CDK2,CDK7,CDKN1A,CEP57,CSNK1E,MNAT1,MYBL2,PAFAH1B1,PCM1,PLK1,PRKACA,PSMD2,SKP1,TP53,TUBB6
R-HSA-69306	DNA Replication	21	CCNA1,CCNA2,CCNE2,CDC45,CDK2,GMNN,LIG1,MCM3,ORC1,PCNA,POLD4,POLE2,POLG2,PSMD2,RFC2,RFC5,RPA1,RPA2,RPA3,SKP1,UBE2C
R-HSA-69473	G2/M DNA damage checkpoint	17	BRCA1,CCNA1,CCNA2,CCNB1,CDK1,CHEK1,CHEK2,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,SFN,TOPBP1,TP53,TP53BP1
R-HSA-69478	G2/M DNA replication checkpoint	5	CCNA1,CCNA2,CCNB1,CCNB2,CDK1
R-HSA-69481	G2/M Checkpoints	24	BRCA1,CCNA1,CCNA2,CCNB1,CCNB2,CDC25A,CDC45,CDK1,CDK2,CHEK1,CHEK2,MCM3,ORC1,PSMD2,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,SFN,TOPBP1,TP53,TP53BP1
R-HSA-69563	p53-Dependent G1 DNA Damage Response	10	CCNA1,CCNA2,CCNE2,CDK2,CDKN1A,CDKN1B,CDKN2A,CHEK2,PSMD2,TP53
R-HSA-69580	p53-Dependent G1/S DNA damage checkpoint	10	CCNA1,CCNA2,CCNE2,CDK2,CDKN1A,CDKN1B,CDKN2A,CHEK2,PSMD2,TP53
R-HSA-69601	Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A	7	CDC25A,CHEK1,CHEK2,CSNK1A1,CSNK1E,PSMD2,SKP1
R-HSA-69613	p53-Independent G1/S DNA Damage Checkpoint	7	CDC25A,CHEK1,CHEK2,CSNK1A1,CSNK1E,PSMD2,SKP1
R-HSA-69615	G1/S DNA Damage Checkpoints	15	CCNA1,CCNA2,CCNE2,CDC25A,CDK2,CDKN1A,CDKN1B,CDKN2A,CHEK1,CHEK2,CSNK1A1,CSNK1E,PSMD2,SKP1,TP53
R-HSA-69618	Mitotic Spindle Checkpoint	14	AURKB,BIRC5,BUB1B,CDC20,CENPE,KIF2C,NUP133,NUP85,PAFAH1B1,PLK1,PPP2R5A,PPP2R5E,UBE2C,ZW10
R-HSA-69620	Cell Cycle Checkpoints	45	AURKB,BIRC5,BRCA1,BUB1B,CCNA1,CCNA2,CCNB1,CCNB2,CCNE2,CDC20,CDC25A,CDC45,CDK1,CDK2,CDKN1A,CDKN1B,CDKN2A,CENPE,CHEK1,CHEK2,CSNK1A1,CSNK1E,KIF2C,MCM3,NUP133,NUP85,ORC1,PAFAH1B1,PLK1,PPP2R5A,PPP2R5E,PSMD2,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,SFN,SKP1,TOPBP1,TP53,TP53BP1,UBE2C,ZW10
R-HSA-69656	Cyclin A:Cdk2-associated events at S phase entry	19	AKT1,CCNA1,CCNA2,CCND1,CCNE2,CCNH,CDC25A,CDC25B,CDK2,CDK4,CDK7,CDKN1A,CDKN1B,MNAT1,MYC,PSMD2,RB1,SKP1,TFDP1
R-HSA-70171	Glycolysis	14	ALDOA,ALDOC,GAPDH,GNPDA1,HK1,NUP133,NUP62,NUP85,NUP88,NUP93,PFKL,PGAM1,PRKACA,RAE1
R-HSA-70221	Glycogen breakdown (glycogenolysis)	7	AGL,GAA,PGM1,PHKA1,PHKB,PHKG2,PYGL
R-HSA-70263	Gluconeogenesis	6	ALDOA,ALDOC,GAPDH,PCK2,PGAM1,SLC37A4
R-HSA-70268	Pyruvate metabolism	6	DLD,GSTZ1,ME2,MPC2,PDHX,VDAC1
R-HSA-70326	Glucose metabolism	16	ALDOA,ALDOC,GAPDH,GNPDA1,HK1,NUP133,NUP62,NUP85,NUP88,NUP93,PCK2,PFKL,PGAM1,PRKACA,RAE1,SLC37A4
R-HSA-71291	Metabolism of amino acids and derivatives	19	ADI1,ADO,ALDH7A1,DLD,ENOPH1,FAH,GSTZ1,HSD17B10,PCBD1,PHGDH,PSMD2,PXMP2,PYCR1,RPL39L,RPS5,RPS6,SLC25A13,TP53,TXNRD1
R-HSA-71387	Metabolism of carbohydrates and carbohydrate derivatives	38	ABCC5,AGL,ALDOA,ALDOC,B4GAT1,CD44,CHP1,CTSL,DERA,EXT1,FAM20B,FUT1,GAA,GALE,GAPDH,GNPDA1,GPC1,HK1,HS2ST1,MAN2B1,NUP133,NUP62,NUP85,NUP88,NUP93,PCK2,PFKL,PGAM1,PGM1,PHKA1,PHKB,PHKG2,PRKACA,PYGL,RAE1,RBKS,RPIA,SLC37A4
R-HSA-71403	Citric acid cycle (TCA cycle)	5	DLD,NNT,SDHB,SIRT3,TRAP1
R-HSA-72086	mRNA Capping	6	CCNH,CDK7,MNAT1,POLR2I,POLR2K,RNMT
R-HSA-72163	mRNA Splicing - Major Pathway	15	CASC3,CHERP,DDX42,HSPA8,HTATSF1,LSM5,LSM6,POLR2I,POLR2K,PPIE,PRPF4,PUF60,RNPS1,SMNDC1,TCERG1
R-HSA-72172	mRNA Splicing	15	CASC3,CHERP,DDX42,HSPA8,HTATSF1,LSM5,LSM6,POLR2I,POLR2K,PPIE,PRPF4,PUF60,RNPS1,SMNDC1,TCERG1
R-HSA-72187	mRNA 3'-end processing	11	CASC3,CHERP,CPSF4,DDX42,HTATSF1,POLR2I,POLR2K,PUF60,RNPS1,SMNDC1,TCERG1
R-HSA-72202	Transport of Mature Transcript to Cytoplasm	9	CASC3,CPSF4,NUP133,NUP62,NUP85,NUP88,NUP93,RAE1,RNPS1
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	22	CASC3,CHERP,CPSF4,DDX42,HSPA8,HTATSF1,LSM5,LSM6,NUP133,NUP62,NUP85,NUP88,NUP93,POLR2I,POLR2K,PPIE,PRPF4,PUF60,RAE1,RNPS1,SMNDC1,TCERG1
R-HSA-72306	tRNA processing	14	ADAT1,CPSF4,ELAC2,HSD17B10,LAGE3,NUP133,NUP62,NUP85,NUP88,NUP93,POP4,RAE1,RPP38,TSEN2
R-HSA-72312	rRNA processing	14	CSNK1E,EBNA1BP2,ELAC2,EXOSC4,HEATR1,HSD17B10,MTERF3,NGRN,RPL39L,RPP38,RPS5,RPS6,TEX10,UTP14A
R-HSA-72613	Eukaryotic Translation Initiation	6	EIF4EBP1,EIF4G1,EIF5,RPL39L,RPS5,RPS6
R-HSA-72706	GTP hydrolysis and joining of the 60S ribosomal subunit	5	EIF4G1,EIF5,RPL39L,RPS5,RPS6
R-HSA-72737	Cap-dependent Translation Initiation	6	EIF4EBP1,EIF4G1,EIF5,RPL39L,RPS5,RPS6
R-HSA-72766	Translation	15	ASCC3,EIF4EBP1,EIF4G1,EIF5,IARS2,MRPL12,MRPL19,MRPS16,MRPS2,OXA1L,PSMD2,RPL39L,RPN1,RPS5,RPS6
R-HSA-73762	RNA Polymerase I Transcription Initiation	8	CCNH,CDK7,HDAC2,MNAT1,MTA1,POLR1C,POLR2K,TBP
R-HSA-73772	RNA Polymerase I Promoter Escape	6	CCNH,CDK7,MNAT1,POLR1C,POLR2K,TBP
R-HSA-73776	RNA Polymerase II Promoter Escape	8	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,TBP
R-HSA-73779	RNA Polymerase II Transcription Pre-Initiation And Promoter Opening	8	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,TBP
R-HSA-73854	RNA Polymerase I Promoter Clearance	8	CCNH,CDK7,HDAC2,MNAT1,MTA1,POLR1C,POLR2K,TBP
R-HSA-73863	RNA Polymerase I Transcription Termination	6	CCNH,CDK7,MNAT1,POLR1C,POLR2K,TBP
R-HSA-73864	RNA Polymerase I Transcription	8	CCNH,CDK7,HDAC2,MNAT1,MTA1,POLR1C,POLR2K,TBP
R-HSA-73884	Base Excision Repair	15	ACD,LIG1,PARP1,PARP2,PCNA,PNKP,POLB,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,TERF2IP
R-HSA-73886	Chromosome Maintenance	18	ACD,CCNA1,CCNA2,CDK2,DAXX,LIG1,PCNA,POLD4,POLR2I,POLR2K,RFC2,RFC5,RPA1,RPA2,RPA3,RUVBL1,TERF2IP,TERT
R-HSA-73887	Death Receptor Signaling	20	ARHGEF12,ARHGEF2,BAD,BIRC2,CASP10,CASP2,CASP3,CFLAR,FAS,HDAC2,IKBKB,IKBKE,MAPKAPK2,NET1,NFKBIA,RHOA,SQSTM1,STUB1,TIAM1,VAV3
R-HSA-73893	DNA Damage Bypass	10	PCNA,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3,UBE2L6,USP1
R-HSA-73894	DNA Repair	42	ABL1,ACD,ASCC3,BRCA1,CCNA1,CCNA2,CCNH,CDK2,CDK7,CHEK1,CHEK2,COPS7A,DDB2,LIG1,MNAT1,MSH6,PARP1,PARP2,PCNA,PNKP,POLB,POLD4,POLE2,POLR2I,POLR2K,PPIE,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,RUVBL1,TERF2IP,TIMELESS,TOPBP1,TP53,TP53BP1,UBE2L6,USP1,USP7
R-HSA-73933	Resolution of Abasic Sites (AP sites)	13	LIG1,PARP1,PARP2,PCNA,PNKP,POLB,POLD4,POLE2,RFC2,RFC5,RPA1,RPA2,RPA3
R-HSA-74751	Insulin receptor signalling cascade	10	FGFR2,FGFR4,FRS2,GRB10,NRAS,PIK3C3,PIK3CA,PIK3R4,SHC1,TRIB3
R-HSA-74752	Signaling by Insulin receptor	16	ATP6V0B,ATP6V1D,CTSD,FGFR2,FGFR4,FRS2,GRB10,IDE,NRAS,PIK3C3,PIK3CA,PIK3R4,PTPN1,PTPRF,SHC1,TRIB3
R-HSA-75035	Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex	7	CCNA1,CCNA2,CCNB1,CDK1,CHEK1,CHEK2,SFN
R-HSA-75153	Apoptotic execution phase	13	BIRC2,CASP3,CASP7,DFFA,DFFB,DNM1L,DSG2,PRKCD,PRKCQ,PTK2,SATB1,SPTAN1,TJP1
R-HSA-75893	TNF signaling	6	BIRC2,CFLAR,IKBKB,IKBKE,MAPKAPK2,STUB1
R-HSA-75953	RNA Polymerase II Transcription Initiation	8	CCNH,CDK7,GTF2A2,GTF2E2,MNAT1,POLR2I,POLR2K,TBP
R-HSA-75955	RNA Polymerase II Transcription Elongation	6	CCNH,CDK7,MNAT1,PAF1,POLR2I,POLR2K
R-HSA-76002	Platelet activation, signaling and aggregation	40	ABHD6,AKT1,ALDOA,APP,CALU,CDC42,COL1A1,CRK,CSK,EGF,FYN,GNA11,GNA15,GNAI1,GNAI2,GNB5,LYN,PDGFA,PIK3CA,PIK3R3,PLA2G4A,PRKCD,PRKCH,PRKCQ,PROS1,PTK2,PTPN1,PTPN6,RAC2,RHOA,SCCPDH,SERPINE1,SHC1,SRC,STX4,STXBP2,SYK,TBXA2R,TGFB3,VAV3
