canonical_row	l1000_symbol	entrez_id	hgnc_symbol	resolved_via
171	MYO10	4651	MYO10	same
172	RSU1	6251	RSU1	same
173	EGFR	1956	EGFR	same
174	KIAA0196	9897	WASHC5	entrez
175	EXT1	2131	EXT1	same
176	SPEN	23013	SPEN	same
177	PTPN12	5782	PTPN12	same
178	TWF2	11344	TWF2	same
179	TJP1	7082	TJP1	same
180	MEST	4232	MEST	same
181	ALDOC	230	ALDOC	same
182	KDM5A	5927	KDM5A	same
183	RAI14	26064	RAI14	same
184	BIRC2	329	BIRC2	same
185	CTSL	1514	CTSL	same
186	PAF1	54623	PAF1	same
187	BIRC5	332	BIRC5	same
188	RALB	5899	RALB	same
189	ARFIP2	23647	ARFIP2	same
190	ARHGAP1	392	ARHGAP1	same
191	CPNE3	8895	CPNE3	same
192	ABL1	25	ABL1	same
193	TRAK2	66008	TRAK2	same
194	PYCR1	5831	PYCR1	same
195	NUP62	23636	NUP62	same
196	PCM1	5108	PCM1	same
197	BLMH	642	BLMH	same
198	MVP	9961	MVP	same
199	NUP133	55746	NUP133	same
200	PLOD3	8985	PLOD3	same
201	PPP2R5A	5525	PPP2R5A	same
202	NUP93	9688	NUP93	same
203	ARL4C	10123	ARL4C	same
204	KIAA0907	22889	KHDC4	entrez
205	CRK	1398	CRK	same
206	CHERP	10523	CHERP	same
207	PLK1	5347	PLK1	same
208	TRIB1	10221	TRIB1	same
209	CDK4	1019	CDK4	same
210	STXBP1	6812	STXBP1	same
211	VPS72	6944	VPS72	same
212	HSD17B10	3028	HSD17B10	same
213	CDKN1A	1026	CDKN1A	same
214	COL1A1	1277	COL1A1	same
215	SENP6	26054	SENP6	same
216	ACBD3	64746	ACBD3	same
217	CSK	1445	CSK	same
218	CSNK1E	1454	CSNK1E	same
219	TOR1A	1861	TOR1A	same
220	TRAM2	9697	TRAM2	same
221	TCEAL4	79921	TCEAL4	same
222	GNPDA1	10007	GNPDA1	same
223	RGS2	5997	RGS2	same
224	ABCF3	55324	ABCF3	same
225	TCERG1	10915	TCERG1	same
226	USP1	7398	USP1	same
227	KEAP1	9817	KEAP1	same
228	KAT6A	7994	KAT6A	same
229	MPC2	25874	MPC2	same
230	MYC	4609	MYC	same
231	SLC35B1	10237	SLC35B1	same
232	PLSCR1	5359	PLSCR1	same
233	DECR1	1666	DECR1	same
234	ERBB3	2065	ERBB3	same
235	PRSS23	11098	PRSS23	same
236	PAPD7	11044	TENT4A	entrez
237	CTNNAL1	8727	CTNNAL1	same
238	IKBKAP	8518	ELP1	entrez
239	PPIE	10450	PPIE	same
240	DNAJB2	3300	DNAJB2	same
241	SNAP25	6616	SNAP25	same
242	BCL7B	9275	BCL7B	same
243	GALE	2582	GALE	same
