canonical_row	l1000_symbol	entrez_id	hgnc_symbol	resolved_via
752	KIAA1033	23325	WASHC4	entrez
753	SLC1A4	6509	SLC1A4	same
754	ASCC3	10973	ASCC3	same
755	SLC25A46	91137	SLC25A46	same
756	RRP1B	23076	RRP1B	same
757	AXIN1	8312	AXIN1	same
758	DCUN1D4	23142	DCUN1D4	same
759	MAPKAPK5	8550	MAPKAPK5	same
760	C2CD2	25966	C2CD2	same
761	WDR7	23335	WDR7	same
762	SUPV3L1	6832	SUPV3L1	same
763	CDK19	23097	CDK19	same
764	THAP11	57215	THAP11	same
765	C2CD5	9847	C2CD5	same
766	POLR2I	5438	POLR2I	same
767	RFNG	5986	RFNG	same
768	RPIA	22934	RPIA	same
769	TLK2	11011	TLK2	same
770	TIAM1	7074	TIAM1	same
771	HOXA10	3206	HOXA10	same
772	COG7	91949	COG7	same
773	TICAM1	148022	TICAM1	same
774	KLHL9	55958	KLHL9	same
775	SNX13	23161	SNX13	same
776	SRC	6714	SRC	same
777	GDPD5	81544	GDPD5	same
778	PLCB3	5331	PLCB3	same
779	TBX2	6909	TBX2	same
780	APBB2	323	APBB2	same
781	FCHO1	23149	FCHO1	same
782	FAM69A	388650	DIPK1A	entrez
783	ASAH1	427	ASAH1	same
784	SMARCA4	6597	SMARCA4	same
785	SOX2	6657	SOX2	same
786	HOXA5	3202	HOXA5	same
787	TMEM110	375346	STIMATE	entrez
788	ATP5S	27109	DMAC2L	entrez
789	TBC1D31	93594	TBC1D31	same
790	NFKBIB	4793	NFKBIB	same
791	CTTN	2017	CTTN	same
792	PARP2	10038	PARP2	same
793	AKR7A2	8574	AKR7A2	same
794	ACAA1	30	ACAA1	same
795	SPDEF	25803	SPDEF	same
796	RALA	5898	RALA	same
797	ETS1	2113	ETS1	same
798	CCNB1	891	CCNB1	same
799	ZNF131	7690	ZBTB35	entrez
800	FEZ2	9637	FEZ2	same
801	NSDHL	50814	NSDHL	same
802	DNM1	1759	DNM1	same
803	UBQLN2	29978	UBQLN2	same
804	MAST2	23139	MAST2	same
805	TRIM2	23321	TRIM2	same
806	IGHMBP2	3508	IGHMBP2	same
807	NR3C1	2908	NR3C1	same
808	PPP1R13B	23368	PPP1R13B	same
809	CCL2	6347	CCL2	same
810	ERBB2	2064	ERBB2	same
811	RRP12	23223	RRP12	same
812	HOMER2	9455	HOMER2	same
813	VDAC1	7416	VDAC1	same
814	HERPUD1	9709	HERPUD1	same
815	GAPDH	2597	GAPDH	same
816	HLA-DMA	3108	HLA-DMA	same
817	IDE	3416	IDE	same
818	NGRN	51335	NGRN	same
819	CNDP2	55748	CNDP2	same
820	TM9SF3	56889	TM9SF3	same
821	ADI1	55256	ADI1	same
822	RAB31	11031	RAB31	same
823	TMEM50A	23585	TMEM50A	same
824	HACD3	51495	HACD3	same
825	YKT6	10652	YKT6	same
826	SNX6	58533	SNX6	same
827	BZW2	28969	BZW2	same
828	UBE2J1	51465	UBE2J1	same
829	EVL	51466	EVL	same
830	BACE2	25825	BACE2	same
831	MIF	4282	MIF	same
832	PIH1D1	55011	PIH1D1	same
833	CAB39	51719	CAB39	same
834	IARS2	55699	IARS2	same
835	DSG2	1829	DSG2	same
836	KLHDC2	23588	KLHDC2	same
837	BAG3	9531	BAG3	same
838	CNPY3	10695	CNPY3	same
839	LAP3	51056	LAP3	same
840	STUB1	10273	STUB1	same
841	NOSIP	51070	NOSIP	same
842	ENOPH1	58478	ENOPH1	same
843	HSD17B11	51170	HSD17B11	same
844	SQRDL	58472	SQOR	entrez
845	MRPS2	51116	MRPS2	same
846	NUP85	79902	NUP85	same
847	FIS1	51024	FIS1	same
848	NUSAP1	51203	NUSAP1	same
849	MRPS16	51021	MRPS16	same
850	UFM1	51569	UFM1	same
851	NT5DC2	64943	NT5DC2	same
852	AKAP8L	26993	AKAP8L	same
853	NPDC1	56654	NPDC1	same
854	ANKRD10	55608	ANKRD10	same
855	DERA	51071	DERA	same
856	TEX10	54881	TEX10	same
857	UBR7	55148	UBR7	same
858	TMEM2	23670	CEMIP2	entrez
859	TRIB3	57761	TRIB3	same
860	ZNF395	55893	ZNF395	same
861	ADCK3	56997	COQ8A	entrez
862	ISOC1	51015	ISOC1	same
863	CCDC92	80212	CCDC92	same
864	GOLT1B	51026	GOLT1B	same
865	SCAND1	51282	SCAND1	same
866	NR1H2	7376	NR1H2	same
867	TSKU	25987	TSKU	same
868	ZDHHC6	64429	ZDHHC6	same
869	PLEKHJ1	55111	PLEKHJ1	same
870	PRKAG2	51422	PRKAG2	same
871	TIMM9	26520	TIMM9	same
872	SESN1	27244	SESN1	same
873	GMNN	51053	GMNN	same
874	CRELD2	79174	CRELD2	same
875	NUDT9	53343	NUDT9	same
876	CDCA4	55038	CDCA4	same
877	NENF	29937	NENF	same
878	CERK	64781	CERK	same
879	DNAJC15	29103	DNAJC15	same
880	HEBP1	50865	HEBP1	same
881	DNMT3A	1788	DNMT3A	same
882	KCTD5	54442	KCTD5	same
883	ERO1A	30001	ERO1A	same
884	CD320	51293	CD320	same
885	DHDDS	79947	DHDDS	same
886	CHMP4A	29082	CHMP4A	same
887	ABHD4	63874	ABHD4	same
888	TCTN1	79600	TCTN1	same
889	HEATR1	55127	HEATR1	same
890	CISD1	55847	CISD1	same
891	SUV39H1	6839	SUV39H1	same
892	VPS28	51160	VPS28	same
893	EXOSC4	54512	EXOSC4	same
894	NARFL	64428	CIAO3	entrez
895	CHMP6	79643	CHMP6	same
896	PACSIN3	29763	PACSIN3	same
897	KIF20A	10112	KIF20A	same
898	HOOK2	29911	HOOK2	same
899	TXNL4B	54957	TXNL4B	same
900	VAV3	10451	VAV3	same
901	SLC35F2	54733	SLC35F2	same
902	DUSP22	56940	DUSP22	same
903	IGF2BP2	10644	IGF2BP2	same
904	PPP2R3C	55012	PPP2R3C	same
905	TNFRSF21	27242	TNFRSF21	same
906	FAM57A	79850	TLCD3A	entrez
907	NOTCH1	4851	NOTCH1	same
908	ANO10	55129	ANO10	same
909	PNKP	11284	PNKP	same
910	EDN1	1906	EDN1	same
911	FASTKD5	60493	FASTKD5	same
912	METRN	79006	METRN	same
913	LAGE3	8270	LAGE3	same
914	PXMP2	5827	PXMP2	same
915	AMDHD2	51005	AMDHD2	same
916	PRR15L	79170	PRR15L	same
917	FSD1	79187	FSD1	same
918	TIMM22	29928	TIMM22	same
919	FBXO11	80204	FBXO11	same
920	RBKS	64080	RBKS	same
921	CHAC1	79094	CHAC1	same
922	MSRA	4482	MSRA	same
923	HERC6	55008	HERC6	same
924	MTERF3	51001	MTERF3	same
925	ADAT1	23536	ADAT1	same
926	FKBP14	55033	FKBP14	same
927	PAK6	56924	PAK6	same
928	PSMD10	5716	PSMD10	same
929	CHIC2	26511	CHIC2	same
930	LRRC16A	55604	CARMIL1	entrez
931	TSEN2	80746	TSEN2	same
932	ZNF586	54807	ZNF586	same
933	PRR7	80758	PRR7	same
934	GFOD1	54438	GFOD1	same
935	SPAG4	6676	SPAG4	same
936	MCOLN1	57192	MCOLN1	same
937	ZNF589	51385	ZNF589	same
938	SLC2A6	11182	SLC2A6	same
939	MCUR1	63933	MCUR1	same
940	FBXL12	54850	FBXL12	same
941	SNX11	29916	SNX11	same
942	FAIM	55179	FAIM	same
943	GTPBP8	29083	GTPBP8	same
944	TLR4	7099	TLR4	same
945	DENND2D	79961	DENND2D	same
946	PECR	55825	PECR	same
947	ARID4B	51742	ARID4B	same
948	FRS2	10818	FRS2	same
949	ITFG1	81533	ITFG1	same
950	BNIP3L	665	BNIP3L	same
951	ARPP19	10776	ARPP19	same
952	ATG3	64422	ATG3	same
953	UTP14A	10813	UTP14A	same
954	WDR61	80349	SKIC8	entrez
955	EIF4EBP1	1978	EIF4EBP1	same
956	GRWD1	83743	GRWD1	same
957	ABHD6	57406	ABHD6	same
958	SIRT3	23410	SIRT3	same
959	NOL3	8996	NOL3	same
960	STAP2	55620	STAP2	same
961	ACOT9	23597	ACOT9	same
962	CANT1	124583	CANT1	same
963	YTHDF1	54915	YTHDF1	same
964	HMGCS1	3157	HMGCS1	same
965	MICALL1	85377	MICALL1	same
966	FAM63A	55793	MINDY1	entrez
967	ATF1	466	ATF1	same
968	P4HTM	54681	P4HTM	same
969	SLC27A3	11000	SLC27A3	same
970	TBXA2R	6915	TBXA2R	same
971	RTN2	6253	RTN2	same
972	TSTA3	7264	GFUS	entrez
973	PPARD	5467	PPARD	same
974	GNA11	2767	GNA11	same
975	WDTC1	23038	WDTC1	same
976	PLSCR3	57048	PLSCR3	same
977	NPEPL1	79716	NPEPL1	same
