source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0009968	Negative Regulation Of Signal Transduction	33	AKT1,BCL2,CHAC1,CSNK2A2,EPN2,ERBB3,EZH2,GATA2,GATA3,GPC1,GRB10,GRB7,IGFBP3,IL1B,LGMN,LRPAP1,LYN,NCK1,PIP4K2B,PPARG,PRKCD,PRKCQ,PTPN1,PTPN12,PTPRC,RB1,RGS2,SNCA,TLE1,TRIB1,TSKU,TSPAN6,VGLL4
GO:BP	GO:0010256	Endomembrane System Organization	19	CDC42,COG2,COG4,COG7,CSNK1A1,DNM1,DNM1L,HOOK2,NUP93,PLEKHJ1,REEP5,SQSTM1,TMED10,TOR1A,USP6NL,VAPB,WASHC4,WASHC5,ZW10
GO:BP	GO:0010389	Regulation Of G2/M Transition Of Mitotic Cell Cycle	11	CCNB1,CCND1,CDC25A,CDC25B,CDK1,CDK2,CDK4,CDK6,CDKN1A,KIF14,RAD51C
GO:BP	GO:0010467	Gene Expression	24	ABCF1,CASC3,CASP10,CASP3,CASP7,DNTTIP2,DUSP11,EIF4G1,EXOSC4,HSPD1,MBTPS1,MRPL12,MRPS16,NUP133,NUP85,NUP88,PRPF4,RAE1,RBM15B,RBM6,RPS5,RPS6,STUB1,TNIP1
GO:BP	GO:0010498	Proteasomal Protein Catabolic Process	20	APPBP2,ATF6,AXIN1,BIRC2,CSNK1A1,FBXO7,KCTD5,KIF14,KLHDC2,MTA1,NFE2L2,PMAIP1,PSMD2,PSMD4,SKP1,STUB1,TRIM13,TRIM2,UBE2A,XBP1
GO:BP	GO:0010506	Regulation Of Autophagy	33	AKT1,ATF6,ATP6V0B,ATP6V1D,BAD,BCL2,BECN1,BNIP3,CAPN1,CASP3,CDK5R1,CSNK2A2,DNM1L,EIF4G1,FOXO3,GAPDH,HDAC6,HSPB1,KEAP1,NPRL2,PIK3C3,PIK3R4,PIP4K2B,PRKACA,RRAGA,SNX6,SQSTM1,STAT3,TICAM1,TLK2,TRIB3,UBQLN2,VDAC1
GO:BP	GO:0010508	Positive Regulation Of Autophagy	12	ATF6,BAD,BECN1,BNIP3,BNIP3L,FBXO7,FOXO3,NPRL2,SESN1,SQSTM1,TICAM1,TRIM13
GO:BP	GO:0010557	Positive Regulation Of Macromolecule Biosynthetic Process	13	AKT1,CCL2,CIRBP,EGF,ELAVL1,ERBB2,FGFR4,IL1B,RFX5,SOX4,TLR4,XBP1,YTHDF1
GO:BP	GO:0010558	Negative Regulation Of Macromolecule Biosynthetic Process	10	CDKN1A,CLTC,EDN1,EPRS1,GAPDH,GRB7,HDAC2,IFRD2,IGF2BP2,TRIM2
GO:BP	GO:0010564	Regulation Of Cell Cycle Process	25	ATF5,AURKA,AURKB,BCL7B,BECN1,CALM3,CCP110,CDC42,CHEK1,FSD1,GPER1,HMGA2,KIF20A,KIF2C,KLHL21,KLHL9,MYC,PIK3C3,PIK3R4,PIN1,PLK1,RRP8,SMARCA4,SMARCC1,SMARCD2
GO:BP	GO:0010594	Regulation Of Endothelial Cell Migration	16	ABL1,AKT1,APOE,BMP4,EDN1,EGF,ETS1,FUT1,GATA3,GFUS,GRN,ITGB1BP1,PRCP,PTK2,PTK2B,SCARB1
GO:BP	GO:0010595	Positive Regulation Of Endothelial Cell Migration	19	ABL1,AKT1,BMP4,CD40,EDN1,EGF,ETS1,FUT1,GATA2,GATA3,GFUS,GRN,HIF1A,HSPB1,ITGB1BP1,LGMN,NOS3,PTK2B,SCARB1
GO:BP	GO:0010604	Positive Regulation Of Macromolecule Metabolic Process	44	AKT1,APP,BMP4,BRCA1,CDH3,DNMT1,EGF,EGR1,EIF4G1,EPHB2,ETS1,FGFR4,GATA2,GPER1,HIF1A,HMGA2,HOXA5,HSPA1A,ID2,IL1B,MAP2K5,MAPK9,MEF2C,MYC,NFE2L2,NFKBIA,NOS3,NOTCH1,NR1H2,OXSR1,PIK3R3,PLSCR1,PPARG,PTPN1,RAB27A,SMAD3,SNCA,STAT3,TFAP2A,TICAM1,TLE1,TLR4,TP53,WFS1
GO:BP	GO:0010605	Negative Regulation Of Macromolecule Metabolic Process	23	ADAM10,ANXA7,APOE,APP,AURKA,BMP4,CRKL,DAXX,DNMT1,EDN1,GATA2,GPER1,HIF1A,ID2,LGMN,MEF2C,NOTCH1,PPARG,RB1,SMAD3,STAT3,TERT,TIPARP
GO:BP	GO:0010628	Positive Regulation Of Gene Expression	47	AKT1,APP,BMP4,BRCA1,CDH3,CIRBP,DNMT1,EGF,EGR1,ELAVL1,EPHB2,ERBB2,ETS1,FGFR4,GAPDH,GATA2,GPER1,HIF1A,HMGA2,HOXA5,HSPA1A,ID2,IL1B,MAPK9,MEF2C,MYC,NFE2L2,NOS3,NOTCH1,OXSR1,PIK3R3,PLSCR1,PPARG,RAB27A,S100A13,SMAD3,SMARCA4,SOX4,STAT3,TENT4A,TFAP2A,TICAM1,TLE1,TLR4,TP53,VPS72,YTHDF1
GO:BP	GO:0010629	Negative Regulation Of Gene Expression	35	ADAM10,ANXA7,APOE,APP,AURKA,BMP4,CHEK1,CRKL,DAXX,DNMT1,EPRS1,EZH2,GAPDH,GATA2,GPER1,GRB7,HIF1A,HSPA1A,ID2,IFRD2,IGF2BP2,LGMN,LSM5,LSM6,MEF2C,NOTCH1,PPARG,RB1,RNH1,SMAD3,STAT3,TERT,TIPARP,TRIM2,ZFP36
GO:BP	GO:0010634	Positive Regulation Of Epithelial Cell Migration	18	ABL1,AKT1,BMP4,EDN1,EGF,ETS1,FUT1,GATA3,GFUS,GRN,HDAC6,HIF1A,ITGB1BP1,MAP4K4,PTK2,PTK2B,SCARB1,SRC
GO:BP	GO:0010717	Regulation Of Epithelial To Mesenchymal Transition	13	BAMBI,COL1A1,DAG1,EPHA3,EZH2,GATA3,IL1B,PTK2,SMAD3,SPRED2,TGFB3,TGFBR2,TIAM1
GO:BP	GO:0010718	Positive Regulation Of Epithelial To Mesenchymal Transition	10	BAMBI,COL1A1,EZH2,IL1B,NOTCH1,PTK2,SMAD3,TGFB3,TGFBR2,TIAM1
GO:BP	GO:0010811	Positive Regulation Of Cell-Substrate Adhesion	11	ABL1,CARMIL1,CDC42,CDK6,CRK,CRKL,FUT1,ILK,PTK2B,RSU1,TESK1
GO:BP	GO:0010822	Positive Regulation Of Mitochondrion Organization	14	AURKA,BAD,BAX,BID,BNIP3,DNM1L,FBXO7,FIS1,GPER1,MLLT11,PMAIP1,RALA,TP53,ZDHHC6
GO:BP	GO:0010975	Regulation Of Neuron Projection Development	19	AKT1,APOE,CAMSAP2,CDK5R1,CHN1,DDR1,EPHA3,FBXO7,FKBP4,FZD1,HDAC2,LYN,MYCBP2,NOL3,PAK1,PTK2B,TSKU,TWF2,YTHDF1
GO:BP	GO:0014066	Regulation Of Phosphatidylinositol 3-Kinase Signaling	13	BECN1,DDR1,EGF,EGFR,ERBB3,GPER1,IGF1R,KIT,PDGFA,PTK2,PTPN6,SRC,STAMBP
GO:BP	GO:0014068	Positive Regulation Of Phosphatidylinositol 3-Kinase Signaling	11	BECN1,DDR1,EGF,ERBB3,GPER1,IGF1R,KIT,PDGFA,PTK2,PTPN6,SRC
GO:BP	GO:0014070	Response To Organic Cyclic Compound	12	ALAS1,ATF1,CCL2,CREB1,FGFR4,IL1B,PMAIP1,SOCS2,SPP1,STAT3,STAT5B,TIPARP
GO:BP	GO:0015031	Protein Transport	26	ACD,APOE,ARFIP2,ARHGAP1,ARHGEF2,ARL4C,CLTC,COG7,COPB2,CTTN,DNAJC15,HDAC6,MACF1,MCOLN1,PPARG,RAB21,RAB31,SNX13,SNX6,SNX7,STX1A,STX4,STXBP1,STXBP2,TIMM17B,TMED10
GO:BP	GO:0015711	Organic Anion Transport	6	ABCC5,SLC25A4,SLC2A6,SLC35A1,SLC35A3,SLC35B1
GO:BP	GO:0016050	Vesicle Organization	12	CHMP4A,CHMP6,CORO1A,DNM1,HOOK2,PLEKHJ1,SNX11,SQSTM1,STX4,TRAPPC3,WASHC4,WASHC5
GO:BP	GO:0016052	Carbohydrate Catabolic Process	8	ALDOC,DERA,ENOSF1,GAPDH,HK1,PFKL,PGAM1,PGM1
GO:BP	GO:0016070	RNA Metabolic Process	8	DNTTIP2,DUSP11,EXOSC4,IGHMBP2,LAGE3,PRPF4,RBM6,SUPV3L1
GO:BP	GO:0016071	mRNA Metabolic Process	10	AKAP8L,FBXO11,HSPA1A,LSM5,LSM6,PRKACA,RNH1,TCERG1,TP53,ZFP36
GO:BP	GO:0016192	Vesicle-Mediated Transport	28	ADRB2,APP,ARHGAP1,BECN1,CDC42,CHMP4A,CHMP6,CSNK1E,CYTH1,DNM1,EPN2,HOOK2,MICALL1,PIK3C3,PIK3R4,RAB27A,RAB4A,SCRN1,SNAP25,SQSTM1,STX1A,STX4,STXBP1,STXBP2,TMED10,USP6NL,WASHC4,WASHC5
GO:BP	GO:0016197	Endosomal Transport	11	ARHGAP1,ARL4C,CLTC,MICALL1,PLEKHJ1,SNX6,SNX7,SQSTM1,WASHC4,WASHC5,YKT6
GO:BP	GO:0016236	Macroautophagy	10	BECN1,CHMP4A,CHMP6,PIK3C3,PIK3R4,PIP4K2B,PLEKHM1,SQSTM1,SRC,VPS28
GO:BP	GO:0016239	Positive Regulation Of Macroautophagy	10	BAG3,BNIP3,BNIP3L,PIP4K2B,RALB,SESN1,SLC25A4,SNX7,SPTLC2,TRIM13
GO:BP	GO:0016241	Regulation Of Macroautophagy	18	ATP6V0B,ATP6V1D,BECN1,BNIP3,BNIP3L,CAPN1,CASP3,CDK5R1,GAPDH,HDAC6,PIK3C3,PIK3CA,PIK3R4,PRKACA,SESN1,SNX6,TRIM13,UBQLN2
GO:BP	GO:0016310	Phosphorylation	67	ABL1,ADAM10,AKT1,APP,AURKA,AURKB,BECN1,BIRC5,BTK,CCL2,CDC25B,CDK1,CDK19,CDK2,CDK4,CDK6,CERK,CHEK1,CHEK2,COQ8A,CREB1,CSK,CSNK1A1,CSNK1E,CSNK2A2,DYRK3,EPHA3,EPHB2,ERBB2,FAM20B,FYN,HK1,IGFBP3,IKBKB,IKBKE,ILK,LYN,MAP4K4,MAPK9,MAPKAPK2,MAST2,MELK,MKNK1,OXSR1,PAK1,PAK4,PAK6,PIK3C3,PIK3CA,PIK3R4,PLK1,PRKACA,PRKAG2,PRKCD,PRKCH,PRKCQ,PTK2,PTK2B,RPS6KA1,STAT3,STK10,STK25,SYK,TBP,TGFBR2,TLK2,TRIB1
GO:BP	GO:0016311	Dephosphorylation	11	DUSP11,DUSP22,DUSP3,DUSP4,PPP2R5A,PPP2R5E,PTPN1,PTPN12,PTPN6,PTPRC,PTPRK
GO:BP	GO:0016567	Protein Ubiquitination	29	ATG3,BCL2,BIRC2,BLMH,BRCA1,CCNF,CNOT4,DDB2,FBXO11,FBXO7,HERC6,KEAP1,KLHL21,KLHL9,MYCBP2,NFE2L2,PLK1,RNF167,SKP1,STUB1,TRIM13,TRIM2,UBE2A,UBE2C,UBE2J1,UBE2L6,UBE3B,UBE3C,USP7
GO:BP	GO:0016579	Protein Deubiquitination	7	CDK1,MINDY1,STAMBP,USP1,USP14,USP22,USP7
GO:BP	GO:0017015	Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway	11	ARID4B,BAMBI,HDAC2,HSPA1A,PIN1,PPARG,SMAD3,SNX6,SPRED2,STUB1,ZNF451
GO:BP	GO:0017148	Negative Regulation Of Translation	10	EIF4EBP1,EIF4G1,EPRS1,GAPDH,GRB7,IFRD2,IGF2BP2,TRIM2,YTHDF1,ZFP36
GO:BP	GO:0018105	Peptidyl-Serine Phosphorylation	26	AURKA,CAB39,CDK1,CDK2,CDK5R1,CSNK1A1,CSNK1E,CSNK2A2,DYRK3,IKBKB,IKBKE,MAPK13,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,MAST2,MKNK1,PLK1,PRKACA,PRKCD,PRKCH,PRKCQ,PRKX,TGFBR2,TLK2
GO:BP	GO:0018108	Peptidyl-Tyrosine Phosphorylation	17	ABL1,BTK,DDR1,EGFR,EPHA3,EPHB2,ERBB2,FGFR2,FGFR4,FYN,IGF1R,LYN,PTK2,PTK2B,PTPN6,SRC,SYK
GO:BP	GO:0018208	Peptidyl-Proline Modification	3	PIN1,PPIC,PPIE
GO:BP	GO:0018209	Peptidyl-Serine Modification	26	AURKA,CAB39,CDK1,CDK2,CDK5R1,CSNK1A1,CSNK1E,CSNK2A2,DYRK3,IKBKB,IKBKE,MAPK13,MAPK9,MAPKAPK2,MAPKAPK3,MAPKAPK5,MAST2,MKNK1,PLK1,PRKACA,PRKCD,PRKCH,PRKCQ,PRKX,TGFBR2,TLK2
GO:BP	GO:0018212	Peptidyl-Tyrosine Modification	15	ABL1,BTK,EGFR,EPHA3,EPHB2,ERBB2,FGFR2,FGFR4,FYN,LYN,PTK2,PTK2B,PTPN6,SRC,SYK
GO:BP	GO:0019221	Cytokine-Mediated Signaling Pathway	27	AKT1,BIRC2,CCL2,CEBPA,CXCL2,EGR1,FOXO3,GHR,IKBKB,IL13RA1,IL1B,IL4R,ILK,KIT,LYN,NFKBIA,PLP2,PRKACA,PTK2B,PTPN6,RRAGA,SRC,STAT1,STAT3,STAT5B,SYK,TP53
GO:BP	GO:0019511	Peptidyl-Proline Hydroxylation	2	P4HA2,P4HTM
GO:BP	GO:0019722	Calcium-Mediated Signaling	8	ATP1B1,BTK,CXCR4,EDN1,FIS1,PRKACA,PTPRC,STIMATE
GO:BP	GO:0019941	Modification-Dependent Protein Catabolic Process	18	CNOT4,FBXO11,FBXO21,FBXO7,HERC6,HERPUD1,KEAP1,PSMD9,PSMF1,RNF167,SQSTM1,STUB1,UBE2A,UBE2C,UBE2L6,UBE3B,UBE3C,XBP1
GO:BP	GO:0022603	Regulation Of Anatomical Structure Morphogenesis	11	CDK5R1,CHN1,DAG1,ERBB2,ETS1,FGFR2,HMOX1,MEF2C,NOL3,PAK1,RNH1
GO:BP	GO:0022607	Cellular Component Assembly	23	ACD,AXIN1,BECN1,CD40,CDC42,DNM1L,EPRS1,FAS,FZD1,HES1,MNAT1,PDGFA,PLS1,PTK2B,RHOA,SLC25A46,STK25,TIAM1,TP53,TSPAN4,WASF3,YTHDF1,ZW10
GO:BP	GO:0022618	protein-RNA Complex Assembly	8	DHX29,EIF5,KHDC4,NOL3,PUF60,RPS5,RRS1,TNIP1
GO:BP	GO:0030003	Intracellular Monoatomic Cation Homeostasis	10	APP,ATP1B1,ATP2C1,CD40,CHERP,EDN1,HMOX1,MYC,SLC11A2,VAPB
GO:BP	GO:0030071	Regulation Of Mitotic Metaphase/Anaphase Transition	10	BCL7B,CCNB1,CDC20,CENPE,PLK1,RB1,SMARCA4,SMARCC1,SMARCD2,UBE2C
GO:BP	GO:0030097	Hemopoiesis	11	BMP4,CEBPA,FGFR2,KAT6A,KIT,LYN,MELK,PRKX,PTPRC,TGFBR2,TP53
GO:BP	GO:0030100	Regulation Of Endocytosis	12	ABL1,APOE,EPHA3,LRPAP1,PACSIN3,PTPN1,PTPRC,RAB4A,SCARB1,SNCA,SRC,SYK
GO:BP	GO:0030111	Regulation Of Wnt Signaling Pathway	11	APP,FGFR2,FZD7,GRB10,MACF1,SMARCA4,TERT,TIAM1,TLE1,TSKU,VGLL4
GO:BP	GO:0030155	Regulation Of Cell Adhesion	20	ADAM10,ADGRG1,CXCR4,CYTH1,EPHB2,ERBB2,ERBB3,FUT1,ITGB1BP1,KIF14,LYN,PRKX,PTK2,PTK2B,RAC2,RASA1,RSU1,SRC,STX4,TPM1
GO:BP	GO:0030163	Protein Catabolic Process	16	APOE,BNIP3,BNIP3L,CASP3,CASP7,CHEK2,CLPX,CTSD,CTSL,HSPA8,IDE,LGMN,MALT1,PMAIP1,SQSTM1,YME1L1
GO:BP	GO:0030177	Positive Regulation Of Wnt Signaling Pathway	14	BAMBI,CDH3,COL1A1,CSNK1E,EGF,EGFR,FGFR2,ILK,MACF1,PIN1,RUVBL1,SMARCA4,SOX4,TERT
GO:BP	GO:0030182	Neuron Differentiation	15	CASP3,CDK5R1,CFLAR,DDIT4,ERBB2,FZD1,FZD7,GLI2,ID2,MEF2C,NGRN,PIN1,SOX4,UGDH,XBP1
GO:BP	GO:0030198	Extracellular Matrix Organization	10	ADAM10,APP,COL1A1,COL4A1,CRTAP,LOXL1,MMP1,MMP2,PLOD3,ST7
GO:BP	GO:0030262	Apoptotic Nuclear Changes	4	BLCAP,DFFB,GPER1,TOP2A
GO:BP	GO:0030307	Positive Regulation Of Cell Growth	13	AKT1,BCL2,CDC42,EDN1,EGFR,EIF4G1,ERBB2,EXOSC4,MACF1,PSMD10,RPS6KA1,SUPV3L1,TWF2
GO:BP	GO:0030308	Negative Regulation Of Cell Growth	14	BRCA1,CCDC85B,CDKN1A,CDKN1B,CDKN2A,CGRRF1,DNAJB2,HSPA1A,PSRC1,RB1,SMAD3,SMARCA4,TP53,VGLL4
GO:BP	GO:0030334	Regulation Of Cell Migration	48	ADAM10,AKT1,ARID4B,CARMIL1,CCNA2,CDC42,CLIC4,COL1A1,CPNE3,CXCR4,DAG1,DUSP22,DUSP3,EDN1,EGF,EGFR,EPHB2,FOXO3,FYN,GPER1,GRB7,GRN,HDAC2,IGF1R,IL1B,KIF14,KIT,MACF1,MAP4K4,MYLK,NOTCH1,PAK1,PDGFA,PIK3R3,PRKX,PTK2,PTK2B,PTPRK,RHOA,SERPINE1,SRC,STAT3,STX4,SYNE2,TIAM1,TJP1,TPM1,XBP1
GO:BP	GO:0030335	Positive Regulation Of Cell Migration	37	ADAM10,ARHGEF2,CARMIL1,CCNA2,CDC42,COL1A1,CPNE3,CRKL,CXCR4,EDN1,EGF,EGFR,EPHB2,GPER1,GRB7,GRN,HDAC6,HIF1A,IGF1R,IL1B,KIT,MAP4K4,MYLK,NOTCH1,PAK1,PDGFA,PIK3R3,PTK2,PTK2B,PTPRC,SRC,STAT3,STX4,SYNE2,TIAM1,TJP1,XBP1
GO:BP	GO:0030336	Negative Regulation Of Cell Migration	16	ADGRG1,ARID4B,CLIC4,DAG1,DUSP22,DUSP3,EVL,FOXO3,HDAC2,HMOX1,IGFBP3,ITGB1BP1,PTPRK,SERPINE1,TPM1,TRIB1
GO:BP	GO:0030512	Negative Regulation Of Transforming Growth Factor Beta Receptor Signaling Pathway	10	ARID4B,BAMBI,HDAC2,HSPA1A,PIN1,PPARG,SNX6,SPRED2,STUB1,ZNF451
GO:BP	GO:0030855	Epithelial Cell Differentiation	15	AKT1,ALDOC,ANXA7,BMP4,CBR1,CDK1,FGFR2,FZD7,GATA3,HDAC2,PCK2,PCNA,PIH1D1,PPARG,VDAC1
GO:BP	GO:0031032	Actomyosin Structure Organization	9	CSRP1,EPB41L2,ITGB5,MYL9,PDLIM1,RHOA,SRC,TJP1,TPM1
GO:BP	GO:0031175	Neuron Projection Development	18	APOE,APP,CAMSAP2,CDC42,CDK5R1,CTTN,EPHB2,HDGFL3,LYN,MAP4K4,MICALL1,NOL3,PAK1,RB1,SLC25A46,STMN1,TOR1A,TSKU
GO:BP	GO:0031325	Positive Regulation Of Cellular Metabolic Process	10	CBR1,CCNB1,CDK1,CDKN1A,GADD45A,GATA3,IFNAR1,PAX8,TGFBR2,TP53
GO:BP	GO:0031327	Negative Regulation Of Cellular Biosynthetic Process	13	BRCA1,CDKN1A,EPRS1,FYN,GAPDH,GRB7,IFRD2,IGF2BP2,PDGFA,TRIB3,TRIM2,USP7,WDTC1
GO:BP	GO:0031328	Positive Regulation Of Cellular Biosynthetic Process	20	AKT1,ARPP19,CDH3,CIRBP,EDN1,EGR1,ELAVL1,ERBB2,FGFR4,HIF1A,IL1B,LPGAT1,NR1H2,PTGS2,SCARB1,SMAD3,SNCA,SOX4,TLR4,YTHDF1
GO:BP	GO:0031331	Positive Regulation Of Cellular Catabolic Process	18	APOE,APP,ATF6,BAD,BECN1,BNIP3,FOXO3,HIF1A,IL1B,NPRL2,PACSIN3,PHKG2,PRKCD,PTPN1,SNCA,SQSTM1,SUPV3L1,TICAM1
GO:BP	GO:0031334	Positive Regulation Of Protein-Containing Complex Assembly	11	BAX,BID,BTK,EIF4G1,MMP1,SNCA,SRC,STUB1,SYK,TLR4,TP53
GO:BP	GO:0031346	Positive Regulation Of Cell Projection Organization	10	APOE,CARMIL1,DDR1,EPHA3,FZD1,LYN,METRN,PTK2B,TIAM1,TWF2
GO:BP	GO:0031348	Negative Regulation Of Defense Response	11	AKT1,APOE,AURKB,GATA3,GPER1,PARP1,PPARD,PPARG,PRKCD,RB1,STAT3
GO:BP	GO:0031349	Positive Regulation Of Defense Response	13	APP,CEBPA,ETS1,GRN,IL1B,MAPK13,MEF2C,NFKBIA,PLSCR1,SERPINE1,SNCA,TLR4,TNIP1
GO:BP	GO:0031396	Regulation Of Protein Ubiquitination	16	AKT1,AXIN1,BIRC2,BRCA1,CHP1,DAXX,DNAJB2,HSPA1A,MALT1,MYCBP2,PSMD10,SOX4,SQSTM1,STUB1,VPS28,WFS1
GO:BP	GO:0031398	Positive Regulation Of Protein Ubiquitination	13	AXIN1,BIRC2,BRCA1,DCUN1D4,MALT1,MTA1,MYCBP2,PIN1,PLK1,PSMD10,STUB1,TRIB3,WFS1
GO:BP	GO:0031401	Positive Regulation Of Protein Modification Process	33	AKT1,APP,AURKB,AXIN1,BIRC5,BMP4,CALM3,CCNA2,CCND1,CCND3,CD40,CDKN1A,CHP1,CRKL,DAXX,EGFR,EGR1,ERBB2,FAS,GPER1,IL1B,ILK,LYN,PAK1,PIK3R3,PIN1,PPP2R5A,PRKCD,PTK2,RALB,RRP8,SUV39H1,TESK1
GO:BP	GO:0032024	Positive Regulation Of Insulin Secretion	6	BAD,C2CD2L,GPER1,PSMD9,SOX4,STX4
GO:BP	GO:0032091	Negative Regulation Of Protein Binding	14	ADRB2,AKT1,AURKA,AURKB,BAX,CDKN1A,CSNK1E,DNAJB2,ITGB1BP1,LRPAP1,PIN1,PRKCD,PTPRF,RALB
GO:BP	GO:0032092	Positive Regulation Of Protein Binding	11	APOE,APP,BAMBI,BMP4,IDE,NVL,PIN1,RALB,TERT,TIAM1,TRIB3
GO:BP	GO:0032099	Negative Regulation Of Appetite	1	NENF
GO:BP	GO:0032102	Negative Regulation Of Response To External Stimulus	16	AKT1,APOE,AURKB,CASK,CRK,DUSP3,GATA3,GPER1,PARP1,PPARD,PPARG,PRKCD,RB1,SERPINE1,STAT3,TRIB1
GO:BP	GO:0032103	Positive Regulation Of Response To External Stimulus	13	APP,CEBPA,ETS1,GRN,IL1B,MAPK13,NFKBIA,PLSCR1,SERPINE1,SNCA,STX4,TLR4,TNIP1
GO:BP	GO:0032233	Positive Regulation Of Actin Filament Bundle Assembly	11	CARMIL1,CDC42,EVL,ITGB1BP1,PAK1,PXN,RHOA,SORBS3,TESK1,TGFB3,TPM1
GO:BP	GO:0032434	Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process	16	AXIN1,CDK2,CEBPA,CSNK1A1,CSNK1E,DNAJB2,HERPUD1,HSPA1A,KEAP1,PLK1,PSMD10,STUB1,TLK2,TRIB1,TRIB3,USP7
GO:BP	GO:0032436	Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process	16	AXIN1,CDC20,CEBPA,CSNK1A1,CSNK1E,DNAJB2,HERPUD1,HSPA1A,KEAP1,NFE2L2,PLK1,PSMD10,STUB1,TRIB1,TRIB3,UBQLN2
GO:BP	GO:0032446	Protein Modification By Small Protein Conjugation	25	ATG3,BRCA1,CCNF,CNOT4,COPS7A,DCUN1D4,FBXO11,FBXO7,HERC6,KEAP1,KLHL21,KLHL9,MYCBP2,NFE2L2,PLK1,SKP1,STUB1,STX1A,TRIM13,UBE2C,UBE2L6,UFM1,USP7,ZMIZ1,ZNF451
GO:BP	GO:0032465	Regulation Of Cytokinesis	17	AURKA,AURKB,BECN1,CALM3,CCP110,CDC25B,CDC42,FSD1,KIF14,KIF20A,KLHL21,KLHL9,PIK3C3,PIK3R4,PIN1,PLK1,RHOA
GO:BP	GO:0032496	Response To Lipopolysaccharide	20	CASP7,CCL2,CXCL2,IFNAR1,IL1B,MAPKAPK2,MAPKAPK3,MEF2C,NFKBIB,NOS3,RHOA,SCARB1,SERPINE1,SNCA,TICAM1,TLR4,TNIP1,TRIB1,XBP1,ZFP36
GO:BP	GO:0032675	Regulation Of Interleukin-6 Production	11	APP,ARHGEF2,HSPD1,IL1B,MAPK13,MAPKAPK2,PTPN6,STAT3,SYK,TLR4,XBP1
GO:BP	GO:0032680	Regulation Of Tumor Necrosis Factor Production	11	APP,ARHGEF2,EPHB2,HSPB1,MAPKAPK2,PTPN6,PTPRC,STAT3,SYK,TLR4,ZFP36
GO:BP	GO:0032869	Cellular Response To Insulin Stimulus	17	AKT1,C2CD5,EPRS1,FOXO4,GRB10,GRB7,IDE,IGF1R,INSIG1,PARP1,PCK2,PIK3R3,PPARG,RAB31,SHC1,TRIB3,XBP1
GO:BP	GO:0032870	Cellular Response To Hormone Stimulus	14	CTSL,GHR,GPER1,HSPA1A,HSPA8,MEF2C,NCOA3,NR3C1,PAX8,SOCS2,SRC,STAT3,STAT5B,XBP1
GO:BP	GO:0032874	Positive Regulation Of Stress-Activated MAPK Cascade	10	APP,AXIN1,BMP4,FZD7,GADD45A,GADD45B,IL1B,MAP3K4,PTK2B,STK25
GO:BP	GO:0032956	Regulation Of Actin Cytoskeleton Organization	15	CARMIL1,CDC42,CORO1A,CRK,EPHA3,PAK1,PDGFA,PIK3CA,PRKCD,PTK2B,RALA,RHOA,RNH1,TESK1,TWF2
GO:BP	GO:0032970	Regulation Of Actin Filament-Based Process	11	CDC42,CORO1A,CRK,EPHA3,PAK1,PDGFA,PRKCD,RALA,RHOA,TESK1,TWF2
GO:BP	GO:0033135	Regulation Of Peptidyl-Serine Phosphorylation	11	AKT1,APP,AXIN1,CD44,EGFR,EIF4G1,HDAC6,NCK1,NCK2,PAK1,SNCA
GO:BP	GO:0033365	Protein Localization To Organelle	11	ATP6V1D,BMP4,COG7,COL1A1,GET1,MICALL1,PAK1,RPA1,RPA2,TOR1A,TRAM2
GO:BP	GO:0033673	Negative Regulation Of Kinase Activity	14	CDKN1B,CHP1,EPHB2,HSPB1,ITGB1BP1,NPRL2,PPP2R5A,PRKAG2,PTPRC,RB1,SFN,SNCA,TRIB1,TRIB3
GO:BP	GO:0033674	Positive Regulation Of Kinase Activity	17	AXIN1,CCNA2,CDKN1A,CENPE,DAXX,DDR1,EGFR,ERBB2,ERBB3,FGFR2,FGFR4,IGF1R,IQGAP1,PRKAG2,PTK2,PTK2B,PTPRC
GO:BP	GO:0033993	Response To Lipid	17	ALAS1,FGFR4,FOXO3,IFNAR1,IL1B,MAPKAPK2,MAPKAPK3,NOS3,PPARG,SNCA,SOCS2,SPP1,STAT3,STAT5B,SYK,TLR4,TRIB1
GO:BP	GO:0034097	Response To Cytokine	17	APP,BCL2,CASP3,CD40,CXCR4,IKBKE,IL1B,MAPKAPK2,MAPKAPK3,NFKB2,PLSCR1,RELB,RHOA,SNCA,SRC,STAT1,TIMP2
GO:BP	GO:0034470	ncRNA Processing	12	ADAT1,DDX10,EBNA1BP2,EXOSC4,INTS3,NOLC1,NVL,PIH1D1,POP4,RPS6,RRP12,TSEN2
GO:BP	GO:0034504	Protein Localization To Nucleus	15	AKT1,BMP4,COL1A1,IPO13,NUP133,NUP62,NUP85,NUP88,NUP93,PLK1,RRS1,SKP1,STAT3,SYK,TOR1A
