source	term_id	term_name	n_landmark_genes	landmark_gene_symbols
GO:BP	GO:0006281	DNA Repair	34	ASCC3,BRCA1,CDK1,CHEK1,CHEK2,CSNK1E,DDB2,GADD45A,HMGA2,INTS3,LIG1,MNAT1,MSH6,MTA1,PARP1,PARP2,PCNA,PDS5A,PNKP,POLB,POLE2,RAD51C,RAD9A,RFC2,RFC5,RPA1,RPA2,RPA3,SMC1A,TENT4A,TIMELESS,TOPBP1,TP53,UBE2A
GO:BP	GO:0006282	Regulation Of DNA Repair	12	BCL7B,BRCA1,EGFR,PARP1,PCNA,RUVBL1,SMARCA4,SMARCC1,SMARCD2,USP1,USP22,VPS72
GO:BP	GO:0006289	Nucleotide-Excision Repair	10	DDB2,PNKP,POLB,POLR2I,RPA1,RPA2,RPA3,TENT4A,TP53,USP7
GO:BP	GO:0006302	Double-Strand Break Repair	15	BRCA1,CHEK2,INTS3,MTA1,NPC1,PARP1,PARP2,PNKP,POLB,RAD51C,RPA1,RPA2,RPA3,TENT4A,TP53BP1
GO:BP	GO:0006325	Chromatin Organization	30	BCL7B,CHEK1,DAXX,EZH2,GET1,GRWD1,H2BC21,HAT1,HDAC2,HDGFL3,HMGA2,KAT6B,KDM5A,KDM5B,MTA1,MTF2,MYC,PAK1,PIH1D1,PSIP1,RB1,RUVBL1,SATB1,SKP1,SMARCA4,SMARCC1,SMARCD2,SOX2,SUV39H1,ZNF274
GO:BP	GO:0006338	Chromatin Remodeling	24	BCL7B,CHEK1,DAXX,GET1,HDAC2,HDAC6,HDGFL3,KDM5A,KDM5B,MTA1,MTF2,MYC,PAK1,PARP2,PIH1D1,PSIP1,RB1,RUVBL1,SATB1,SKP1,SMARCA4,SMARCC1,SMARCD2,ZNF274
GO:BP	GO:0006351	DNA-templated Transcription	26	CCNH,CDK7,CEBPD,DRAP1,ETV1,FOXO3,GTF2A2,GTF2E2,MNAT1,MRPL12,MTERF3,NFKBIB,PARP1,PAX8,POLR1C,POLR2I,POLR2K,PWP1,RNPS1,TBP,TBPL1,TCEA2,TCFL5,TFDP1,TP53,XBP1
GO:BP	GO:0006364	rRNA Processing	10	DDX10,EBNA1BP2,EXOSC4,LSM6,NOLC1,NVL,PIH1D1,POP4,RPS6,RRP12
GO:BP	GO:0006366	Transcription By RNA Polymerase II	21	CCNH,CDK7,CEBPD,CREB1,DRAP1,E2F2,ETV1,GTF2A2,GTF2E2,MNAT1,NR1H2,PARP1,POLR2I,POLR2K,PPARG,SKIC8,TBP,TBPL1,TCFL5,TFDP1,XBP1
GO:BP	GO:0006396	RNA Processing	16	AKAP8L,DNTTIP2,DUSP11,EXOSC4,FASTKD5,FBXO11,LSM5,LSM6,MBNL1,NOL3,PRKACA,PRPF4,RBM6,RNPS1,TCERG1,TENT4A
