pert_id	pert_iname	n_sigs	canonical_smiles
BRD-K25979847	BRD-K25979847	3	OC[C@@H]1[C@@H](c2ccccc2)C2(CN(Cc3nccs3)C2)N1CC1CCOCC1
BRD-K25980346	BRD-K25980346	4	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)S(=O)(=O)C)Oc2ccc(NC(=O)Nc3ccc(cc3)C(F)(F)F)cc2CC1=O
BRD-K25989007	BRD-K25989007	3	CC(C)NC(=O)N1[C@@H](CO)[C@@H]([C@H]1CN(C)C(=O)c1ccccc1)c1ccccc1
BRD-K25989885	BRD-K25989885	3	OC[C@@H]1Nc2ccc(cc2[C@@H]2[C@H]1CCN2C(=O)C1CCCCC1)-c1ccc(cc1)C#N
BRD-K25990552	BRD-K25990552	13	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)NC2CCCCC2)Oc3ccc(NC(=O)C4CCCCC4)cc3C1=O
BRD-K25991148	warfarin	18	CC(=O)C[C@@H](c1ccccc1)c1c(O)c2ccccc2oc1=O
BRD-K25991217	BRD-K25991217	6	CN1[C@H]2CC[C@H](CC(=O)NCCc3ccncc3)O[C@H]2COc2ccc(NC(=O)Cc3cccs3)cc2C1=O
BRD-K25991572	BRD-K25991572	6	CC(C)NC(=O)Nc1ccc2O[C@@H](C)CCCCO[C@H](CN(C)C(=O)c3ccncc3)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1
BRD-K25994126	BRD-K25994126	4	OC[C@@H]1O[C@H](CC(=O)NC2CCCC2)C[C@H]3[C@@H]1Oc4ccc(NC(=O)C5CCC5)cc34
BRD-K25997353	BRD-K25997353	7	CNC[C@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)CCCN(C)C)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K26003427	BRD-K26003427	4	CN(C)C(=O)C[C@H]1O[C@H](CO)[C@H](NC(=O)c2ccc(F)cc2)C=C1
BRD-K26006030	BRD-K26006030	2	COCC#Cc1cnc2O[C@H](CN(C)S(=O)(=O)C)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
BRD-K26011976	licochalcone-a	42	COc1cc(O)c(cc1C=CC(=O)c1ccc(O)cc1)C(C)(C)C=C
BRD-K26015241	ODQ	19	O=c1onc2cnc3ccccc3n12
BRD-K26016896	BRD-K26016896	2	COc1ccc(C[C@H]2CCc3cnnn3COC[C@@H](NC2=O)c2ccccc2)cc1
BRD-K26038019	BRD-K26038019	4	CC(C)NC(=O)N[C@@H]1C=C[C@@H](CC(=O)NC2Cc3ccccc3C2)O[C@@H]1CO
BRD-K26041656	BRD-K26041656	4	O[C@@H]1COC[C@@H]2O[C@@H](CC(=O)NC3CCC3)CC[C@H]2N(C1)C(=O)Nc1ccc(Cl)c(Cl)c1
BRD-K26045715	BRD-K26045715	3	OC[C@H]1[C@H]([C@H](CNCC2CCC2)N1CC1CC1)c1ccccc1
BRD-K26048285	BRD-K26048285	17	Cc1cc(C)c2c3NC(=O)CN(C(=O)c3sc2n1)c4ccccc4C
BRD-K26048698	BRD-K26048698	1	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)C(=O)Nc2ccc(cc2)N3CCCCC3)OCc4cn(CCCC1=O)nn4
BRD-K26051610	BRD-K26051610	3	FC(F)(F)c1ccc(NC(=O)N2C[C@H]3N[C@@H](C2)[C@@H]3c2ccc(cc2)-c2cccc(c2)C#N)cc1
BRD-K26053980	BRD-K26053980	4	CCNC(=O)Nc1ccc2OC[C@H]3O[C@H](CC(=O)N[C@H](C)c4ccccc4)CC[C@@H]3N(C)C(=O)c2c1
BRD-K26066252	BRD-K26066252	5	COc1ccc2c3c([C@H](CO)N(CC4CC4)C[C@]33CN(C3)C(=O)CC3CC3)n(C)c2c1
BRD-K26069906	BRD-K26069906	5	OC[C@H]1[C@@H]2[C@@H](CN(C(=O)C3CCOCC3)c3ccccc23)N1C(=O)Cc1ccccc1
BRD-K26077185	BRD-K26077185	2	C[C@@H](NC(=O)C[C@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)C4CCOCC4)cc23)[C@H](CO)O1)c5ccccc5
BRD-K26087938	BRD-K26087938	1	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)C2CCCCC2)OCc3cn(CCCC1=O)nn3
BRD-K26095155	BRD-K26095155	2	COc1ccc(NC(=O)Nc2ccc3O[C@@H]4[C@@H](C[C@@H](CC(=O)N5CCN(C)CC5)O[C@H]4CO)c3c2)cc1
BRD-K26104851	nifuroxazide	4	Oc1ccc(cc1)C(=O)NN=Cc2ccc(o2)[N+](=O)[O-]
BRD-K26117720	gingerol	21	CCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1
BRD-K26119753	BRD-K26119753	8	COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(C[C@]31CCN(Cc2cc(F)ccc2F)CC1)C(=O)Nc1ccc(F)cc1
BRD-K26127000	BRD-K26127000	2	CN1CCN(CC1)C(=O)C[C@@H]1O[C@@H](CO)[C@H](NS(=O)(=O)c2cccc(F)c2)C=C1
BRD-K26128727	BRD-K26128727	2	COc1ccccc1NC(=O)N[C@@H]1CC[C@H](CCNS(=O)(=O)c2ccccc2)O[C@H]1CO
BRD-K26130452	BRD-K26130452	3	C\C=C\c1ccc(cc1)[C@H]1[C@@H](CO)N(CC2CC2)C11CN(C1)C(=O)c1ccc2OCOc2c1
BRD-K26134695	calpeptin	19	CCCC[C@H](NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1)C=O
BRD-K26148755	BRD-K26148755	6	OC[C@H]1[C@@H]2Cn3c(ccc(-c4ccncc4)c3=O)[C@H]([C@@H]1C(O)=O)N2C(=O)C1CC1
BRD-K26150272	BRD-K26150272	3	C\C=C\c1ccc(cc1)[C@H]1[C@@H](CO)N(C(=O)c2cnccn2)C11CN(C1)C(C)=O
BRD-K26160061	BRD-K26160061	12	Cc1ccc(OCCOc2ccc(Cl)cc2Cl)c(n1)[N+](=O)[O-]
BRD-K26160077	BRD-K26160077	6	COC(=O)C[C@H]1CC[C@@H]2[C@H](COc3ccc(NC(=O)c4cccc(Cl)c4)cc3C(=O)N2C)O1
BRD-K26160755	RS-45041-190	19	Clc1cccc2CN(Cc12)C1=NCCN1
BRD-K26168764	SA-1456352	12	O[C@H]1COC[C@@H]2O[C@H](CC(=O)NCC3CC3)CC[C@H]2N(C1)C(=O)c1cccnc1
BRD-K26171350	adrenosterone	4	C[C@]12CC(=O)[C@@H]3[C@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O
BRD-K26173688	BRD-K26173688	4	C[C@H](NC(=O)C[C@@H]1O[C@@H](CO)[C@H](NC(=O)Cc2ccccn2)C=C1)c1ccccc1
BRD-K26188625	BRD-K26188625	1	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)NC2CCCC2)OCc3cn(CCCC1=O)nn3
BRD-K26193607	BRD-K26193607	2	O[C@@H]1COC[C@@H]2O[C@@H](CC(=O)NCC3CCCCC3)CC[C@H]2N(CCC(F)(F)F)C1
BRD-K26199553	BRD-K26199553	2	OC[C@H]1[C@@H]2Cn3c(ccc(-c4cncnc4)c3=O)[C@@H]2N([C@@H]1C(=O)NCC1CC1)C(=O)NC1CCCC1
BRD-K26205424	BRD-K26205424	2	COc1cccc(c1)S(=O)(=O)Nc2ccc3O[C@H]4[C@H](C[C@@H](CC(=O)NCc5ccc(Cl)cc5)O[C@H]4CO)c3c2
BRD-K26211296	BRD-K26211296	13	COc1ccccc1-c1nnc(SCC#CCOC(=O)c2ccc(F)cc2)o1
BRD-K26212796	BRD-K26212796	2	OC[C@@H]1O[C@H](CC(=O)NCc2cccc(F)c2)C[C@@H]3[C@H]1Oc4ccc(NC(=O)C5CCC5)cc34
BRD-K26214610	BRD-K26214610	4	OC[C@@H]1[C@@H]([C@@H]2CN(CC(=O)N12)C(=O)C1CCCCC1)c1ccc(cc1)-c1ccc(cc1)C#N
BRD-K26214776	BRD-K26214776	2	CCCN(C)C[C@@H]1Oc2ncc(cc2C(=O)N(C[C@@H]1C)[C@@H](C)CO)c3ccccc3
BRD-K26233379	BRD-K26233379	12	Brc1ccc2oc(NC3=NC4=C(C(=O)CCC4)C4(CCCC4)N3)nc2c1
BRD-K26241953	piceatannol	19	Oc1cc(O)cc(C=Cc2ccc(O)c(O)c2)c1
BRD-K26245595	BRD-K26245595	2	COCC#Cc1cnc2O[C@H](CN(C)C(=O)Nc3cc(F)ccc3F)[C@@H](C)CN([C@@H](C)CO)C(=O)c2c1
BRD-K26252750	BRD-K26252750	6	OC[C@@H]1[C@H]2Cn3c(ccc(C4=CCCCC4)c3=O)[C@@H]([C@H]1C(O)=O)N2C(=O)Cc1ccccn1
BRD-K26257340	BRD-K26257340	30	Cc1c(cccc1[N+](=O)[O-])C(=O)NNC(=O)c2csc(n2)N3CCOCC3
BRD-K26258603	BRD-K26258603	6	CC(C)NC(=O)N(C)C[C@H]1OCCCC[C@H](C)Oc2ccc(NC(=O)Cc3ccccc3)cc2C(=O)N(C[C@@H]1C)[C@H](C)CO
BRD-K26273696	BRD-K26273696	3	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Oc2ccc(C)cc2)OCc3cn(CCCC1=O)nn3
BRD-K26277326	BRD-K26277326	5	CN(C)C(=O)c1ccc(cc1)-c1cccc(c1)-c1nc(cc2CN([C@@H](CCO)c12)[S@@](=O)C(C)(C)C)C(=O)NC1CCCC1
BRD-K26292987	BRD-K26292987	3	O=C(Cc1ccccc1)N1C[C@H]2N[C@@H](C1)[C@H]2c1ccc(cc1)-c1ccc(cc1)C#N
BRD-K26298689	BRD-K26298689	2	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)C3CCCC3)cc2OC[C@@H](C)N(C[C@H]1C)C(=O)CC1CC1
BRD-K26300881	KU-C103867	13	COc1ccc(cc1)-n1sc2ccccc2c1=O
BRD-K26301430	BRD-K26301430	4	CO[C@H](C(=O)N(C)C[C@@H]1OCc2ccccc2-c3ccccc3C(=O)N(C[C@H]1C)[C@@H](C)CO)c4ccccc4
BRD-K26304855	BRD-K26304855	12	Cn1c2ccccc2c(OCCCC(=O)Nc2cc(ccn2)C(F)(F)F)cc1=O
BRD-K26309991	BRD-K26309991	2	COc1cccc(NC(=O)N(C)C[C@@H]2Oc3ncc(C#Cc4ccncc4)cc3C(=O)N(C[C@H]2C)[C@@H](C)CO)c1
BRD-K26319806	BRD-K26319806	3	CO[C@H]1CN(C)C(=O)c2cc(NC(C)=O)ccc2OC[C@@H](C)N(C[C@@H]1C)S(=O)(=O)c1cn(C)cn1
BRD-K26325692	API-001	42	Cc1cc(OCCN2CCOCC2)nn1-c1ccc2ccccc2c1
BRD-K26327304	BRD-K26327304	4	C[C@@H](NC(=O)C[C@H]1O[C@@H](CO)[C@H](NC(=O)Cc2ccccn2)C=C1)c1ccccc1
BRD-K26341917	L-ergothioneine	42	C[N+](C)(C)[C@@H](Cc1c[nH]c(=S)[nH]1)C(O)=O
BRD-K26350615	BRD-K26350615	6	CC(C)NC(=O)Nc1ccc2OC[C@H]3O[C@H](CC(=O)NCc4ccc(F)cc4)CC[C@H]3N(C)C(=O)c2c1
BRD-K26359746	BRD-K26359746	12	COc1ccc2c3c([C@@H](CO)N(C[C@]33CCN(CC3)C(=O)C3CCOCC3)C(C)=O)n(C)c2c1
BRD-K26362026	BRD-K26362026	4	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(Cl)c(Cl)c2)Oc3ccc(NC(=O)CCC(F)(F)F)cc3C1=O
BRD-K26367064	BRD-K26367064	17	CN(C)S(=O)(=O)c1ccc(N2CCCC2)c(c1)C(=O)N1CCN(CC1)c1ccccc1
BRD-K26370510	BRD-K26370510	6	CCCNC(=O)N(C)C[C@@H]1Oc2cc(ccc2S(=O)(=O)N(C[C@H]1C)[C@H](C)CO)C3=CCCCC3
BRD-K26373640	IKK-2-inhibitor	19	NC(=O)c1sc(cc1N)-c1ccsc1
BRD-K26381032	BRD-K26381032	8	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CC2)Oc3ccc(NC(=O)CCCCCC(=O)Nc4ccccc4N)cc3CC1=O
BRD-K26391060	BRD-K26391060	4	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(cc2)C(F)(F)F)OCCCC[C@H](C)Oc3ccc(NC(=O)Nc4cccc5ccccc45)cc3C1=O
BRD-K26399147	BRD-K26399147	2	OC[C@H]1O[C@@H](CCNS(=O)(=O)c2ccc(Cl)cc2)CC[C@H]1NC(=O)c1ccccn1
BRD-K26421164	BRD-K26421164	2	COc1cccc(c1)c2ccc3c(O[C@H](CN(C)C(=O)C4CCOCC4)[C@@H](C)CN([C@@H](C)CO)S3(=O)=O)c2
BRD-K26425257	BRD-K26425257	4	C[C@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc3ccccc3-c4ccccc4C1=O
BRD-K26427778	BRD-K26427778	4	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2cccnc2)OCc3ccccc3-c4ccccc4C1=O
BRD-K26429091	J-104129	19	CC(=CCCN1CCC(CC1)NC(=O)[C@@](O)(C2CCCC2)c3ccccc3)C
BRD-K26441788	BRD-K26441788	5	COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]31CCN(Cc2ccccc2F)CC1)S(=O)(=O)c1cn(C)cn1
BRD-K26449125	BRD-K26449125	2	C[C@@H](O)C#Cc1cnc2O[C@H](CN(C)C(=O)Cc3ccncc3)[C@H](C)CN([C@H](C)CO)C(=O)c2c1
BRD-K26457096	BRD-K26457096	4	OC[C@@H]1[C@@H]([C@@H]2CN(Cc3ccc(F)cc3)CC(=O)N12)c1ccc(cc1)-c1ccccc1
BRD-K26461874	BRD-K26461874	3	CCCNC(=O)Nc1ccc2OC[C@@H](C)N(Cc3ccc(cc3)-c3ccccn3)C[C@H](C)[C@@H](CN(C)C(=O)c2c1)OC
BRD-K26484639	BRD-K26484639	4	CN(C)C(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)Nc4ccc(F)cc4)cc23)[C@@H](CO)O1
BRD-K26484692	BRD-K26484692	14	O[C@H]1CN[C@H]2CC[C@H](CC(=O)NCCN3CCCCC3)O[C@@H]2COC1
BRD-K26499328	BRD-K26499328	5	OC[C@@H]1[C@@H]([C@@H]2CN(Cc3cncnc3)CCCCN12)c1ccc(cc1)-c1ccccc1F
BRD-K26507936	BRD-K26507936	3	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)Nc3cc(F)ccc3F)cc2OC[C@@H](C)N(C[C@H]1C)C(=O)c1cnccn1
BRD-K26508045	BRD-K26508045	4	COc1ccc(NC(=O)Nc2ccc3O[C@H]4[C@H](C[C@H](CC(=O)NCc5ccncc5)O[C@@H]4CO)c3c2)cc1
BRD-K26511533	BRD-K26511533	6	OC[C@H]1[C@@H]2Cn3c(cccc3=O)[C@@H]2N[C@@H]1C(=O)NC1Cc2ccccc2C1
BRD-K26521938	dinoprostone	25	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O
BRD-K26522558	BRD-K26522558	5	COc1ccc2c3c([C@@H](CO)N(C)C[C@]33CCN(CC3)C(=O)c3ccc4OCOc4c3)n(C)c2c1
BRD-K26526202	BRD-K26526202	3	CN(C[C@@H]1[C@@H]([C@H](CO)N1C(C)=O)c1ccccc1)S(=O)(=O)c1ccccc1
BRD-K26537262	BRD-K26537262	4	OC[C@@H]1[C@H]([C@@H](C#N)N1C(=O)c1ccc2OCOc2c1)c1ccccc1
BRD-K26542939	BRD-K26542939	5	OC[C@@H]1[C@@H]([C@@H]2CN(CCCCN12)C(=O)Nc1cc(F)ccc1F)c1ccc(cc1)C1=CCCCC1
BRD-K26545050	BRD-K26545050	4	COc1ccc(NC(=O)N(C)C[C@H]2OCc3ccccc3-c4c(C(=O)N(C[C@H]2C)[C@@H](C)CO)n(C)c5ccccc45)c(OC)c1
BRD-K26545157	BRD-K26545157	5	COc1ccc2c3c([C@@H](CO)N(C[C@]33CCN(Cc4ccncc4)CC3)C(=O)CN3CCOCC3)n(C)c2c1
BRD-K26548821	quinpirol-(-)	19	CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12
BRD-K26553253	BRD-K26553253	4	C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2ccc(F)cc2)Oc3ncc(cc3C1=O)c4ccccc4F
BRD-K26555669	BRD-K26555669	2	CO[C@@H]1CN(C)C(=O)c2cc(NS(=O)(=O)c3cccc(F)c3)ccc2OC[C@H](C)NC[C@H]1C
BRD-K26573499	DMAB-anabaseine	19	CN(C)c1ccc(cc1)\C=C1CCCN=C/1c1cccnc1
BRD-K26576471	BRD-K26576471	2	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)[C@H](C)c2ccccc2)OCc3ccccc3-c4ccccc4C1=O
BRD-K26581628	BRD-K26581628	3	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Nc2ccccc2)OCc3cn(CCCC1=O)nn3
BRD-K26583430	BRD-K26583430	7	CN(C)C(=O)C[C@H]1CC[C@@H]2[C@H](COC[C@H](O)CN2C(=O)C2CCCC2)O1
BRD-K26586614	BRD-K26586614	3	CCC(=O)N1CC[C@H]2[C@@H]1c1cc(ccc1N[C@@H]2CO)C#Cc1ccccc1
BRD-K26594332	BRD-K26594332	4	CS(=O)(=O)Nc1ccc2O[C@@H]3[C@@H](C[C@@H](CC(=O)NCCc4ccccc4)O[C@H]3CO)c2c1
BRD-K26603252	PD-153035	42	COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC
BRD-K26604645	BRD-K26604645	6	OC[C@@H]1[C@H]2Cn3c(ccc(-c4cccnc4)c3=O)[C@H]2N[C@H]1C(=O)NCCN1CCCCC1
BRD-K26606423	BRD-K26606423	2	N[C@H]1CC[C@H](CCn2cc(nn2)-c2ccccn2)O[C@@H]1CO
BRD-K26619122	thiocolchicoside	46	COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2CC[C@H](NC(C)=O)c3cc(=O)c(SC)ccc3-c2c1OC
BRD-K26622714	BRD-K26622714	2	C[C@H](NC(=O)C[C@@H]1C[C@H]2[C@H](Oc3ccc(NC(=O)C4CCOCC4)cc23)[C@@H](CO)O1)c5ccccc5
BRD-K26626929	BRD-K26626929	11	C[C@@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)Cc2ccccc2)OCc3ccccc3-c4ccccc4C1=O
BRD-K26631510	BRD-K26631510	7	O[C@H]1COC[C@H]2O[C@H](CC(=O)NCc3ccncn3)CC[C@@H]2N(C1)S(=O)(=O)c1cccc(F)c1
BRD-K26652457	BRD-K26652457	2	COc1cccc(NC(=O)N(C)C[C@H]2Oc3cc(C#CC4(O)CCCC4)ccc3S(=O)(=O)N(C[C@H]2C)[C@@H](C)CO)c1
BRD-K26653603	BRD-K26653603	1	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCCOc3c2)OCc4cn(CCCC1=O)nn4
BRD-K26654895	BRD-K26654895	3	OC[C@@H]1Nc2ccc(cc2[C@H]2[C@@H]1CCN2C(=O)c1cccc(F)c1)-c1ccccc1F
BRD-K26657438	imiquimod	107	CC(C)Cn1cnc2c(N)nc3ccccc3c12
BRD-K26663582	BRD-K26663582	2	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)C3CC3)cc2OC[C@@H](C)N(Cc2ccncc2)C[C@@H]1C
BRD-K26664453	cytochalasin-b	59	C[C@H]1[C@H]2[C@H](Cc3ccccc3)NC(=O)[C@]22OC(=O)\C=C\[C@H](O)CCC[C@@H](C)C\C=C\[C@H]2[C@H](O)C1=C
BRD-K26666618	BRD-K26666618	4	COc1cccc(c1)S(=O)(=O)Nc2ccc3O[C@H]4[C@H](C[C@@H](CC(=O)NC5CCCCC5)O[C@@H]4CO)c3c2
BRD-K26667087	BRD-K26667087	3	OC[C@H]1Nc2ccc(cc2[C@H]2[C@@H]1CCN2Cc1ccncc1)-c1cccc(F)c1
BRD-K26667523	TAK-733	42	Cn1c2ncn(C[C@@H](O)CO)c(=O)c2c(Nc2ccc(I)cc2F)c(F)c1=O
BRD-K26669427	WR-216174	19	Fc1ccc(cc1)C(=O)/C=C/2\C(=O)Nc3ccc(Br)cc23
BRD-K26674531	GR-235	18	C\C=C1/C(=O)C[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
BRD-K26676775	SA-1460192	19	O[C@@H]1COC[C@@H]2O[C@H](CC(=O)N3CCc4ccccc4C3)CC[C@H]2N(Cc2ccc(Oc3ccccc3)cc2)C1
BRD-K26682747	BRD-K26682747	1	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc3OCCOc3c2)OCc4cn(CCCC1=O)nn4
BRD-K26684619	BRD-K26684619	28	OC(=O)c1cccnc1Nc2ccc(Cl)cc2
BRD-K26694002	BRD-K26694002	5	OC[C@@H]1[C@H]2[C@H](CN(C(=O)Nc3ccc(F)cc3)c3ccccc23)N1C(=O)c1cccnc1
BRD-K26701552	tegobuvir	42	Fc1ccccc1-c1nc2ccn(Cc3ccc(nn3)-c3ccc(cc3C(F)(F)F)C(F)(F)F)cc2n1
BRD-K26712974	VX-765	42	CCO[C@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(N)c(Cl)c1)C(C)(C)C
BRD-K26715911	BRD-K26715911	6	COc1ccc(cc1)-c1ccc2[C@H]3[C@@H](Cn2c1=O)[C@H](CO)[C@H](N3CC1CCCC1)C(=O)N(C)C
BRD-K26727724	BRD-K26727724	3	CCCNC(=O)N1CC2(C1)[C@@H]([C@@H](CO)N2CC1CCOCC1)c1ccccc1
BRD-K26733240	BRD-K26733240	1	C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)S(=O)(=O)c2cccc(F)c2)OCc3cnnn3CCCC1=O
BRD-K26739552	fenspiride	3	O=C1NCC2(CCN(CCc3ccccc3)CC2)O1
BRD-K26755359	BRD-K26755359	5	OC[C@H]1[C@H]([C@H]2CN(Cc3cncnc3)CCCCN12)c1ccc(cc1)-c1ccccc1F
BRD-K26756156	cadmium-chloride	3	Cl[Cd]Cl
BRD-K26756394	VE-821	114	CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1ccccc1
BRD-K26759399	BRD-K26759399	2	CCCC#Cc1ccc2c(O[C@H](CN(C)C(=O)Nc3ccccc3F)[C@H](C)CN([C@@H](C)CO)S2(=O)=O)c1
BRD-K26760349	HG-9-91-01	132	CC1=C(C(=CC=C1)C)NC(=O)N(C2=C(C=C(C=C2)OC)OC)C3=NC=NC(=C3)NC4=C(C=C(C=C4)N5CCN(CC5)C)OC
BRD-K26766547	BRD-K26766547	5	CC(C)NC(=O)N1C[C@H]2[C@H]([C@H](CO)N2Cc2ccccn2)c2ccccc12
BRD-K26767475	BRD-K26767475	15	CN(Cc1ccco1)c2ncnc3ccc(cc23)c4ccc5n(C)ccc5c4
BRD-K26772093	BRD-K26772093	5	COc1ccc2c3c([nH]c2c1)[C@@H](CO)N(CC1CC1)C[C@]31CN(Cc2cc(F)ccc2F)C1
BRD-K26778237	BRD-K26778237	4	COc1ccccc1C#Cc2ccc3c(O[C@@H](CN(C)Cc4ccccc4)[C@@H](C)CN([C@H](C)CO)S3(=O)=O)c2
BRD-K26779385	BRD-K26779385	2	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2c(C)noc2C)OCc3ccccc3-c4ccccc4C1=O
BRD-K26785978	BRD-K26785978	4	COC(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)C4CCOCC4)cc23)[C@H](CO)O1
BRD-K26792953	BRD-K26792953	2	OC[C@@H]1O[C@@H](CC(=O)NC2CCCCC2)C[C@H]3[C@@H]1Oc4ccc(NS(=O)(=O)c5ccc(F)cc5)cc34
BRD-K26798591	BRD-K26798591	5	COc1ccc2c3c([C@H](CO)N(C[C@]33CN(C3)C(=O)Cc3ccncc3)C(=O)Nc3ccc(F)cc3)n(C)c2c1
BRD-K26799408	BRD-K26799408	2	CN1CCN(CC1)C(=O)C[C@H]2C[C@H]3[C@H](Oc4ccc(NC(=O)C5CCC5)cc34)[C@H](CO)O2
BRD-K26801045	pipamperone	23	NC(=O)C1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)N1CCCCC1
BRD-K26815099	BRD-K26815099	12	CCOc1ccc(CCNC(=O)C2CCCCC2)cc1OCC
BRD-K26817071	BRD-K26817071	2	CCCN(C)C[C@@H]1OCCCC[C@@H](C)Oc2ccc(NS(=O)(=O)C)cc2C(=O)N(C[C@H]1C)[C@H](C)CO
BRD-K26818574	BIX-01294	155	COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1
BRD-K26822808	BRD-K26822808	13	C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)C(=O)CCC(F)(F)F)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3ccccc3)cc2C1=O
BRD-K26823213	GW-842166	42	FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1
BRD-K26831771	BRD-K26831771	12	CC\N=C1\S\C(=C\c2cc(C)n(c2C)-c2ccc(Cl)cc2F)C(=O)N1CC
BRD-K26835110	BRD-K26835110	4	C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)[C@H](Cc2ccccc2)N(C)C)OCc3ccccc3-c4ccccc4C1=O
BRD-K26838195	AST-1306	132	Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc2Cl)c1
BRD-K26840329	BRD-K26840329	4	C[C@@H](NC(=O)C[C@@H]1CC[C@@H](NS(=O)(=O)c2cccc(F)c2)[C@@H](CO)O1)c1ccccc1
BRD-K26849279	SA-424936	25	C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)CCCN(C)C)OCCCC[C@H](C)Oc2ccc(NS(=O)(=O)c3cccs3)cc2C1=O
BRD-K26857129	BRD-K26857129	2	CO[C@H]1CN(C)C(=O)c2cc(NC(=O)Nc3ccccc3)ccc2OC[C@@H](C)N(C[C@@H]1C)C(=O)CC1CC1
BRD-K26862028	BRD-K26862028	2	COc1cccc(c1)-c1cn(CC[C@H]2CC[C@@H](NS(=O)(=O)Cc3ccccc3)[C@@H](CO)O2)nn1
BRD-K26862321	BRD-K26862321	4	O[C@@H]1CN[C@H]2CC[C@@H](CC(=O)Nc3nccs3)O[C@@H]2COC1
BRD-K26863634	BIX-01338	32	COc1ccc(cc1)C(=O)Oc1ccc(CCn2c(NC(=O)c3ccc(cc3)C(F)(F)F)nc3cc(ccc23)C(O)=O)cc1
BRD-K26873914	BRD-K26873914	2	CO[C@@H]1CC[C@@H]2CCOc3c(cccc3C(=O)N(C)[C@H](C)C(=O)N(C)C[C@H]1O2)C#N
BRD-K26886657	BRD-K26886657	3	CCC(=O)NC[C@H]1[C@@H]([C@H](CO)N1Cc1ccccn1)c1ccc(\C=C\C)cc1
BRD-K26893932	BRD-K26893932	5	COc1ccc2c3c([C@H](CO)N(C)C[C@]33CN(CC4CC4)C3)n(C)c2c1
BRD-K26899819	BRD-K26899819	4	O[C@H]1COC[C@@H]2O[C@@H](CC(=O)N3CCc4ccccc4C3)CC[C@H]2N(Cc2cc(F)ccc2F)C1
