gene_symbol	entrez_id	ccle_match_status	hgnc_locus_group	hgnc_id	secondary_source_available	notes
SOX4	6659	matched_entrez			False	CCLE column SOX4 (6659)
CAT	847	matched_entrez			False	CCLE column CAT (847)
RHEB	6009	matched_entrez			False	CCLE column RHEB (6009)
MAPKAPK2	9261	matched_entrez			False	CCLE column MAPKAPK2 (9261)
SCRN1	9805	matched_entrez			False	CCLE column SCRN1 (9805)
JUN	3725	matched_entrez			False	CCLE column JUN (3725)
SHC1	6464	matched_entrez			False	CCLE column SHC1 (6464)
SQSTM1	8878	matched_entrez			False	CCLE column SQSTM1 (8878)
PRCP	5547	matched_entrez			False	CCLE column PRCP (5547)
USP7	7874	matched_entrez			False	CCLE column USP7 (7874)
NFKBIA	4792	matched_entrez			False	CCLE column NFKBIA (4792)
G3BP1	10146	matched_entrez			False	CCLE column G3BP1 (10146)
TOMM70A	9868	matched_entrez			False	CCLE column TOMM70 (9868)
RPA1	6117	matched_entrez			False	CCLE column RPA1 (6117)
ZFP36	7538	matched_entrez			False	CCLE column ZFP36 (7538)
DUSP3	1845	matched_entrez			False	CCLE column DUSP3 (1845)
KDM5B	10765	matched_entrez			False	CCLE column KDM5B (10765)
MCM3	4172	matched_entrez			False	CCLE column MCM3 (4172)
CLIC4	25932	matched_entrez			False	CCLE column CLIC4 (25932)
CLSTN1	22883	matched_entrez			False	CCLE column CLSTN1 (22883)
ID2	3398	matched_entrez			False	CCLE column ID2 (3398)
DCTD	1635	matched_entrez			False	CCLE column DCTD (1635)
FAT1	2195	matched_entrez			False	CCLE column FAT1 (2195)
SMC1A	8243	matched_entrez			False	CCLE column SMC1A (8243)
NISCH	11188	matched_entrez			False	CCLE column NISCH (11188)
PWP1	11137	matched_entrez			False	CCLE column PWP1 (11137)
ICMT	23463	matched_entrez			False	CCLE column ICMT (23463)
RUVBL1	8607	matched_entrez			False	CCLE column RUVBL1 (8607)
MBTPS1	8720	matched_entrez			False	CCLE column MBTPS1 (8720)
INSIG1	3638	matched_entrez			False	CCLE column INSIG1 (3638)
RRAGA	10670	matched_entrez			False	CCLE column RRAGA (10670)
IER3	8870	matched_entrez			False	CCLE column IER3 (8870)
UBE2L6	9246	matched_entrez			False	CCLE column UBE2L6 (9246)
SMC4	10051	matched_entrez			False	CCLE column SMC4 (10051)
USP14	9097	matched_entrez			False	CCLE column USP14 (9097)
EGR1	1958	matched_entrez			False	CCLE column EGR1 (1958)
PNP	4860	matched_entrez			False	CCLE column PNP (4860)
DNMT1	1786	matched_entrez			False	CCLE column DNMT1 (1786)
CCND3	896	matched_entrez			False	CCLE column CCND3 (896)
NIPSNAP1	8508	matched_entrez			False	CCLE column NIPSNAP1 (8508)
MYBL2	4605	matched_entrez			False	CCLE column MYBL2 (4605)
EPB41L2	2037	matched_entrez			False	CCLE column EPB41L2 (2037)
ELAVL1	1994	matched_entrez			False	CCLE column ELAVL1 (1994)
KIAA0100	9703	matched_entrez			False	CCLE column BLTP2 (9703)
TP53	7157	matched_entrez			False	CCLE column TP53 (7157)
RPA2	6118	matched_entrez			False	CCLE column RPA2 (6118)
MTHFD2	10797	matched_entrez			False	CCLE column MTHFD2 (10797)
PSME2	5721	matched_entrez			False	CCLE column PSME2 (5721)
DAXX	1616	matched_entrez			False	CCLE column DAXX (1616)
