gene_symbol	entrez_id	ccle_match_status	hgnc_locus_group	hgnc_id	secondary_source_available	notes
FZD7	8324	matched_entrez			False	CCLE column FZD7 (8324)
PHKG2	5261	matched_entrez			False	CCLE column PHKG2 (5261)
GADD45A	1647	matched_entrez			False	CCLE column GADD45A (1647)
LAMA3	3909	matched_entrez			False	CCLE column LAMA3 (3909)
SKIV2L	6499	matched_entrez			False	CCLE column SKIC2 (6499)
BUB1B	701	matched_entrez			False	CCLE column BUB1B (701)
SLC25A13	10165	matched_entrez			False	CCLE column SLC25A13 (10165)
SSBP2	23635	matched_entrez			False	CCLE column SSBP2 (23635)
AKAP8	10270	matched_entrez			False	CCLE column AKAP8 (10270)
PDIA5	10954	matched_entrez			False	CCLE column PDIA5 (10954)
RAB11FIP2	22841	matched_entrez			False	CCLE column RAB11FIP2 (22841)
RAB21	23011	matched_entrez			False	CCLE column RAB21 (23011)
LYRM1	57149	matched_entrez			False	CCLE column LYRM1 (57149)
RAP1GAP	5909	matched_entrez			False	CCLE column RAP1GAP (5909)
TCEA2	6919	matched_entrez			False	CCLE column TCEA2 (6919)
NFKBIE	4794	matched_entrez			False	CCLE column NFKBIE (4794)
MRPL12	6182	matched_entrez			False	CCLE column MRPL12 (6182)
ATF6	22926	matched_entrez			False	CCLE column ATF6 (22926)
CEBPD	1052	matched_entrez			False	CCLE column CEBPD (1052)
GNB5	10681	matched_entrez			False	CCLE column GNB5 (10681)
DUSP4	1846	matched_entrez			False	CCLE column DUSP4 (1846)
CEBPA	1050	matched_entrez			False	CCLE column CEBPA (1050)
WASF3	10810	matched_entrez			False	CCLE column WASF3 (10810)
PRKX	5613	matched_entrez			False	CCLE column PRKX (5613)
SLC5A6	8884	matched_entrez			False	CCLE column SLC5A6 (8884)
MAP3K4	4216	matched_entrez			False	CCLE column MAP3K4 (4216)
AURKA	6790	matched_entrez			False	CCLE column AURKA (6790)
CCNH	902	matched_entrez			False	CCLE column CCNH (902)
TESK1	7016	matched_entrez			False	CCLE column TESK1 (7016)
CDC45	8318	matched_entrez			False	CCLE column CDC45 (8318)
FOXO3	2309	matched_entrez			False	CCLE column FOXO3 (2309)
ENOSF1	55556	matched_entrez			False	CCLE column ENOSF1 (55556)
IFNAR1	3454	matched_entrez			False	CCLE column IFNAR1 (3454)
CDK2	1017	matched_entrez			False	CCLE column CDK2 (1017)
ELOVL6	79071	matched_entrez			False	CCLE column ELOVL6 (79071)
PMAIP1	5366	matched_entrez			False	CCLE column PMAIP1 (5366)
PIK3C3	5289	matched_entrez			False	CCLE column PIK3C3 (5289)
CREB1	1385	matched_entrez			False	CCLE column CREB1 (1385)
PIK3CA	5290	matched_entrez			False	CCLE column PIK3CA (5290)
GSTM2	2946	matched_entrez			False	CCLE column GSTM2 (2946)
FOSL1	8061	matched_entrez			False	CCLE column FOSL1 (8061)
FZD1	8321	matched_entrez			False	CCLE column FZD1 (8321)
PLA2G15	23659	matched_entrez			False	CCLE column PLA2G15 (23659)
SNCA	6622	matched_entrez			False	CCLE column SNCA (6622)
MMP1	4312	matched_entrez			False	CCLE column MMP1 (4312)
PIK3C2B	5287	matched_entrez			False	CCLE column PIK3C2B (5287)
CD44	960	matched_entrez			False	CCLE column CD44 (960)
DPH2	1802	matched_entrez			False	CCLE column DPH2 (1802)
PPIC	5480	matched_entrez			False	CCLE column PPIC (5480)
BRCA1	672	matched_entrez			False	CCLE column BRCA1 (672)
ST6GALNAC2	10610	matched_entrez			False	CCLE column ST6GALNAC2 (10610)
IKBKE	9641	matched_entrez			False	CCLE column IKBKE (9641)
FGFR4	2264	matched_entrez			False	CCLE column FGFR4 (2264)
SLC25A14	9016	matched_entrez			False	CCLE column SLC25A14 (9016)
CGRRF1	10668	matched_entrez			False	CCLE column CGRRF1 (10668)
CCDC85B	11007	matched_entrez			False	CCLE column CCDC85B (11007)
ACD	65057	matched_entrez			False	CCLE column ACD (65057)
TFAP2A	7020	matched_entrez			False	CCLE column TFAP2A (7020)
SHB	6461	matched_entrez			False	CCLE column SHB (6461)
CCP110	9738	matched_entrez			False	CCLE column CCP110 (9738)
KCNK1	3775	matched_entrez			False	CCLE column KCNK1 (3775)
CDC25A	993	matched_entrez			False	CCLE column CDC25A (993)
KIAA0753	9851	matched_entrez			False	CCLE column KIAA0753 (9851)
NCK1	4690	matched_entrez			False	CCLE column NCK1 (4690)
STX1A	6804	matched_entrez			False	CCLE column STX1A (6804)
PTGS2	5743	matched_entrez			False	CCLE column PTGS2 (5743)
MAP2K5	5607	matched_entrez			False	CCLE column MAP2K5 (5607)
C2CD2L	9854	matched_entrez			False	CCLE column C2CD2L (9854)
USP6NL	9712	matched_entrez			False	CCLE column USP6NL (9712)
FAS	355	matched_entrez			False	CCLE column FAS (355)
PPOX	5498	matched_entrez			False	CCLE column PPOX (5498)
TMEM5	10329	matched_entrez			False	CCLE column RXYLT1 (10329)
CLPX	10845	matched_entrez			False	CCLE column CLPX (10845)
ZW10	9183	matched_entrez			False	CCLE column ZW10 (9183)
MELK	9833	matched_entrez			False	CCLE column MELK (9833)
CCNF	899	matched_entrez			False	CCLE column CCNF (899)
RAD9A	5883	matched_entrez			False	CCLE column RAD9A (5883)
TCFL5	10732	matched_entrez			False	CCLE column TCFL5 (10732)
ZNF274	10782	matched_entrez			False	CCLE column ZNF274 (10782)
ICAM3	3385	matched_entrez			False	CCLE column ICAM3 (3385)
DDX10	1662	matched_entrez			False	CCLE column DDX10 (1662)
TRAPPC6A	79090	matched_entrez			False	CCLE column TRAPPC6A (79090)
CDK5R1	8851	matched_entrez			False	CCLE column CDK5R1 (8851)
ATF5	22809	matched_entrez			False	CCLE column ATF5 (22809)
STAT5B	6777	matched_entrez			False	CCLE column STAT5B (6777)
CCNE2	9134	matched_entrez			False	CCLE column CCNE2 (9134)
LSM6	11157	matched_entrez			False	CCLE column LSM6 (11157)
IKZF1	10320	matched_entrez			False	CCLE column IKZF1 (10320)
CENPE	1062	matched_entrez			False	CCLE column CENPE (1062)
KIT	3815	matched_entrez			False	CCLE column KIT (3815)
ITGAE	3682	matched_entrez			False	CCLE column ITGAE (3682)
IL1B	3553	matched_entrez			False	CCLE column IL1B (3553)
ORC1	4998	matched_entrez			False	CCLE column ORC1 (4998)
MAMLD1	10046	matched_entrez			False	CCLE column MAMLD1 (10046)
SGCB	6443	matched_entrez			False	CCLE column SGCB (6443)
MOK	5891	matched_entrez			False	CCLE column MOK (5891)
CD40	958	matched_entrez			False	CCLE column CD40 (958)
PEX11A	8800	matched_entrez			False	CCLE column PEX11A (8800)
CLTB	1212	matched_entrez			False	CCLE column CLTB (1212)
CD58	965	matched_entrez			False	CCLE column CD58 (965)
PLS1	5357	matched_entrez			False	CCLE column PLS1 (5357)
PCMT1	5110	matched_entrez			False	CCLE column PCMT1 (5110)
RELB	5971	matched_entrez			False	CCLE column RELB (5971)
GNA15	2769	matched_entrez			False	CCLE column GNA15 (2769)
INPP4B	8821	matched_entrez			False	CCLE column INPP4B (8821)
CBR3	874	matched_entrez			False	CCLE column CBR3 (874)
CHEK1	1111	matched_entrez			False	CCLE column CHEK1 (1111)
SMAD3	4088	matched_entrez			False	CCLE column SMAD3 (4088)
DAG1	1605	matched_entrez			False	CCLE column DAG1 (1605)
PHKA1	5255	matched_entrez			False	CCLE column PHKA1 (5255)
FOXO4	4303	matched_entrez			False	CCLE column FOXO4 (4303)
PIGB	9488	matched_entrez			False	CCLE column PIGB (9488)
PDGFA	5154	matched_entrez			False	CCLE column PDGFA (5154)
CASP10	843	matched_entrez			False	CCLE column CASP10 (843)
GHR	2690	matched_entrez			False	CCLE column GHR (2690)
C5	727	matched_entrez			False	CCLE column C5 (727)
BTK	695	matched_entrez			False	CCLE column BTK (695)
RPP38	10557	matched_entrez			False	CCLE column RPP38 (10557)
SNX7	51375	matched_entrez			False	CCLE column SNX7 (51375)
NOS3	4846	matched_entrez			False	CCLE column NOS3 (4846)
SCYL3	57147	matched_entrez			False	CCLE column SCYL3 (57147)
ALAS1	211	matched_entrez			False	CCLE column ALAS1 (211)
SYNGR3	9143	matched_entrez			False	CCLE column SYNGR3 (9143)
BPHL	670	matched_entrez			False	CCLE column BPHL (670)
POLG2	11232	matched_entrez			False	CCLE column POLG2 (11232)
NOLC1	9221	matched_entrez			False	CCLE column NOLC1 (9221)
NFATC4	4776	matched_entrez			False	CCLE column NFATC4 (4776)
CCNA1	8900	matched_entrez			False	CCLE column CCNA1 (8900)
POLE2	5427	matched_entrez			False	CCLE column POLE2 (5427)
DNAJA3	9093	matched_entrez			False	CCLE column DNAJA3 (9093)
FOXJ3	22887	matched_entrez			False	CCLE column FOXJ3 (22887)
RNH1	6050	matched_entrez			False	CCLE column RNH1 (6050)
RAD51C	5889	matched_entrez			False	CCLE column RAD51C (5889)
EPHA3	2042	matched_entrez			False	CCLE column EPHA3 (2042)
PRKCH	5583	matched_entrez			False	CCLE column PRKCH (5583)
FUT1	2523	matched_entrez			False	CCLE column FUT1 (2523)
ADRB2	154	matched_entrez			False	CCLE column ADRB2 (154)
GABPB1	2553	matched_entrez			False	CCLE column GABPB1 (2553)
EGF	1950	matched_entrez			False	CCLE column EGF (1950)
KIF14	9928	matched_entrez			False	CCLE column KIF14 (9928)
ETV1	2115	matched_entrez			False	CCLE column ETV1 (2115)
CSNK1A1	1452	matched_entrez			False	CCLE column CSNK1A1 (1452)
MAP4K4	9448	matched_entrez			False	CCLE column MAP4K4 (9448)
GLRX	2745	matched_entrez			False	CCLE column GLRX (2745)
PTPN6	5777	matched_entrez			False	CCLE column PTPN6 (5777)
CPSF4	10898	matched_entrez			False	CCLE column CPSF4 (10898)
LPAR2	9170	matched_entrez			False	CCLE column LPAR2 (9170)
DFFB	1677	matched_entrez			False	CCLE column DFFB (1677)
SLC35A3	23443	matched_entrez			False	CCLE column SLC35A3 (23443)
HDAC6	10013	matched_entrez			False	CCLE column HDAC6 (10013)
GLI2	2736	matched_entrez			False	CCLE column GLI2 (2736)
CDKN2A	1029	matched_entrez			False	CCLE column CDKN2A (1029)
E2F2	1870	matched_entrez			False	CCLE column E2F2 (1870)
CDK6	1021	matched_entrez			False	CCLE column CDK6 (1021)
AKT1	207	matched_entrez			False	CCLE column AKT1 (207)
CASP7	840	matched_entrez			False	CCLE column CASP7 (840)
TNIP1	10318	matched_entrez			False	CCLE column TNIP1 (10318)
TERT	7015	matched_entrez			False	CCLE column TERT (7015)
PTPRC	5788	matched_entrez			False	CCLE column PTPRC (5788)
TGFBR2	7048	matched_entrez			False	CCLE column TGFBR2 (7048)
NFATC3	4775	matched_entrez			False	CCLE column NFATC3 (4775)
RAC2	5880	matched_entrez			False	CCLE column RAC2 (5880)
POLR1C	9533	matched_entrez			False	CCLE column POLR1C (9533)
NFKB2	4791	matched_entrez			False	CCLE column NFKB2 (4791)
SYK	6850	matched_entrez			False	CCLE column SYK (6850)
CASK	8573	matched_entrez			False	CCLE column CASK (8573)
NCOA3	8202	matched_entrez			False	CCLE column NCOA3 (8202)
PSMD9	5715	matched_entrez			False	CCLE column PSMD9 (5715)
PROS1	5627	matched_entrez			False	CCLE column PROS1 (5627)
CASC3	22794	matched_entrez			False	CCLE column CASC3 (22794)
MUC1	4582	matched_entrez			False	CCLE column MUC1 (4582)
ST7	7982	matched_entrez			False	CCLE column ST7 (7982)
NVL	4931	matched_entrez			False	CCLE column NVL (4931)
MEF2C	4208	matched_entrez			False	CCLE column MEF2C (4208)
CHP1	11261	matched_entrez			False	CCLE column CHP1 (11261)
HMGA2	8091	matched_entrez			False	CCLE column HMGA2 (8091)
CASP2	835	matched_entrez			False	CCLE column CASP2 (835)
LSR	51599	matched_entrez			False	CCLE column LSR (51599)
MALT1	10892	matched_entrez			False	CCLE column MALT1 (10892)
TBPL1	9519	matched_entrez			False	CCLE column TBPL1 (9519)
CTNND1	1500	matched_entrez			False	CCLE column CTNND1 (1500)
CIAPIN1	57019	matched_entrez			False	CCLE column CIAPIN1 (57019)
BAX	581	matched_entrez			False	CCLE column BAX (581)
PPARG	5468	matched_entrez			False	CCLE column PPARG (5468)
SPTAN1	6709	matched_entrez			False	CCLE column SPTAN1 (6709)
EIF4G1	1981	matched_entrez			False	CCLE column EIF4G1 (1981)
VAT1	10493	matched_entrez			False	CCLE column VAT1 (10493)
MACF1	23499	matched_entrez			False	CCLE column MACF1 (23499)
PARP1	142	matched_entrez			False	CCLE column PARP1 (142)
FDFT1	2222	matched_entrez			False	CCLE column FDFT1 (2222)
HSPA8	3312	matched_entrez			False	CCLE column HSPA8 (3312)
PDLIM1	9124	matched_entrez			False	CCLE column PDLIM1 (9124)
EIF5	1983	matched_entrez			False	CCLE column EIF5 (1983)
CCND1	595	matched_entrez			False	CCLE column CCND1 (595)
TMCO1	54499	matched_entrez			False	CCLE column TMCO1 (54499)
OXA1L	5018	matched_entrez			False	CCLE column OXA1L (5018)
CDC42	998	matched_entrez			False	CCLE column CDC42 (998)
TSC22D3	1831	matched_entrez			False	CCLE column TSC22D3 (1831)
PTK2	5747	matched_entrez			False	CCLE column PTK2 (5747)
ADH5	128	matched_entrez			False	CCLE column ADH5 (128)
REEP5	7905	matched_entrez			False	CCLE column REEP5 (7905)
DUSP6	1848	matched_entrez			False	CCLE column DUSP6 (1848)
HLA-DRA	3122	matched_entrez			False	CCLE column HLA-DRA (3122)
ATP6V1D	51382	matched_entrez			False	CCLE column ATP6V1D (51382)
CYCS	54205	matched_entrez			False	CCLE column CYCS (54205)
CAST	831	matched_entrez			False	CCLE column CAST (831)
LGALS8	3964	matched_entrez			False	CCLE column LGALS8 (3964)
BECN1	8678	matched_entrez			False	CCLE column BECN1 (8678)
ALDH7A1	501	matched_entrez			False	CCLE column ALDH7A1 (501)
STAT3	6774	matched_entrez			False	CCLE column STAT3 (6774)
DNAJB6	10049	matched_entrez			False	CCLE column DNAJB6 (10049)
COPS7A	50813	matched_entrez			False	CCLE column COPS7A (50813)
PSMB8	5696	matched_entrez			False	CCLE column PSMB8 (5696)
XPNPEP1	7511	matched_entrez			False	CCLE column XPNPEP1 (7511)
RALGDS	5900	matched_entrez			False	CCLE column RALGDS (5900)
CORO1A	11151	matched_entrez			False	CCLE column CORO1A (11151)
GLOD4	51031	matched_entrez			False	CCLE column GLOD4 (51031)
DLD	1738	matched_entrez			False	CCLE column DLD (1738)
IFRD2	7866	matched_entrez			False	CCLE column IFRD2 (7866)
TSPAN6	7105	matched_entrez			False	CCLE column TSPAN6 (7105)
CDKN1B	1027	matched_entrez			False	CCLE column CDKN1B (1027)
PRPF4	9128	matched_entrez			False	CCLE column PRPF4 (9128)
CYB561	1534	matched_entrez			False	CCLE column CYB561 (1534)
MAN2B1	4125	matched_entrez			False	CCLE column MAN2B1 (4125)
MBOAT7	79143	matched_entrez			False	CCLE column MBOAT7 (79143)
FOS	2353	matched_entrez			False	CCLE column FOS (2353)
TUBB6	84617	matched_entrez			False	CCLE column TUBB6 (84617)
CBR1	873	matched_entrez			False	CCLE column CBR1 (873)
MFSD10	10227	matched_entrez			False	CCLE column MFSD10 (10227)
SORBS3	10174	matched_entrez			False	CCLE column SORBS3 (10174)
SMC3	9126	matched_entrez			False	CCLE column SMC3 (9126)
SFN	2810	matched_entrez			False	CCLE column SFN (2810)
NR2F6	2063	matched_entrez			False	CCLE column NR2F6 (2063)
TSPAN4	7106	matched_entrez			False	CCLE column TSPAN4 (7106)
GADD45B	4616	matched_entrez			False	CCLE column GADD45B (4616)
PSIP1	11168	matched_entrez			False	CCLE column PSIP1 (11168)
IKBKB	3551	matched_entrez			False	CCLE column IKBKB (3551)
BAD	572	matched_entrez			False	CCLE column BAD (572)
STXBP2	6813	matched_entrez			False	CCLE column STXBP2 (6813)
ABCC5	10057	matched_entrez			False	CCLE column ABCC5 (10057)
KIF2C	11004	matched_entrez			False	CCLE column KIF2C (11004)
GRB10	2887	matched_entrez			False	CCLE column GRB10 (2887)
ARHGEF2	9181	matched_entrez			False	CCLE column ARHGEF2 (9181)
AURKB	9212	matched_entrez			False	CCLE column AURKB (9212)
MKNK1	8569	matched_entrez			False	CCLE column MKNK1 (8569)
RPA3	6119	matched_entrez			False	CCLE column RPA3 (6119)
RAB27A	5873	matched_entrez			False	CCLE column RAB27A (5873)
HDGFRP3	50810	matched_entrez			False	CCLE column HDGFL3 (50810)
GSTZ1	2954	matched_entrez			False	CCLE column GSTZ1 (2954)
RRS1	23212	matched_entrez			False	CCLE column RRS1 (23212)
EED	8726	matched_entrez			False	CCLE column EED (8726)
GNAI1	2770	matched_entrez			False	CCLE column GNAI1 (2770)
PRUNE	58497	matched_entrez			False	CCLE column PRUNE1 (58497)
EPHB2	2048	matched_entrez			False	CCLE column EPHB2 (2048)
GATA3	2625	matched_entrez			False	CCLE column GATA3 (2625)
ACAT2	39	matched_entrez			False	CCLE column ACAT2 (39)
PAK1	5058	matched_entrez			False	CCLE column PAK1 (5058)
CETN3	1070	matched_entrez			False	CCLE column CETN3 (1070)
CBLB	868	matched_entrez			False	CCLE column CBLB (868)
GATA2	2624	matched_entrez			False	CCLE column GATA2 (2624)
TGFB3	7043	matched_entrez			False	CCLE column TGFB3 (7043)
CXCL2	2920	matched_entrez			False	CCLE column CXCL2 (2920)
HIST1H2BK	85236	matched_entrez			False	CCLE column H2BC12 (85236)
ANXA7	310	matched_entrez			False	CCLE column ANXA7 (310)
SPP1	6696	matched_entrez			False	CCLE column SPP1 (6696)
PUF60	22827	matched_entrez			False	CCLE column PUF60 (22827)
CFLAR	8837	matched_entrez			False	CCLE column CFLAR (8837)
PRKCQ	5588	matched_entrez			False	CCLE column PRKCQ (5588)
MAPK13	5603	matched_entrez			False	CCLE column MAPK13 (5603)
FYN	2534	matched_entrez			False	CCLE column FYN (2534)
RPL39L	116832	matched_entrez			False	CCLE column RPL39L (116832)
PLA2G4A	5321	matched_entrez			False	CCLE column PLA2G4A (5321)
DYRK3	8444	matched_entrez			False	CCLE column DYRK3 (8444)
ME2	4200	matched_entrez			False	CCLE column ME2 (4200)
ACLY	47	matched_entrez			False	CCLE column ACLY (47)
CHEK2	11200	matched_entrez			False	CCLE column CHEK2 (11200)
GPER1	2852	matched_entrez			False	CCLE column GPER1 (2852)
HMG20B	10362	matched_entrez			False	CCLE column HMG20B (10362)
LYN	4067	matched_entrez			False	CCLE column LYN (4067)
GRB7	2886	matched_entrez			False	CCLE column GRB7 (2886)
DHRS7	51635	matched_entrez			False	CCLE column DHRS7 (51635)
TPM1	7168	matched_entrez			False	CCLE column TPM1 (7168)
HSPA4	3308	matched_entrez			False	CCLE column HSPA4 (3308)
MLLT11	10962	matched_entrez			False	CCLE column MLLT11 (10962)
CDK7	1022	matched_entrez			False	CCLE column CDK7 (1022)
RAE1	8480	matched_entrez			False	CCLE column RAE1 (8480)
BMP4	652	matched_entrez			False	CCLE column BMP4 (652)
BDH1	622	matched_entrez			False	CCLE column BDH1 (622)
BID	637	matched_entrez			False	CCLE column BID (637)
BLVRA	644	matched_entrez			False	CCLE column BLVRA (644)
LSM5	23658	matched_entrez			False	CCLE column LSM5 (23658)
TXNDC9	10190	matched_entrez			False	CCLE column TXNDC9 (10190)
MTA1	9112	matched_entrez			False	CCLE column MTA1 (9112)
CXCR4	7852	matched_entrez			False	CCLE column CXCR4 (7852)
COL4A1	1282	matched_entrez			False	CCLE column COL4A1 (1282)
RNF167	26001	matched_entrez			False	CCLE column RNF167 (26001)
WIPF2	147179	matched_entrez			False	CCLE column WIPF2 (147179)
TBC1D9B	23061	matched_entrez			False	CCLE column TBC1D9B (23061)
ADGRG1	9289	matched_entrez			False	CCLE column ADGRG1 (9289)
HN1L	90861	matched_entrez			False	CCLE column JPT2 (90861)
ZMIZ1	57178	matched_entrez			False	CCLE column ZMIZ1 (57178)
PDS5A	23244	matched_entrez			False	CCLE column PDS5A (23244)
IGFBP3	3486	matched_entrez			False	CCLE column IGFBP3 (3486)
XPO7	23039	matched_entrez			False	CCLE column XPO7 (23039)
CRKL	1399	matched_entrez			False	CCLE column CRKL (1399)
COG4	25839	matched_entrez			False	CCLE column COG4 (25839)
H2AFV	94239	matched_entrez			False	CCLE column H2AZ2 (94239)
FBXO21	23014	matched_entrez			False	CCLE column FBXO21 (23014)
ATP2C1	27032	matched_entrez			False	CCLE column ATP2C1 (27032)
TMEM97	27346	matched_entrez			False	CCLE column TMEM97 (27346)
SUZ12	23512	matched_entrez			False	CCLE column SUZ12 (23512)
TXLNA	200081	matched_entrez			False	CCLE column TXLNA (200081)
TFDP1	7027	matched_entrez			False	CCLE column TFDP1 (7027)
VGLL4	9686	matched_entrez			False	CCLE column VGLL4 (9686)
UBE3B	89910	matched_entrez			False	CCLE column UBE3B (89910)
KIF1BP	26128	matched_entrez			False	CCLE column KIFBP (26128)
SPRED2	200734	matched_entrez			False	CCLE column SPRED2 (200734)
KAT6B	23522	matched_entrez			False	CCLE column KAT6B (23522)
GPATCH8	23131	matched_entrez			False	CCLE column GPATCH8 (23131)
ADO	84890	matched_entrez			False	CCLE column ADO (84890)
ATP11B	23200	matched_entrez			False	CCLE column ATP11B (23200)
ZNF451	26036	matched_entrez			False	CCLE column ZNF451 (26036)
RBM34	23029	matched_entrez			False	CCLE column RBM34 (23029)
ARID5B	84159	matched_entrez			False	CCLE column ARID5B (84159)
CHN1	1123	matched_entrez			False	CCLE column CHN1 (1123)
MAPK1IP1L	93487	matched_entrez			False	CCLE column MAPK1IP1L (93487)
DHX29	54505	matched_entrez			False	CCLE column DHX29 (54505)
JADE2	23338	matched_entrez			False	CCLE column JADE2 (23338)
TIPARP	25976	matched_entrez			False	CCLE column TIPARP (25976)
KDM3A	55818	matched_entrez			False	CCLE column KDM3A (55818)
PCCB	5096	matched_entrez			False	CCLE column PCCB (5096)
PLEKHM1	9842	matched_entrez			False	CCLE column PLEKHM1 (9842)
JMJD6	23210	matched_entrez			False	CCLE column JMJD6 (23210)
PIK3R4	30849	matched_entrez			False	CCLE column PIK3R4 (30849)
CAMSAP2	23271	matched_entrez			False	CCLE column CAMSAP2 (23271)
KIAA1033	23325	matched_entrez			False	CCLE column WASHC4 (23325)
SLC1A4	6509	matched_entrez			False	CCLE column SLC1A4 (6509)
ASCC3	10973	matched_entrez			False	CCLE column ASCC3 (10973)
SLC25A46	91137	matched_entrez			False	CCLE column SLC25A46 (91137)
RRP1B	23076	matched_entrez			False	CCLE column RRP1B (23076)
AXIN1	8312	matched_entrez			False	CCLE column AXIN1 (8312)
DCUN1D4	23142	matched_entrez			False	CCLE column DCUN1D4 (23142)
MAPKAPK5	8550	matched_entrez			False	CCLE column MAPKAPK5 (8550)
C2CD2	25966	matched_entrez			False	CCLE column C2CD2 (25966)
WDR7	23335	matched_entrez			False	CCLE column WDR7 (23335)
SUPV3L1	6832	matched_entrez			False	CCLE column SUPV3L1 (6832)
CDK19	23097	matched_entrez			False	CCLE column CDK19 (23097)
THAP11	57215	matched_entrez			False	CCLE column THAP11 (57215)
C2CD5	9847	matched_entrez			False	CCLE column C2CD5 (9847)
POLR2I	5438	matched_entrez			False	CCLE column POLR2I (5438)
RFNG	5986	matched_entrez			False	CCLE column RFNG (5986)
RPIA	22934	matched_entrez			False	CCLE column RPIA (22934)
TLK2	11011	matched_entrez			False	CCLE column TLK2 (11011)
TIAM1	7074	matched_entrez			False	CCLE column TIAM1 (7074)
HOXA10	3206	matched_entrez			False	CCLE column HOXA10 (3206)
COG7	91949	matched_entrez			False	CCLE column COG7 (91949)
TICAM1	148022	matched_entrez			False	CCLE column TICAM1 (148022)
KLHL9	55958	matched_entrez			False	CCLE column KLHL9 (55958)
SNX13	23161	matched_entrez			False	CCLE column SNX13 (23161)
SRC	6714	matched_entrez			False	CCLE column SRC (6714)
GDPD5	81544	matched_entrez			False	CCLE column GDPD5 (81544)
PLCB3	5331	matched_entrez			False	CCLE column PLCB3 (5331)
TBX2	6909	matched_entrez			False	CCLE column TBX2 (6909)
APBB2	323	matched_entrez			False	CCLE column APBB2 (323)
FCHO1	23149	matched_entrez			False	CCLE column FCHO1 (23149)
FAM69A	388650	matched_entrez			False	CCLE column DIPK1A (388650)
ASAH1	427	matched_entrez			False	CCLE column ASAH1 (427)
SMARCA4	6597	matched_entrez			False	CCLE column SMARCA4 (6597)
SOX2	6657	matched_entrez			False	CCLE column SOX2 (6657)
HOXA5	3202	matched_entrez			False	CCLE column HOXA5 (3202)
TMEM110	375346	matched_entrez			False	CCLE column STIMATE (375346)
ATP5S	27109	matched_entrez			False	CCLE column DMAC2L (27109)
TBC1D31	93594	matched_entrez			False	CCLE column TBC1D31 (93594)
NFKBIB	4793	matched_entrez			False	CCLE column NFKBIB (4793)
CTTN	2017	matched_entrez			False	CCLE column CTTN (2017)
PARP2	10038	matched_entrez			False	CCLE column PARP2 (10038)
AKR7A2	8574	matched_entrez			False	CCLE column AKR7A2 (8574)
ACAA1	30	matched_entrez			False	CCLE column ACAA1 (30)
SPDEF	25803	matched_entrez			False	CCLE column SPDEF (25803)
RALA	5898	matched_entrez			False	CCLE column RALA (5898)
ETS1	2113	matched_entrez			False	CCLE column ETS1 (2113)
CCNB1	891	matched_entrez			False	CCLE column CCNB1 (891)
ZNF131	7690	matched_entrez			False	CCLE column ZNF131 (7690)
FEZ2	9637	matched_entrez			False	CCLE column FEZ2 (9637)
NSDHL	50814	matched_entrez			False	CCLE column NSDHL (50814)
DNM1	1759	matched_entrez			False	CCLE column DNM1 (1759)
UBQLN2	29978	matched_entrez			False	CCLE column UBQLN2 (29978)
MAST2	23139	matched_entrez			False	CCLE column MAST2 (23139)
TRIM2	23321	matched_entrez			False	CCLE column TRIM2 (23321)
IGHMBP2	3508	matched_entrez			False	CCLE column IGHMBP2 (3508)
NR3C1	2908	matched_entrez			False	CCLE column NR3C1 (2908)
PPP1R13B	23368	matched_entrez			False	CCLE column PPP1R13B (23368)
CCL2	6347	matched_entrez			False	CCLE column CCL2 (6347)
ERBB2	2064	matched_entrez			False	CCLE column ERBB2 (2064)
RRP12	23223	matched_entrez			False	CCLE column RRP12 (23223)
HOMER2	9455	matched_entrez			False	CCLE column HOMER2 (9455)
VDAC1	7416	matched_entrez			False	CCLE column VDAC1 (7416)
HERPUD1	9709	matched_entrez			False	CCLE column HERPUD1 (9709)
GAPDH	2597	matched_entrez			False	CCLE column GAPDH (2597)
HLA-DMA	3108	matched_entrez			False	CCLE column HLA-DMA (3108)
IDE	3416	matched_entrez			False	CCLE column IDE (3416)
NGRN	51335	matched_entrez			False	CCLE column NGRN (51335)
CNDP2	55748	matched_entrez			False	CCLE column CNDP2 (55748)
TM9SF3	56889	matched_entrez			False	CCLE column TM9SF3 (56889)
ADI1	55256	matched_entrez			False	CCLE column ADI1 (55256)
RAB31	11031	matched_entrez			False	CCLE column RAB31 (11031)
TMEM50A	23585	matched_entrez			False	CCLE column TMEM50A (23585)
HACD3	51495	matched_entrez			False	CCLE column HACD3 (51495)
YKT6	10652	matched_entrez			False	CCLE column YKT6 (10652)
SNX6	58533	matched_entrez			False	CCLE column SNX6 (58533)
BZW2	28969	matched_entrez			False	CCLE column BZW2 (28969)
UBE2J1	51465	matched_entrez			False	CCLE column UBE2J1 (51465)
EVL	51466	matched_entrez			False	CCLE column EVL (51466)
BACE2	25825	matched_entrez			False	CCLE column BACE2 (25825)
MIF	4282	matched_entrez			False	CCLE column MIF (4282)
PIH1D1	55011	matched_entrez			False	CCLE column PIH1D1 (55011)
CAB39	51719	matched_entrez			False	CCLE column CAB39 (51719)
IARS2	55699	matched_entrez			False	CCLE column IARS2 (55699)
DSG2	1829	matched_entrez			False	CCLE column DSG2 (1829)
KLHDC2	23588	matched_entrez			False	CCLE column KLHDC2 (23588)
BAG3	9531	matched_entrez			False	CCLE column BAG3 (9531)
CNPY3	10695	matched_entrez			False	CCLE column CNPY3 (10695)
